item,nodes,pct_sum,count_sum,min_count,none_pct,not_classified_pct,named_nodes,n_onet_task_intersections,n,mde_abs_r,mass_aug_ai,mass_aug_api,mass_nov_ai,mass_nov_api,mass_feb_ai,mass_feb_api
aug_ai,2618.0,100.0,964494.0,15.0,5.716157902485656,2.411108830122324,2616.0,1.0,,,,,,,,
aug_api,2056.0,100.0,944638.0,15.0,4.050863928827762,8.110831874220601,2054.0,4.0,,,,,,,,
nov_ai,3170.0,100.0,999875.0,15.0,3.712364045505688,2.7732466558319797,3168.0,10.0,,,,,,,,
nov_api,2253.0,100.0,971525.0,15.0,3.599907362136847,8.121046807853633,2251.0,13.0,,,,,,,,
feb_ai,3260.0,100.0,1000000.0,15.0,4.2922,2.7364,3258.0,10.0,,,,,,,,
feb_api,2299.0,100.0,1000000.0,15.0,3.6961,6.0163,2297.0,13.0,,,,,,,,
aug_pair,,,,,,,,,1603.0,0.0699,86.5746,85.5446,,,,
nov_pair,,,,,,,,,1823.0,0.0656,,,87.2746,86.3515,,
feb_pair,,,,,,,,,1908.0,0.0641,,,,,86.6796,88.3926
window_aug_nov,,,,,,,,,1317.0,0.0771,84.0771,83.3308,83.3031,82.2011,,
window_nov_feb,,,,,,,,,1595.0,0.0701,,,85.8886,84.9654,84.5226,86.2992
six_frame,,,,,,,,,1241.0,0.0795,83.1365,82.4755,82.6289,81.502,80.8906,83.2233
coding_set_2010,,,,,,,,,242.0,,,,,,,
coding_set_2019,,,,,,,,,242.0,,,,,,,
coding_set_overlap,,,,,,,,,228.0,,,,,,,
