frame,c2010,t2010,c2019,t2019,mass_geography_total,mass_classified,frame_matched_mass,aug_2025,nov_2025,feb_2026,rel_aug_to_feb_pct
aug_api,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,3.2837976028912657,3.7384574223203537,87.83830419695154,,,,
aug_api,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.5472996004818774,0.6230762370533921,87.83830419695154,,,,
aug_api,15-* (out),,non-15,,0.49394582898422357,0.5623353427642404,87.83830419695154,,,,
nov_api,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,6.426391497902781,7.279634071122013,88.27904583000941,,,,
nov_api,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.4902601579990219,0.555352805855049,88.27904583000941,,,,
nov_api,15-* (out),,non-15,,0.4026659118396324,0.4561285275047127,88.27904583000941,,,,
feb_api,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,8.7678,9.710968062059468,90.28759999999996,,,,
feb_api,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.5489999999999999,0.6080569203301452,90.28759999999996,,,,
feb_api,15-* (out),,non-15,,0.35319999999999985,0.3911943611304321,90.28759999999996,,,,
aug_ai,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,2.648331664064265,2.8826089851451377,91.87273326739191,,,,
aug_ai,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.5353065959974866,0.5826610104648767,91.87273326739191,,,,
aug_ai,15-* (out),,non-15,,0.5215169819615254,0.5676515364397303,91.87273326739191,,,,
nov_ai,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,2.462607825978247,2.633399891126142,93.5143892986622,,,,
nov_ai,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.29643705463182873,0.31699619369280263,93.5143892986622,,,,
nov_ai,15-* (out),,non-15,,0.4755594449306155,0.5085414645780281,93.5143892986622,,,,
feb_ai,43-9111.01,Bioinformatics Technicians,15-2099.01,Bioinformatics Technicians,2.3865,2.566918428678068,92.97139999999995,,,,
feb_ai,43-9011.00,Computer Operators,15-1299.00,"Computer Occupations, All Other",0.2556999999999998,0.2750308159283392,92.97139999999995,,,,
feb_ai,15-* (out),,non-15,,0.4550999999999997,0.4895053747711661,92.97139999999995,,,,
api_soc15_2019_with_sysadmin,,,,,,,,53.88325937567042,59.20739506537032,61.63627858827423,14.388549064098521
api_soc15_2019_without_sysadmin,,,,,,,,53.22311513806108,57.297710967193936,58.548324429722136,10.005444585209688
ai_soc15_2019_with_sysadmin,,,,,,,,41.96818217213049,38.500118178405586,34.61503573500382,-17.52076467588729
ai_soc15_2019_without_sysadmin,,,,,,,,40.91172333912472,37.65390269923329,33.582678785587696,-17.914289488089363
