geo,ind,unit,grp,value,flag,usable
AT,I_IUAI,PC_IND,CB_EU_FOR,43.0,,True
BE,I_IUAI,PC_IND,CB_EU_FOR,44.08,,True
BG,I_IUAI,PC_IND,CB_EU_FOR,,u,False
CY,I_IUAI,PC_IND,CB_EU_FOR,29.03,,True
CZ,I_IUAI,PC_IND,CB_EU_FOR,27.73,,True
DE,I_IUAI,PC_IND,CB_EU_FOR,23.58,,True
DK,I_IUAI,PC_IND,CB_EU_FOR,48.73,,True
EA,I_IUAI,PC_IND,CB_EU_FOR,31.55,,True
EE,I_IUAI,PC_IND,CB_EU_FOR,43.66,u,False
EL,I_IUAI,PC_IND,CB_EU_FOR,48.94,u,False
ES,I_IUAI,PC_IND,CB_EU_FOR,35.73,,True
EU27_2020,I_IUAI,PC_IND,CB_EU_FOR,32.69,,True
FI,I_IUAI,PC_IND,CB_EU_FOR,39.05,,True
FR,I_IUAI,PC_IND,CB_EU_FOR,40.55,u,False
HR,I_IUAI,PC_IND,CB_EU_FOR,26.03,u,False
HU,I_IUAI,PC_IND,CB_EU_FOR,39.04,,True
IT,I_IUAI,PC_IND,CB_EU_FOR,13.86,,True
LT,I_IUAI,PC_IND,CB_EU_FOR,40.14,u,False
LU,I_IUAI,PC_IND,CB_EU_FOR,40.85,,True
LV,I_IUAI,PC_IND,CB_EU_FOR,24.53,,True
MT,I_IUAI,PC_IND,CB_EU_FOR,63.67,,True
NL,I_IUAI,PC_IND,CB_EU_FOR,47.83,,True
PL,I_IUAI,PC_IND,CB_EU_FOR,,u,False
PT,I_IUAI,PC_IND,CB_EU_FOR,54.69,,True
RO,I_IUAI,PC_IND,CB_EU_FOR,,u,False
SE,I_IUAI,PC_IND,CB_EU_FOR,45.23,,True
SI,I_IUAI,PC_IND,CB_EU_FOR,33.48,,True
AT,I_IUAI,PC_IND_IU3,CB_EU_FOR,44.35,,True
BE,I_IUAI,PC_IND_IU3,CB_EU_FOR,45.92,,True
BG,I_IUAI,PC_IND_IU3,CB_EU_FOR,,u,False
CY,I_IUAI,PC_IND_IU3,CB_EU_FOR,29.65,,True
CZ,I_IUAI,PC_IND_IU3,CB_EU_FOR,31.11,,True
DE,I_IUAI,PC_IND_IU3,CB_EU_FOR,25.95,,True
DK,I_IUAI,PC_IND_IU3,CB_EU_FOR,48.73,,True
EA,I_IUAI,PC_IND_IU3,CB_EU_FOR,33.56,,True
EE,I_IUAI,PC_IND_IU3,CB_EU_FOR,46.75,u,False
EL,I_IUAI,PC_IND_IU3,CB_EU_FOR,50.37,u,False
ES,I_IUAI,PC_IND_IU3,CB_EU_FOR,36.63,,True
EU27_2020,I_IUAI,PC_IND_IU3,CB_EU_FOR,34.66,,True
FI,I_IUAI,PC_IND_IU3,CB_EU_FOR,39.05,,True
FR,I_IUAI,PC_IND_IU3,CB_EU_FOR,45.75,u,False
HR,I_IUAI,PC_IND_IU3,CB_EU_FOR,28.5,u,False
HU,I_IUAI,PC_IND_IU3,CB_EU_FOR,39.67,,True
IT,I_IUAI,PC_IND_IU3,CB_EU_FOR,15.41,,True
LT,I_IUAI,PC_IND_IU3,CB_EU_FOR,44.49,u,False
LU,I_IUAI,PC_IND_IU3,CB_EU_FOR,40.96,,True
LV,I_IUAI,PC_IND_IU3,CB_EU_FOR,26.38,,True
MT,I_IUAI,PC_IND_IU3,CB_EU_FOR,64.06,,True
NL,I_IUAI,PC_IND_IU3,CB_EU_FOR,48.07,,True
PL,I_IUAI,PC_IND_IU3,CB_EU_FOR,,u,False
PT,I_IUAI,PC_IND_IU3,CB_EU_FOR,55.33,,True
RO,I_IUAI,PC_IND_IU3,CB_EU_FOR,,u,False
