indicator,unit,group,eu27_usable_pairs,extension_usable_pairs,all35
I_IUAI,PC_IND,Y16_74,27,8,35
I_IUAI,PC_IND,Y16_24,26,6,32
I_IUAI,PC_IND,Y25_34,27,8,35
I_IUAI,PC_IND,Y35_44,27,8,35
I_IUAI,PC_IND,Y45_54,27,8,35
I_IUAI,PC_IND,Y55_64,27,8,35
I_IUAI,PC_IND,Y65_74,27,8,35
I_IUAI,PC_IND,I0_2,26,8,34
I_IUAI,PC_IND,I3_4,27,8,35
I_IUAI,PC_IND,I5_8,27,8,35
I_IUAI,PC_IND_IU3,Y16_74,27,8,35
I_IUAI,PC_IND_IU3,Y16_24,26,6,32
I_IUAI,PC_IND_IU3,Y25_34,27,8,35
I_IUAI,PC_IND_IU3,Y35_44,27,8,35
I_IUAI,PC_IND_IU3,Y45_54,27,8,35
I_IUAI,PC_IND_IU3,Y55_64,27,8,35
I_IUAI,PC_IND_IU3,Y65_74,27,8,35
I_IUAI,PC_IND_IU3,I0_2,26,8,34
I_IUAI,PC_IND_IU3,I3_4,27,8,35
I_IUAI,PC_IND_IU3,I5_8,27,8,35
I_IUAI,PC_IND_IUAI,Y16_74,0,0,0
I_IUAI,PC_IND_IUAI,Y16_24,0,0,0
I_IUAI,PC_IND_IUAI,Y25_34,0,0,0
I_IUAI,PC_IND_IUAI,Y35_44,0,0,0
I_IUAI,PC_IND_IUAI,Y45_54,0,0,0
I_IUAI,PC_IND_IUAI,Y55_64,0,0,0
I_IUAI,PC_IND_IUAI,Y65_74,0,0,0
I_IUAI,PC_IND_IUAI,I0_2,0,0,0
I_IUAI,PC_IND_IUAI,I3_4,0,0,0
I_IUAI,PC_IND_IUAI,I5_8,0,0,0
I_IUAIPR,PC_IND,Y16_74,27,8,35
I_IUAIPR,PC_IND,Y16_24,26,6,32
I_IUAIPR,PC_IND,Y25_34,27,6,33
I_IUAIPR,PC_IND,Y35_44,27,6,33
I_IUAIPR,PC_IND,Y45_54,27,6,33
I_IUAIPR,PC_IND,Y55_64,21,3,24
I_IUAIPR,PC_IND,Y65_74,7,0,7
I_IUAIPR,PC_IND,I0_2,21,5,26
I_IUAIPR,PC_IND,I3_4,27,6,33
I_IUAIPR,PC_IND,I5_8,27,8,35
I_IUAIPR,PC_IND_IU3,Y16_74,27,8,35
I_IUAIPR,PC_IND_IU3,Y16_24,26,6,32
I_IUAIPR,PC_IND_IU3,Y25_34,27,6,33
I_IUAIPR,PC_IND_IU3,Y35_44,27,6,33
I_IUAIPR,PC_IND_IU3,Y45_54,27,6,33
I_IUAIPR,PC_IND_IU3,Y55_64,21,3,24
I_IUAIPR,PC_IND_IU3,Y65_74,7,0,7
I_IUAIPR,PC_IND_IU3,I0_2,21,5,26
I_IUAIPR,PC_IND_IU3,I3_4,27,6,33
I_IUAIPR,PC_IND_IU3,I5_8,27,8,35
I_IUAIPR,PC_IND_IUAI,Y16_74,27,8,35
I_IUAIPR,PC_IND_IUAI,Y16_24,26,6,32
I_IUAIPR,PC_IND_IUAI,Y25_34,27,6,33
I_IUAIPR,PC_IND_IUAI,Y35_44,27,6,33
I_IUAIPR,PC_IND_IUAI,Y45_54,27,6,33
