geo,n_individuals_16_74_achieved,ref_yes_count,ref_prop_pct,n_implied,ref_se_pp,response_rate_pct
AL,,3377,38.6,8749,0.01,"24,8"
AT,,3937,72.7,5415,0.79,
BA,,2666,49.5,5386,1.08,"23,5"
BE,,4636,78.5,5906,0.66,31.6
BG,,3559,51.2,6951,1.0411,20.6
CH,,2344,85.5,2742,1.288,45.9
CY,,1887,63.41,2976,0.94,
CZ,7705,3407,84.0,4056,0.55,36
DE,,9959,81.4,12235,0.38,51.8
DK,,3546,91.11,3892,0.5,
EE,,2943,76.5,3847,0.7,
EL,,1802,52.38,3440,0.87,42.73
ES,,9599,70.7,13577,0.34,"30,2"
FI,,2456,82.04,2994,0.71,
FR,,8646,80.2,10781,0.46,92
HR,,1785,61.723043,2892,1.167872,60
HU,,4157,67.68,6142,0.61,47
IE,,2644,79.5,3326,0.65,59.1
IT,31536,17559,56.2,31244,0.25,22.1
LT,,2643,64.8,4079,0.77,31.7
LU,,2514,81.46,3086,0.78,
LV,,3487,69.39,5025,0.54,67.9
ME,,712,38.7,1840,0.015,31.6
MT,,1197,68.4,1750,1.1,21.9
NL,,,,,,95
NO,,1923,92.83,2072,0.56759948,
PL,,6620,64.3,10295,,28.3
PT,,4317,60.5,7136,0.65,56.9
RO,,8239,60.28,13668,1.16,10.93
RS,,1433,54.4,2634,1.6,
SE,,4450,90.12,4938,0.548,37
SI,,1898,66.9,2837,0.9484,35
SK,,2418,78.76,3070,0.94,
TR,,12209,50.74,24062,0.5197,
