ind_type,I_IUAI,I_IUAIFE,I_IUAIPR,I_IUAIWP
F_I0_2,36,27,27,27
F_I0_2_75_89,9,1,1,1
F_I3_4,36,34,34,34
F_I3_4_75_89,13,1,1,1
F_I5_8,36,36,36,36
F_I5_8_75_89,10,1,1,1
F_Y16_19,26,25,25,25
F_Y16_24,34,33,33,33
F_Y16_29,36,34,34,34
F_Y16_74,36,36,36,36
F_Y20_24,32,29,29,29
F_Y25_29,33,26,26,26
F_Y25_34,36,34,34,34
F_Y25_54,36,36,36,36
F_Y25_64,36,36,36,36
F_Y35_44,36,34,34,34
F_Y45_54,36,34,34,34
F_Y55_64,36,26,26,26
F_Y55_74,36,29,29,29
F_Y65_74,36,9,9,9
F_Y75_89,18,1,1,1
M_I0_2,35,27,27,27
M_I0_2_75_89,7,1,1,1
M_I3_4,36,36,36,36
M_I3_4_75_89,14,1,1,1
M_I5_8,36,36,36,36
M_I5_8_75_89,14,1,1,1
M_Y16_19,27,24,24,24
M_Y16_24,33,33,33,33
M_Y16_29,36,34,34,34
M_Y16_74,36,36,36,36
M_Y20_24,32,29,29,29
M_Y25_29,33,27,27,27
M_Y25_34,36,34,34,34
M_Y25_54,36,36,36,36
M_Y25_64,36,36,36,36
M_Y35_44,36,35,35,35
M_Y45_54,36,35,35,35
M_Y55_64,36,30,30,30
M_Y55_74,36,33,33,33
M_Y65_74,36,12,12,12
M_Y75_89,17,2,2,2
