geo,indic_is,unit,F,M,M_minus_F_pp
AL,I_IUAI,PC_IND,25.49,29.13,3.6400000000000006
AL,I_IUAI,PC_IND_IU3,29.55,33.05,3.4999999999999964
AL,I_IUAIFE,PC_IND,9.09,7.81,-1.2800000000000002
AL,I_IUAIFE,PC_IND_IU3,10.53,8.86,-1.67
AL,I_IUAIFE,PC_IND_IUAI,35.64,26.82,-8.82
AL,I_IUAIPR,PC_IND,23.4,26.91,3.5100000000000016
AL,I_IUAIPR,PC_IND_IU3,27.13,30.54,3.41
AL,I_IUAIPR,PC_IND_IUAI,91.79,92.4,0.6099999999999994
AL,I_IUAIWP,PC_IND,9.12,11.21,2.0900000000000016
AL,I_IUAIWP,PC_IND_IU3,10.57,12.73,2.16
AL,I_IUAIWP,PC_IND_IUAI,35.76,38.5,2.740000000000002
AT,I_IUAI,PC_IND,37.31,41.56,4.25
AT,I_IUAI,PC_IND_IU3,39.32,43.41,4.089999999999996
AT,I_IUAIFE,PC_IND,13.8,14.8,1.0
AT,I_IUAIFE,PC_IND_IU3,14.54,15.46,0.9200000000000017
AT,I_IUAIFE,PC_IND_IUAI,36.99,35.62,-1.3700000000000045
AT,I_IUAIPR,PC_IND,29.46,33.8,4.339999999999996
AT,I_IUAIPR,PC_IND_IU3,31.06,35.3,4.239999999999998
AT,I_IUAIPR,PC_IND_IUAI,78.98,81.32,2.339999999999989
AT,I_IUAIWP,PC_IND,18.46,23.98,5.52
AT,I_IUAIWP,PC_IND_IU3,19.45,25.04,5.59
AT,I_IUAIWP,PC_IND_IUAI,49.47,57.69,8.219999999999999
BA,I_IUAI,PC_IND,18.04,22.12,4.080000000000002
BA,I_IUAI,PC_IND_IU3,20.37,24.21,3.84
BA,I_IUAIFE,PC_IND,5.07,4.97,-0.10000000000000053
BA,I_IUAIFE,PC_IND_IU3,5.72,5.44,-0.27999999999999936
BA,I_IUAIFE,PC_IND_IUAI,28.11,22.48,-5.629999999999999
BA,I_IUAIPR,PC_IND,15.15,20.04,4.889999999999999
BA,I_IUAIPR,PC_IND_IU3,17.11,21.92,4.810000000000002
BA,I_IUAIPR,PC_IND_IUAI,83.99,90.58,6.590000000000003
BA,I_IUAIWP,PC_IND,7.85,9.28,1.4299999999999997
BA,I_IUAIWP,PC_IND_IU3,8.87,10.16,1.290000000000001
BA,I_IUAIWP,PC_IND_IUAI,43.53,41.96,-1.5700000000000003
BE,I_IUAI,PC_IND,41.43,42.61,1.1799999999999997
BE,I_IUAI,PC_IND_IU3,43.25,43.86,0.6099999999999994
BE,I_IUAIFE,PC_IND,10.64,9.87,-0.7700000000000014
BE,I_IUAIFE,PC_IND_IU3,11.1,10.16,-0.9399999999999995
BE,I_IUAIFE,PC_IND_IUAI,25.68,23.17,-2.509999999999998
BE,I_IUAIPR,PC_IND,32.07,35.03,2.960000000000001
BE,I_IUAIPR,PC_IND_IU3,33.48,36.06,2.5800000000000054
BE,I_IUAIPR,PC_IND_IUAI,77.41,82.21,4.799999999999997
BE,I_IUAIWP,PC_IND,19.55,22.13,2.5799999999999983
