A. Power of the §9(1) rules, three waves conjoined (referee's own code, math.erf)
  SE set steward 0.151/0.148/0.154:
    H1 (H2 by symmetry)          80% from   1.517 pp   P(H1|D=1.0)=0.00002  P(H1|D=1.42)=0.501
    O-A or stronger (all signed) 80% from   0.517 pp
    H4 clause alone (all inside) 80% up to  0.483 pp   clause at 0.70: 0.133
    H4 DECLARED (after step 3)   80% up to  0.324 pp   declared at 0.49: 0.228, at 0.32: 0.810
  SE set referee 0.151/0.149/0.151:
    H1 (H2 by symmetry)          80% from   1.515 pp   P(H1|D=1.0)=0.00002  P(H1|D=1.42)=0.508
    O-A or stronger (all signed) 80% from   0.515 pp
    H4 clause alone (all inside) 80% up to  0.485 pp   clause at 0.70: 0.136
    H4 DECLARED (after step 3)   80% up to  0.323 pp   declared at 0.49: 0.223, at 0.32: 0.807
  SE set flat 0.15:
    H1 (H2 by symmetry)          80% from   1.514 pp   P(H1|D=1.0)=0.00002  P(H1|D=1.42)=0.511
    O-A or stronger (all signed) 80% from   0.514 pp
    H4 clause alone (all inside) 80% up to  0.486 pp   clause at 0.70: 0.137
    H4 DECLARED (after step 3)   80% up to  0.322 pp   declared at 0.49: 0.221, at 0.32: 0.806
  Owner probabilities at the steward's SEs (true D constant across waves):
      D      H1      H2     O-A      H4     O-B |  inside  signed
   0.00   0.000   0.000   0.000   1.000   0.000 |   1.000   0.000
   0.20   0.000   0.000   0.018   0.981   0.001 |   0.999   0.018
   0.30   0.000   0.000   0.133   0.858   0.008 |   0.989   0.133
   0.32   0.000   0.000   0.179   0.810   0.011 |   0.983   0.179
   0.40   0.000   0.000   0.430   0.542   0.028 |   0.935   0.430
   0.49   0.000   0.000   0.730   0.228   0.042 |   0.783   0.730
   0.50   0.000   0.000   0.757   0.200   0.043 |   0.757   0.757
   0.60   0.000   0.000   0.935   0.037   0.028 |   0.430   0.935
   0.70   0.000   0.000   0.989   0.003   0.008 |   0.133   0.989
   0.80   0.000   0.000   0.999   0.000   0.001 |   0.018   0.999
   1.00   0.000   0.000   1.000   0.000   0.000 |   0.000   1.000
   1.20   0.018   0.000   0.982   0.000   0.000 |   0.000   1.000
   1.42   0.501   0.000   0.499   0.000   0.000 |   0.000   1.000
   1.50   0.757   0.000   0.243   0.000   0.000 |   0.000   1.000
   1.52   0.807   0.000   0.193   0.000   0.000 |   0.000   1.000
   2.00   1.000   0.000   0.000   0.000   0.000 |   0.000   1.000
B. §9(1) partition on the 41^3 grid at SE 0.15: {'H1': 512, 'H2': 512, 'H4': 3125, 'O-A': 10640, 'O-B': 54132}
   named triples resolve as §9(1) says (6 asserted)
C. The H3 leg rule on point estimates: false-declaration rate and power, conditional on a
   declared positive gradient (all three D-hat intervals exclude zero). Covariance model in docstring.
   wave 0: SE(D)=0.151  SE(D_a)=0.247 (x1.64)  corr(D,D_a)=0.61  SE(D_a - D/2)=0.210  leg(e) untestable
   wave 1: SE(D)=0.148  SE(D_a)=0.237 (x1.60)  corr(D,D_a)=0.63  SE(D_a - D/2)=0.199  SE(D_e)=0.219 (x1.48)
   wave 2: SE(D)=0.154  SE(D_a)=0.226 (x1.47)  corr(D,D_a)=0.68  SE(D_a - D/2)=0.183  SE(D_e)=0.228 (x1.48)
   --- scenario set: main (leg(b) SE ratio 2.0; leg(e) f1/f4 0.35/0.65)
    true D  loss |             a/wave |  a pers   a any |  b pers   b any |  e pers   e any |  H3 pers  H3 any
      0.50  0.00 | 0.100 0.089 0.069 |   0.001   0.237 |   0.004   0.415 |   0.005   0.132 |    0.010   0.604
      0.50  0.50 | 0.474 0.476 0.469 |   0.105   0.854 |   0.109   0.859 |   0.224   0.722 |    0.374   0.992
      0.50  0.75 | 0.705 0.719 0.734 |   0.370   0.978 |   0.288   0.961 |   0.544   0.931 |    0.779   1.000
      0.50  1.00 | 0.873 0.887 0.906 |   0.701   0.999 |   0.531   0.993 |   0.826   0.992 |    0.969   1.000
      0.60  0.00 | 0.072 0.062 0.046 |   0.000   0.169 |   0.002   0.343 |   0.002   0.087 |    0.004   0.494
      0.60  0.50 | 0.492 0.493 0.491 |   0.119   0.869 |   0.119   0.870 |   0.243   0.742 |    0.403   0.993
      0.60  0.75 | 0.757 0.770 0.790 |   0.459   0.988 |   0.349   0.974 |   0.628   0.957 |    0.852   1.000
      0.60  1.00 | 0.921 0.932 0.949 |   0.815   1.000 |   0.641   0.997 |   0.903   0.998 |    0.991   1.000
      0.80  0.00 | 0.028 0.022 0.014 |   0.000   0.063 |   0.000   0.199 |   0.000   0.027 |    0.001   0.266
      0.80  0.50 | 0.499 0.499 0.500 |   0.125   0.874 |   0.123   0.874 |   0.251   0.750 |    0.414   0.993
      0.80  0.75 | 0.828 0.842 0.863 |   0.601   0.996 |   0.452   0.987 |   0.749   0.982 |    0.933   1.000
      0.80  1.00 | 0.971 0.978 0.986 |   0.936   1.000 |   0.801   1.000 |   0.973   1.000 |    0.999   1.000
      1.00  0.00 | 0.008 0.006 0.003 |   0.000   0.017 |   0.000   0.097 |   0.000   0.006 |    0.000   0.116
      1.00  0.50 | 0.499 0.499 0.501 |   0.125   0.875 |   0.123   0.874 |   0.251   0.750 |    0.414   0.993
      1.00  0.75 | 0.882 0.894 0.915 |   0.721   0.999 |   0.551   0.994 |   0.840   0.993 |    0.973   1.000
      1.00  1.00 | 0.991 0.994 0.997 |   0.982   1.000 |   0.903   1.000 |   0.994   1.000 |    1.000   1.000
      1.50  0.00 | 0.000 0.000 0.000 |   0.000   0.000 |   0.000   0.009 |   0.000   0.000 |    0.000   0.009
      1.50  0.50 | 0.499 0.499 0.501 |   0.125   0.875 |   0.123   0.874 |   0.251   0.750 |    0.414   0.993
      1.50  0.75 | 0.963 0.970 0.980 |   0.915   1.000 |   0.767   0.999 |   0.962   1.000 |    0.999   1.000
      1.50  1.00 | 1.000 1.000 1.000 |   1.000   1.000 |   0.991   1.000 |   1.000   1.000 |    1.000   1.000
      2.00  0.00 | 0.000 0.000 0.000 |   0.000   0.000 |   0.000   0.000 |   0.000   0.000 |    0.000   0.000
      2.00  0.50 | 0.499 0.499 0.501 |   0.125   0.875 |   0.123   0.874 |   0.251   0.750 |    0.414   0.993
      2.00  0.75 | 0.991 0.994 0.997 |   0.982   1.000 |   0.903   1.000 |   0.994   1.000 |    1.000   1.000
      2.00  1.00 | 1.000 1.000 1.000 |   1.000   1.000 |   1.000   1.000 |   1.000   1.000 |    1.000   1.000
   --- scenario set: harsh (leg(b) SE ratio 2.5; leg(e) f1/f4 0.25/0.60)
    true D  loss |             a/wave |  a pers   a any |  b pers   b any |  e pers   e any |  H3 pers  H3 any
      0.50  0.00 | 0.100 0.089 0.069 |   0.001   0.237 |   0.012   0.537 |   0.012   0.207 |    0.024   0.713
