geo_id,usage_count,directive,feedback loop,task iteration,learning,validation,none,wave,automation,automation_classified,augmentation,above_threshold
ABW,0.0,,,,,,,2025-08,,,,False
AGO,238.0,47.47899159663865,7.563025210084033,19.327731092436977,18.487394957983195,,,2025-08,55.042016806722685,59.2760180995475,37.815126050420176,True
ALB,370.0,40.0,15.675675675675675,22.162162162162165,15.945945945945947,5.135135135135135,,2025-08,55.67567567567568,56.284153005464475,43.24324324324325,True
AND,40.0,,,37.5,,,,2025-08,,,37.5,False
ARE,3011.0,39.85386914646297,11.590833610096317,25.074726004649616,16.738625041514446,4.251079375622717,2.4908668216539356,2025-08,51.44470275655929,52.758855585831064,46.064430421786774,True
ARG,6168.0,40.75875486381323,12.5810635538262,20.638780804150453,19.974059662775616,4.069390402075227,1.9779507133592735,2025-08,53.33981841763943,54.4161429043996,44.6822308690013,True
ARM,818.0,38.50855745721272,9.902200488997554,19.31540342298289,13.32518337408313,4.156479217603912,14.792176039119804,2025-08,48.41075794621027,56.81492109038737,36.79706601466993,True
ASM,0.0,,,,,,,2025-08,,,,False
ATG,0.0,,,,,,,2025-08,,,,False
AUS,18753.0,35.90892123926838,9.26251799712046,25.046659201194476,22.70570042126593,5.193835652962193,1.8823654881885563,2025-08,45.17143923638884,46.03804347826087,52.946195275422596,True
AUT,2600.0,32.92307692307692,11.653846153846152,22.423076923076923,25.961538461538463,5.269230769230769,1.7692307692307692,2025-08,44.57692307692307,45.379796397807354,53.65384615384615,True
AZE,484.0,35.12396694214876,16.115702479338843,22.107438016528928,20.867768595041323,3.0991735537190084,,2025-08,51.239669421487605,52.65392781316347,46.074380165289256,True
BDI,59.0,47.45762711864407,,,,,,2025-08,,,,False
BEL,3659.0,35.39218365673681,11.97048373872643,20.907351735446845,24.542224651544135,5.192675594424706,1.9950806231210712,2025-08,47.36266739546324,48.32682654768545,50.64225198141569,True
BEN,527.0,46.48956356736243,11.954459203036052,22.960151802656547,12.333965844402275,,3.6053130929791273,2025-08,58.44402277039848,62.34817813765182,35.294117647058826,True
BFA,273.0,50.54945054945055,9.157509157509155,16.84981684981685,18.68131868131868,,,2025-08,59.7069597069597,62.69230769230768,35.53113553113553,True
BGD,3318.0,43.70102471368294,12.447257383966246,21.549125979505725,16.00361663652803,3.25497287522604,3.044002411091019,2025-08,56.14828209764919,57.91109729561704,40.80771549125979,True
BGR,1558.0,35.43003851091143,14.569961489088575,21.052631578947366,22.015404364569964,4.2362002567394095,2.6957637997432604,2025-08,50.00000000000001,51.38522427440634,47.30423620025674,True
BHR,228.0,41.22807017543859,10.087719298245611,23.684210526315788,18.421052631578945,,,2025-08,51.3157894736842,54.92957746478873,42.10526315789473,True
BHS,46.0,43.47826086956522,,,,,,2025-08,,,,False
BIH,360.0,35.55555555555556,14.722222222222223,19.444444444444446,23.333333333333332,4.722222222222222,,2025-08,50.27777777777778,51.42045454545454,47.5,True
BLZ,38.0,42.10526315789473,,,,,,2025-08,,,,False
BMU,29.0,,,,,,,2025-08,,,,False
BOL,1012.0,41.50197628458498,11.462450592885377,25.197628458498023,17.391304347826086,2.9644268774703555,1.4822134387351775,2025-08,52.96442687747035,53.76128385155465,45.55335968379447,True
BRA,35482.0,54.14294571895609,8.67763936643932,20.077785919621217,12.203370723183586,3.136801758638183,1.761456513161603,2025-08,62.820585085395415,63.94698338927619,35.41795840144299,True
BRB,63.0,52.38095238095239,,30.15873015873016,,,,2025-08,,,30.15873015873016,False
BRN,61.0,31.147540983606557,,29.50819672131147,,,,2025-08,,,29.50819672131147,False
BTN,60.0,40.0,,,31.666666666666664,,,2025-08,,,31.666666666666664,False
BWA,104.0,48.07692307692308,,19.230769230769234,17.307692307692307,,,2025-08,,,36.53846153846154,False
CAN,20426.0,34.45608538137668,11.07412121805542,22.887496328209146,23.9645549789484,5.321648878879859,2.2960932145305004,2025-08,45.530206599432105,46.600190409380176,52.17370018603741,True
CHE,4311.0,34.44676409185804,11.737415912781255,22.10623985154257,25.1681744374855,5.010438413361169,1.5309672929714684,2025-08,46.1841800046393,46.90223792697291,52.284852702389244,True
CHL,4115.0,38.347509113001216,11.397326852976914,23.961117861482386,19.149453219927096,4.884568651275821,2.2600243013365735,2025-08,49.744835965978126,50.89507707608154,47.9951397326853,True
CIV,939.0,47.6038338658147,10.86261980830671,21.40575079872205,15.335463258785945,2.8753993610223643,1.9169329073482428,2025-08,58.46645367412141,59.609120521172635,39.61661341853036,True
CMR,937.0,48.559231590181426,9.391675560298824,21.66488794023479,13.980789754535753,2.454642475987193,3.9487726787620065,2025-08,57.95090715048025,60.33333333333333,38.10032017075773,True
COG,120.0,50.83333333333333,,21.666666666666668,15.0,,,2025-08,,,36.66666666666667,False
COL,7948.0,41.72118772018118,9.209864116758933,25.075490689481633,18.696527428283847,3.3341721187720186,1.9627579265223956,2025-08,50.931051836940114,51.95071868583162,47.1061902365375,True
COM,0.0,,,,,,,2025-08,,,,False
CPV,40.0,45.0,,,,,,2025-08,,,,False
CRI,1211.0,39.71924029727498,12.303881090008256,24.44260941370768,16.928158546655656,4.789430222956235,1.8166804293971923,2025-08,52.02312138728323,52.98570227081581,46.16019818331957,True
CUW,29.0,58.620689655172406,,,,,,2025-08,,,,False
CYM,35.0,48.57142857142857,,,,,,2025-08,,,,False
CYP,587.0,34.241908006814306,11.41396933560477,25.2129471890971,20.10221465076661,6.643952299829642,,2025-08,45.655877342419075,46.77137870855149,51.95911413969335,True
CZE,3097.0,33.580884727155315,12.140781401356152,18.889247659024864,28.25314820794317,4.940264772360349,2.195673232160155,2025-08,45.721666128511465,46.748101683724,52.08266063932838,True
DEU,25143.0,33.04299407389731,12.0112953903671,21.516923199300003,26.389054607644276,4.987471662092829,2.0522610666984846,2025-08,45.054289464264414,45.99829455475698,52.89344946903711,True
DJI,21.0,,,,,,,2025-08,,,,False
DMA,17.0,,,,,,,2025-08,,,,False
DNK,2282.0,31.551270815074496,12.138475021910605,22.87467134092901,26.555652936021033,5.9158632778264675,0.9640666082383872,2025-08,43.6897458369851,44.11504424778761,55.34618755477651,True
DOM,1131.0,43.94341290893015,10.963748894783375,22.281167108753316,16.887709991158268,3.978779840848806,1.9451812555260832,2025-08,54.90716180371352,55.99639314697927,43.14765694076039,True
DZA,1958.0,41.4708886618999,11.542390194075589,21.80796731358529,18.43718079673136,3.575076608784474,3.1664964249233916,2025-08,53.013278855975486,54.746835443037966,43.82022471910112,True
ECU,3042.0,46.97567389875082,8.61275476660092,23.898750821827743,14.76002629848784,4.437869822485207,1.314924391847469,2025-08,55.58842866535174,56.329113924050624,43.09664694280079,True
EGY,5376.0,44.10342261904761,13.560267857142858,20.703125,15.476190476190476,3.6830357142857144,2.473958333333333,2025-08,57.66369047619047,59.126454320045774,39.86235119047619,True
ESP,10582.0,35.7966357966358,13.466263466263468,22.01852201852202,21.924021924021925,4.46040446040446,2.334152334152334,2025-08,49.26289926289927,50.44025157232704,48.40294840294841,True
EST,701.0,35.23537803138373,14.407988587731811,21.11269614835949,23.823109843081312,3.851640513552068,,2025-08,49.64336661911554,50.43478260869565,48.78744650499287,True
FIN,1708.0,31.26463700234192,12.295081967213116,20.37470725995316,27.634660421545664,6.206088992974239,2.224824355971897,2025-08,43.559718969555036,44.55089820359282,54.21545667447306,True
FJI,59.0,40.67796610169492,,37.28813559322034,,,,2025-08,,,37.28813559322034,False
FRA,21314.0,35.868443276719525,12.085952894810925,22.93797503987989,22.511025616965373,4.485314816552501,2.111288355071784,2025-08,47.95439617153045,48.98868865030675,49.93431547339777,True
FRO,0.0,,,,,,,2025-08,,,,False
FSM,0.0,,,,,,,2025-08,,,,False
GAB,115.0,47.82608695652174,,26.08695652173913,13.043478260869565,,,2025-08,,,39.130434782608695,False
GBR,30474.0,34.76406116689637,9.854302027958258,24.74568484609831,23.14103826212509,5.571962984839535,1.922950712082431,2025-08,44.61836319485462,45.49317451820128,53.45868609306294,True
GEO,1335.0,35.580524344569284,12.209737827715356,23.44569288389513,22.09737827715356,4.119850187265917,2.546816479400749,2025-08,47.79026217228464,49.03920061491161,49.662921348314605,True
GGY,16.0,,,,,,,2025-08,,,,False
GHA,1892.0,49.15433403805497,9.19661733615222,19.661733615221987,16.86046511627907,2.272727272727273,2.854122621564482,2025-08,58.35095137420719,60.06528835690968,38.79492600422833,True
GIB,0.0,,,,,,,2025-08,,,,False
GIN,77.0,54.54545454545454,,,,,,2025-08,,,,False
GLP,44.0,,,,,,,2025-08,,,,False
GMB,48.0,43.75,,,,,,2025-08,,,,False
GNB,0.0,,,,,,,2025-08,,,,False
GNQ,0.0,,,,,,,2025-08,,,,False
GRC,2188.0,35.64899451553931,11.471663619744058,20.93235831809872,24.542961608775137,5.255941499085924,2.1480804387568555,2025-08,47.120658135283364,48.155067725361974,50.73126142595978,True
GRD,16.0,,,,,,,2025-08,,,,False
GRL,0.0,,,,,,,2025-08,,,,False
GTM,1116.0,41.12903225806452,10.39426523297491,23.476702508960575,20.340501792114697,3.763440860215054,,2025-08,51.52329749103943,51.98915009041591,47.58064516129033,True
GUF,16.0,,,,,,,2025-08,,,,False
GUM,28.0,,,,,,,2025-08,,,,False
GUY,31.0,54.83870967741935,,,,,,2025-08,,,,False
HND,433.0,42.956120092378754,9.930715935334874,24.249422632794456,15.242494226327944,6.0046189376443415,,2025-08,52.88683602771363,53.75586854460095,45.496535796766736,True
HRV,900.0,36.11111111111111,12.22222222222222,20.0,25.11111111111111,4.111111111111112,2.4444444444444446,2025-08,48.33333333333333,49.54441913439635,49.22222222222223,True
HTI,135.0,48.148148148148145,14.074074074074074,17.77777777777778,16.296296296296298,,,2025-08,62.22222222222222,64.61538461538461,34.074074074074076,False
HUN,1524.0,32.74278215223097,14.63254593175853,20.01312335958005,25.065616797900265,4.790026246719161,2.7559055118110236,2025-08,47.3753280839895,48.717948717948715,49.86876640419947,True
IDN,18030.0,45.64614531336661,8.119800332778702,24.37049362174154,16.860787576261785,3.266777592900721,1.7359955629506378,2025-08,53.76594564614531,54.71580967432409,44.498058790904054,True
IMN,42.0,45.23809523809524,,,,,,2025-08,,,,False
IND,68964.0,43.89391566614466,12.947334841366509,22.97140537091816,14.229163041586917,3.446725827968215,2.5114552520155446,2025-08,56.84125050751116,58.305568776772965,40.64729424047329,True
IRL,2077.0,36.73567645642754,9.003370245546462,21.906596051998072,25.180548868560425,5.151661049590756,2.0221473278767452,2025-08,45.739046701974004,46.68304668304668,52.23880597014926,True
IRQ,2840.0,37.21830985915493,6.126760563380282,15.809859154929578,33.028169014084504,3.591549295774648,4.225352112676056,2025-08,43.34507042253521,45.25735294117647,52.42957746478873,True
ISL,199.0,32.663316582914575,9.547738693467336,24.120603015075375,24.120603015075375,,,2025-08,42.21105527638191,46.66666666666667,48.24120603015075,False
ISR,10941.0,34.74088291746641,10.17274472168906,24.129421442281327,23.507906041495293,5.1000822593912805,2.348962617676629,2025-08,44.913627639155465,45.99400973418195,52.737409743167895,True
ITA,14383.0,35.89654453173886,11.235486338037962,22.533546548008065,23.590349718417578,4.971146492386846,1.772926371410693,2025-08,47.13203086977683,47.98272933182333,51.09504275881249,True
JAM,310.0,46.12903225806452,14.193548387096774,20.0,15.161290322580644,,,2025-08,60.322580645161295,63.17567567567568,35.16129032258064,True
JEY,31.0,51.61290322580645,,,,,,2025-08,,,,False
JOR,893.0,40.089585666293395,14.893617021276595,20.716685330347147,17.69316909294513,3.3594624860022395,3.2474804031354982,2025-08,54.98320268756999,56.828703703703695,41.76931690929451,True
JPN,35298.0,34.9736528981812,7.38568757436682,21.896424726613407,27.825939146693862,5.6405462065839425,2.2777494475607685,2025-08,42.35934047254802,43.34666898591059,55.362910079891215,True
KAZ,1371.0,35.44857768052516,13.566739606126916,19.11013858497447,24.215900802334065,5.25164113785558,2.4070021881838075,2025-08,49.01531728665208,50.224215246636774,48.57768052516412,True
KEN,4065.0,45.28905289052891,10.52890528905289,24.747847478474785,13.726937269372694,3.0012300123001228,2.706027060270603,2025-08,55.817958179581794,57.370417193426036,41.4760147601476,True
KGZ,276.0,39.492753623188406,13.405797101449275,19.92753623188406,18.115942028985508,,,2025-08,52.89855072463768,58.16733067729083,38.04347826086956,True
KHM,733.0,46.65757162346521,12.96043656207367,17.598908594815825,16.780354706684857,3.547066848567531,2.455661664392906,2025-08,59.61800818553888,61.11888111888112,37.92633015006822,True
KIR,0.0,,,,,,,2025-08,,,,False
KNA,0.0,,,,,,,2025-08,,,,False
KOR,35285.0,34.742808558877705,8.86779084596854,26.82442964432478,22.386283123140142,5.118322233243588,2.0603655944452317,2025-08,43.61059940484625,44.528039817119044,54.329035000708515,True
KWT,344.0,40.69767441860465,13.662790697674415,21.22093023255814,18.023255813953487,,,2025-08,54.360465116279066,58.07453416149069,39.24418604651163,True
LAO,381.0,48.818897637795274,10.761154855643044,16.010498687664043,19.160104986876643,,,2025-08,59.580052493438316,62.880886426592795,35.170603674540686,True
LBN,698.0,37.249283667621775,15.18624641833811,22.922636103151863,16.332378223495702,5.730659025787966,2.5787965616045847,2025-08,52.43553008595988,53.8235294117647,44.98567335243553,True
LBR,36.0,55.55555555555556,,,,,,2025-08,,,,False
LCA,40.0,45.0,,,,,,2025-08,,,,False
LIE,21.0,,,,,,,2025-08,,,,False
LKA,3795.0,47.457180500658765,10.88274044795784,20.474308300395258,14.782608695652174,3.4782608695652173,2.924901185770751,2025-08,58.33992094861661,60.097719869706836,38.73517786561265,True
LSO,55.0,45.45454545454545,,,,,,2025-08,,,,False
LTU,1045.0,32.44019138755981,12.63157894736842,20.382775119617225,28.421052631578945,4.401913875598086,1.7224880382775118,2025-08,45.071770334928225,45.86173320350535,53.20574162679425,True
LUX,333.0,36.03603603603604,12.912912912912914,23.72372372372373,21.02102102102102,,,2025-08,48.94894894894895,52.24358974358974,44.74474474474475,True
LVA,645.0,33.48837209302326,15.193798449612403,20.155038759689923,24.651162790697676,5.116279069767442,,2025-08,48.68217054263566,49.37106918238994,49.92248062015504,True
MAF,0.0,,,,,,,2025-08,,,,False
MAR,4845.0,41.424148606811144,14.241486068111456,22.41486068111455,15.45923632610939,3.611971104231166,2.848297213622291,2025-08,55.6656346749226,57.29764181007011,41.486068111455104,True
MCO,25.0,,,,,,,2025-08,,,,False
MDA,493.0,35.496957403651116,16.024340770791078,20.689655172413794,20.28397565922921,4.86815415821501,,2025-08,51.521298174442194,52.916666666666664,45.84178498985801,True
MDG,583.0,38.59348198970841,14.408233276157803,26.58662092624357,13.550600343053173,,4.459691252144083,2025-08,53.00171526586621,56.9060773480663,40.137221269296745,True
MDV,159.0,42.76729559748428,10.062893081761008,27.67295597484277,15.723270440251572,,,2025-08,52.83018867924528,54.90196078431373,43.39622641509434,False
MEX,9172.0,41.44134321849106,10.695595290013085,22.28521587440035,20.202791103358045,3.7069341474051463,1.668120366332316,2025-08,52.136938508504144,53.02139926821155,46.19494112516354,True
MHL,0.0,,,,,,,2025-08,,,,False
MKD,330.0,35.45454545454545,17.272727272727273,20.909090909090907,20.0,,,2025-08,52.72727272727273,56.31067961165049,40.90909090909091,True
MLT,283.0,38.515901060070675,10.247349823321557,25.4416961130742,19.081272084805654,,,2025-08,48.76325088339223,52.27272727272727,44.522968197879855,True
MNE,222.0,33.33333333333333,13.513513513513514,23.423423423423426,21.17117117117117,7.207207207207207,,2025-08,46.846846846846844,47.48858447488584,51.8018018018018,True
MNG,178.0,44.38202247191011,10.112359550561797,19.101123595505616,19.662921348314608,,,2025-08,54.49438202247191,58.43373493975904,38.764044943820224,False
MNP,0.0,,,,,,,2025-08,,,,False
MOZ,453.0,55.84988962472406,6.401766004415011,15.2317880794702,16.777041942604857,,3.532008830022075,2025-08,62.251655629139066,66.04215456674474,32.00883002207506,True
MRT,67.0,43.28358208955223,22.388059701492537,,,,,2025-08,65.67164179104478,100.0,,False
MTQ,56.0,46.42857142857143,,,,,,2025-08,,,,False
MUS,312.0,42.94871794871795,6.089743589743589,26.282051282051285,19.230769230769234,,,2025-08,49.03846153846154,51.864406779661024,45.51282051282052,True
MWI,194.0,48.96907216494845,8.762886597938143,24.22680412371134,12.371134020618555,,,2025-08,57.73195876288659,61.20218579234973,36.597938144329895,False
MYS,4881.0,37.574267568121286,11.04281909444786,24.257324318787138,19.21737348903913,5.593116164720344,2.315099364884245,2025-08,48.61708666256915,49.769295302013425,49.06781397254661,True
NAM,179.0,46.927374301675975,8.938547486033519,25.139664804469277,12.290502793296088,,,2025-08,55.865921787709496,59.88023952095809,37.43016759776536,False
NCL,47.0,46.808510638297875,,,,,,2025-08,,,,False
NER,71.0,46.478873239436616,,21.12676056338028,,,,2025-08,,,21.12676056338028,False
NGA,6855.0,46.37490882567469,10.24070021881838,23.99708242159008,12.954048140043763,3.5448577680525166,2.888402625820569,2025-08,56.61560904449307,58.29953432477091,40.49598832968636,True
NLD,7752.0,32.70123839009288,11.235810113519092,22.65221878224974,26.560887512899896,5.018059855521155,1.8317853457172344,2025-08,43.937048503611976,44.7568988173456,54.23116615067079,True
NOR,2136.0,31.507490636704123,11.235955056179774,20.59925093632959,28.230337078651687,5.8520599250936325,2.5749063670411987,2025-08,42.743445692883896,43.8731379144642,54.68164794007491,True
NPL,2123.0,42.487046632124354,12.81205840791333,23.551577955723033,15.544041450777202,3.2030146019783325,2.402260951483749,2025-08,55.29910504003769,56.660231660231666,42.298634008478565,True
NRU,0.0,,,,,,,2025-08,,,,False
NZL,3647.0,35.91993419248698,9.679188374006031,24.814916369618864,21.689059500959697,6.032355360570332,1.8645462023581023,2025-08,45.59912256649301,46.46549315451243,52.53633123114889,True
OMN,297.0,41.41414141414141,11.784511784511784,19.52861952861953,21.21212121212121,,,2025-08,53.1986531986532,56.63082437275986,40.74074074074074,True
PAK,9264.0,48.48877374784111,14.129965457685664,21.427029360967182,10.79447322970639,2.8821243523316062,2.2776338514680483,2025-08,62.61873920552677,64.07820611951838,35.10362694300518,True
PAN,703.0,42.38975817923186,10.668563300142248,23.897581792318633,17.78093883357041,3.1294452347083923,2.1337126600284493,2025-08,53.05832147937411,54.21511627906976,44.807965860597434,True
PER,5060.0,42.23320158102767,9.209486166007904,24.762845849802375,18.438735177865613,3.122529644268775,2.233201581027668,2025-08,51.44268774703558,52.61774813017991,46.32411067193676,True
PHL,9075.0,41.45454545454545,9.476584022038567,28.23140495867769,15.074380165289256,3.7796143250688705,1.9834710743801651,2025-08,50.93112947658402,51.961776278808316,47.08539944903581,True
PLW,0.0,,,,,,,2025-08,,,,False
PNG,68.0,42.64705882352941,,30.88235294117647,,,,2025-08,,,30.88235294117647,False
POL,9972.0,33.57400722021661,11.742880064179705,19.223826714801444,22.47292418772563,10.990774167669477,1.99558764540714,2025-08,45.316887284396316,46.23963982400491,52.68752507019655,True
PRI,444.0,39.189189189189186,9.00900900900901,22.07207207207207,21.846846846846844,5.63063063063063,,2025-08,48.1981981981982,49.30875576036866,49.54954954954955,True
PRT,3521.0,35.586481113320076,12.127236580516898,22.94802612894064,21.811985231468334,5.396194262993468,2.1300766827605795,2025-08,47.713717693836976,48.75217643644805,50.15620562340244,True
PRY,677.0,50.51698670605613,7.680945347119645,20.974889217134415,14.918759231905463,4.13589364844904,,2025-08,58.197932053175776,59.24812030075187,40.02954209748892,True
PSE,307.0,38.43648208469055,15.63517915309446,22.149837133550488,15.960912052117262,5.863192182410423,,2025-08,54.071661237785015,55.14950166112956,43.97394136807817,True
PYF,60.0,35.0,,35.0,,,,2025-08,,,35.0,False
QAT,476.0,40.12605042016807,12.394957983193278,25.210084033613445,14.705882352941178,5.6722689075630255,,2025-08,52.52100840336135,53.53319057815846,45.588235294117645,True
REU,160.0,34.375,15.0,28.125,18.125,,,2025-08,49.375,51.633986928104584,46.25,False
ROU,3327.0,35.40727382025849,13.675984370303576,20.799519086263903,23.504658851818455,4.478509167418094,2.1340547039374815,2025-08,49.08325819056206,50.153562653562645,48.78268710550046,True
RWA,653.0,46.09494640122512,13.47626339969372,23.27718223583461,12.098009188361408,,3.062787136294028,2025-08,59.571209800918844,62.74193548387098,35.37519142419602,True
SAU,2794.0,39.94273443092341,13.886900501073727,21.581961345740876,17.752326413743734,3.758052970651396,3.0780243378668573,2025-08,53.829634931997134,55.53914327917282,43.09234073013601,True
SEN,828.0,44.565217391304344,12.80193236714976,21.3768115942029,14.734299516908212,3.3816425120772946,3.140096618357488,2025-08,57.367149758454104,59.22693266832918,39.492753623188406,True
SGP,5375.0,35.218604651162785,9.227906976744189,24.22325581395349,24.148837209302325,5.283720930232558,1.8976744186046512,2025-08,44.44651162790697,45.30627726152095,53.65581395348838,True
SLB,0.0,,,,,,,2025-08,,,,False
SLE,54.0,59.25925925925925,,,,,,2025-08,,,,False
SLV,443.0,46.72686230248307,14.22121896162528,19.187358916478555,15.80135440180587,,,2025-08,60.94808126410835,63.52941176470588,34.988713318284425,True
SMR,17.0,,,,,,,2025-08,,,,False
SRB,1539.0,34.50292397660819,13.060428849902534,21.637426900584796,24.366471734892787,4.028589993502274,2.4041585445094213,2025-08,47.56335282651072,48.735019973368836,50.032488628979856,True
STP,0.0,,,,,,,2025-08,,,,False
SUR,26.0,,,,,,,2025-08,,,,False
SVK,903.0,36.87707641196013,13.2890365448505,19.269102990033225,23.809523809523807,4.651162790697675,2.104097452934662,2025-08,50.166112956810636,51.24434389140271,47.729789590254704,True
