geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp
AGO,59.276018099547514,0.0456122704656556,67.48700212213342,3.2130063773023494,-0.644819780783667,2025-08,5796.591076911293,17.22689075630252,34.33962264150943,portuguese,,,,,,,,,,,8.665025278384377
ALB,56.284153005464475,0.7888309384528269,68.43148423258978,-0.1662307778725491,0.167171348058935,2025-08,15160.177657549832,25.13513513513514,30.69908814589666,english,,,,,,,,4.62,4.389583333333333,,9.626427377963438
ARE,52.758855585831064,1.2922019273345715,58.87494955917343,0.2280108730100494,-0.0253166946544542,2025-08,60127.05878296327,28.595151112587185,30.808861411643484,english,0.0208894878706199,,,,80.0,38.0,68.0,,,80.0,11.004215248534315
ARG,54.4161429043996,0.7842234914875027,58.566261663272634,2.011904153878312,-0.5557722383285048,2025-08,20966.423275351695,32.02973497091144,33.90275952693823,spanish,0.0237341772151898,49.0,46.0,86.0,,,,5.640540540540542,5.998366013071895,49.0,9.950677545464252
ARM,56.81492109038737,1.5414610298047535,66.0300153173594,1.3494812811520234,0.7449384905632501,2025-08,12551.43122594346,15.770171149144252,34.8968105065666,english,,,,,,,,,,,9.437589979965491
AUS,46.03804347826087,4.101449368258871,48.300565917407525,-2.155799251422863,2.013957046373861,2025-08,102513.1805350331,24.125818297940288,41.712403951701425,english,0.0153721682847896,38.0,90.0,51.0,,,,4.740285204991085,5.6942829457364335,38.0,11.537746659879229
AUT,45.37979639780736,1.6663721262550917,58.709852954016306,-7.083335214351443,0.3368319956638048,2025-08,87151.06570374031,23.538461538461537,39.45981554677207,english,0.0311871227364185,11.0,55.0,70.0,,,,4.953846153846153,5.8920118343195265,11.0,11.375398279258258
AZE,52.653927813163484,0.2611554372170135,67.7544756228313,-3.5187861047142945,-0.4098005322167186,2025-08,10460.39769104414,33.05785123966942,36.29893238434164,english,,,,,,,,,,,9.25535175707247
BEL,48.32682654768544,1.861428503075573,57.76271126420274,-3.747842197398171,0.4629222543692737,2025-08,88245.97318402125,25.034162339437003,40.3393665158371,english,0.018542199488491,65.0,75.0,94.0,,,,,,65.0,11.38788334411166
BEN,62.34817813765182,0.2524600653772727,66.76335527530115,6.58196459448979,-0.4906643279460371,2025-08,2655.416999442524,27.703984819734345,27.798507462686565,french,,,,,,,,,,,7.884356983280025
