geo_id,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended
ABW,55553.99364615255,,,,,,,,,,,,,
AGO,5796.591076911293,17.22689075630252,34.33962264150943,portuguese,,,,,,,,,,
ALB,15160.177657549832,25.13513513513514,30.69908814589666,english,,,,,,,,4.62,4.389583333333333,
AND,68285.58866303651,,31.343283582089555,mixed,,,,,,,,,,
ARE,60127.05878296327,28.595151112587185,30.808861411643484,english,0.0208894878706199,,,,80.0,38.0,68.0,,,80.0
ARG,20966.423275351695,32.02973497091144,33.90275952693823,spanish,0.0237341772151898,49.0,46.0,86.0,,,,5.640540540540542,5.998366013071895,49.0
ARM,12551.43122594346,15.770171149144252,34.8968105065666,english,,,,,,,,,,
ATG,33696.80448281085,,,,,,,,,,,,,
AUS,102513.1805350331,24.125818297940288,41.712403951701425,english,0.0153721682847896,38.0,90.0,51.0,,,,4.740285204991085,5.6942829457364335,38.0
AUT,87151.06570374031,23.538461538461537,39.45981554677207,english,0.0311871227364185,11.0,55.0,70.0,,,,4.953846153846153,5.8920118343195265,11.0
AZE,10460.39769104414,33.05785123966942,36.29893238434164,english,,,,,,,,,,
BDI,639.8290120031005,,,,,,,,,,,,,
BEL,88245.97318402125,25.034162339437003,40.3393665158371,english,0.018542199488491,65.0,75.0,94.0,,,,,,65.0
BEN,2655.416999442524,27.703984819734345,27.798507462686565,french,,,,,,,,,,
BFA,1832.887591889975,13.553113553113556,23.837209302325583,french,,,,,,,,,,
BGD,3967.2406267898255,39.089813140446054,31.40013726835964,english,0.0436941410129096,80.0,20.0,60.0,,,,,,80.0
BGR,27428.09326705219,26.31578947368421,40.750853242320815,english,,70.0,30.0,85.0,,,,,,70.0
BHR,38161.782937228934,,30.96085409252669,english,,,,,,,,,,
BHS,52316.51473694657,,43.90243902439024,,,,,,,,,,,
BIH,14058.115992760766,11.11111111111111,32.035928143712574,english,,,,,,,,,,
BLZ,12013.264719491846,,,,,,,,,,,,,
BOL,6038.784004183883,19.36758893280632,20.781758957654723,spanish,,,,,,,,4.509756097560977,5.37,
BRA,14782.600419414845,28.991336633663373,33.02416579109453,portuguese,0.0215239980207817,69.0,38.0,76.0,,,,5.326086956521742,6.0408745247148286,69.0
BRB,38322.71932498115,,25.92592592592593,english,,,,,,,,,,
BRN,46216.28972529656,,23.52941176470588,english,,,,,,,,,,
BTN,5380.966137503524,,32.8125,english,,,,,,,,,,
BWA,12027.171116893962,,29.585798816568047,english,,,,,,,,,,
CAN,83397.40614599641,29.94333724110981,41.78007263816566,english,0.0159739201303993,39.0,80.0,48.0,,,,,,39.0
CHE,159447.77850270874,23.382045929018787,41.30690737833594,english,0.0197910940076965,34.0,68.0,58.0,,,,4.89685534591195,5.795171339563863,34.0
CHL,24248.62384782136,26.43985419198056,33.04529981670594,spanish,0.0273348519362186,63.0,23.0,86.0,,,,,,63.0
CIV,4825.4978829441125,24.600638977635786,26.117440841367223,french,0.0515759312320916,,,,,,,,,
CMR,3250.193069497753,27.641408751334044,24.80544747081712,french,0.081081081081081,,,,,,,,,
