geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
AGO,59.276018099547514,0.0456122704656556,67.48700212213342,3.2130063773023494,-0.644819780783667,2025-08,5796.591076911293,17.22689075630252,34.33962264150943,portuguese,,,,,,,,,,,8.665025278384377,10.226414680480955,3.961622476577759,3.6641509532928462,43.0188679245283,22.641509433962263,69.50354609929079,40.70479965,9.9549065722902
ALB,56.284153005464475,0.7888309384528269,68.43148423258978,-0.1662307778725491,0.167171348058935,2025-08,15160.177657549832,25.13513513513514,30.69908814589666,english,,,,,,,,4.62,4.389583333333333,,9.626427377963438,12.075987815856934,3.495288610458374,3.522796392440796,56.23100303951368,13.069908814589661,97.02970297029704,85.86389923,84.1496200561523
ARE,52.758855585831064,1.2922019273345715,58.87494955917343,0.2280108730100494,-0.0253166946544542,2025-08,60127.05878296327,28.595151112587185,30.808861411643484,english,0.0208894878706199,,,,80.0,38.0,68.0,,,80.0,11.004215248534315,11.950553894042969,3.5423359870910645,3.3922224044799805,54.559505409582684,14.631633178773832,98.98921832884096,100.0,63.7384451086316
ARG,54.4161429043996,0.7842234914875027,58.566261663272634,2.011904153878312,-0.5557722383285048,2025-08,20966.423275351695,32.02973497091144,33.90275952693823,spanish,0.0237341772151898,49.0,46.0,86.0,,,,5.640540540540542,5.998366013071895,49.0,9.950677545464252,11.679204940795898,2.962716817855835,3.447766065597534,42.887647831800265,23.209592641261494,85.00791139240506,89.66715228,107.822574129434
ARM,56.81492109038737,1.5414610298047535,66.0300153173594,1.3494812811520234,0.7449384905632501,2025-08,12551.43122594346,15.770171149144252,34.8968105065666,english,,,,,,,,,,,9.437589979965493,11.590994834899902,2.5251219272613525,3.412757873535156,45.96622889305816,19.136960600375236,91.52542372881356,81.33930206,52.7748065090859
AUS,46.03804347826087,4.101449368258871,48.300565917407525,-2.155799251422863,2.013957046373861,2025-08,102513.1805350331,24.125818297940288,41.712403951701425,english,0.0153721682847896,38.0,90.0,51.0,,,,4.740285204991085,5.6942829457364335,38.0,11.537746659879229,12.04371166229248,2.74928617477417,3.3097236156463623,43.92070769032092,14.366888357977661,99.59546925566343,96.13140106,108.421989440918
AUT,45.37979639780736,1.6663721262550917,58.709852954016306,-7.083335214351443,0.3368319956638048,2025-08,87151.06570374031,23.538461538461537,39.45981554677207,english,0.0311871227364185,11.0,55.0,70.0,,,,4.953846153846153,5.8920118343195265,11.0,11.375398279258258,12.104084014892578,2.6400563716888428,3.364295244216919,43.67588932806324,16.86429512516469,87.92756539235413,94.91974877,92.6126708984375
AZE,52.653927813163484,0.2611554372170135,67.7544756228313,-3.5187861047142945,-0.4098005322167186,2025-08,10460.39769104414,33.05785123966942,36.29893238434164,english,,,,,,,,,,,9.25535175707247,11.415630340576172,3.330603837966919,3.483126163482666,42.34875444839858,21.35231316725979,93.26923076923076,90.43979645,41.3413783372226
BEL,48.32682654768544,1.861428503075573,57.76271126420274,-3.747842197398171,0.4629222543692737,2025-08,88245.97318402125,25.034162339437003,40.3393665158371,english,0.018542199488491,65.0,75.0,94.0,,,,,,65.0,11.38788334411166,12.008821487426758,2.409276247024536,3.344944477081299,45.42986425339367,14.23076923076923,80.1150895140665,95.77579144,82.1475601196289
BEN,62.34817813765182,0.2524600653772727,66.76335527530115,6.58196459448979,-0.4906643279460371,2025-08,2655.416999442524,27.703984819734345,27.798507462686565,french,,,,,,,,,,,7.884356983280025,11.891791343688965,4.0718302726745605,3.5858209133148193,47.76119402985074,24.44029850746269,69.23076923076923,33.98379898,10.2350101470947
