iso3,HD.HCI.HLOS,HD.HCI.LAYS,HD.HCI.EYRS,SE.SEC.ENRR,SE.PRM.ENRR,SE.XPD.TOTL.GD.ZS
,346.629669189453,7.87082147598267,11.7409467697144,96.4631271362305,99.8059997558594,3.6236863467978
ABW,,,,124.379366731084,107.716996929947,3.61855755636695
AFE,,,,45.6060791015625,101.309242248535,3.96229304413263
AFG,354.7587890625,5.05283832550049,8.90189075469971,59.6136016845703,112.230903625488,4.34319019317627
AFW,,,,46.3004913330078,91.0609893798828,3.21562023947166
AGO,325.965484619141,4.23497772216797,8.12006568908691,51.4839046246776,86.7353918783767,2.51273663315785
ALB,434.127593994141,8.95301818847656,12.8893814086914,108.355392456055,111.511650085449,3.09153008460998
AND,,,,101.923820495605,99.8579545454545,1.89867997169495
ARB,,,,68.8945465087891,91.5640716552734,3.76860740670194
ARE,448.040679931641,9.64599704742432,13.4558057785034,102.129724902444,108.044420617858,3.89404010772705
ARG,408.172637939453,8.41131019592285,12.8795232772827,105.574584297051,102.535244031037,5.00324010848999
ARM,442.969451904297,7.99462080001831,11.2798700332642,90.9458714101262,101.990554375733,2.43869996070862
ATG,406.997436523438,8.44442176818848,12.9675598144531,108.880778588808,112.255406797116,3.10505161832136
AUS,515.685363769531,11.2225046157837,13.6014432907104,131.931564331055,99.6071014404297,5.05915021896362
AUT,507.639373779297,10.9062051773071,13.4275989532471,100.622657775879,101.308898925781,5.27749013900757
AZE,415.946197509766,8.28151321411133,12.4437866210938,91.1228035886648,105.625024046785,3.66036009788513
BDI,422.747802734375,5.16467428207397,7.63557195663452,44.9151717353101,101.661087301601,4.87114173892375
BEL,516.807861328125,11.1832885742188,13.5244760513306,142.960266113281,102.108009338379,6.27611017227173
BEN,383.9228515625,5.66641664505005,9.22453594207764,43.5606498718262,108.036239624023,3.22974322056608
BFA,403.654327392578,4.53306150436401,7.01878643035889,29.9905774531085,77.1665925504108,5.32757840997187
BGD,368.315277099609,5.9894208908081,10.1635427474976,64.2997191043961,106.491310395865,2.0343847791384
BGR,441.093322753906,8.68730926513672,12.3093404769897,94.7816314697266,95.2764205932617,4.50109004974365
BHR,451.705993652344,9.28683853149414,12.8496723175049,98.8139181413527,96.8752475247525,1.88778167912993
BHS,,,,79.4858750299258,92.856648199446,2.74191570247934
BIH,416.134063720703,7.80188322067261,11.7178030014038,87.8663787841797,101.194877624512,3.24564826597779
BLR,488.143096923828,10.784273147583,13.8077774047852,94.7902702871216,96.8224030073024,5.04593992233276
BLZ,,,,86.4571583269413,96.4819245941926,4.62276317232973
BMU,,,,74.3967514038086,92.8512496948242,1.86510440752276
BOL,,,,90.5272216796875,93.6766510009766,7.53980016708374
BRA,413.244750976563,7.87283945083618,11.9070472717285,104.144660949707,104.296913146973,5.61920976638794
BRB,,,,104.371182990274,83.9370240790286,3.55593188106322
BRN,437.515930175781,9.21892356872559,13.1694107055664,91.8381544399811,94.8207871800668,4.42539978027344
BTN,386.739410400391,6.32679033279419,10.2245693206787,86.1810001963554,114.881123575514,5.84518003463745
BWA,391.318298339844,5.0830454826355,8.11846351623535,70.6292572021484,109.27325614686,8.05833660991541
CAF,368.730163574219,2.69615483283997,4.56999969482422,15.8074398040772,96.8125991821289,1.82995911310419
CAN,533.997985839844,11.724045753479,13.7220153808594,104.320877075195,95.0100479125977,4.84426021575928
CEB,,,,99.31640625,98.6306533813477,4.31669998168945
CHE,515.139038085938,10.9337730407715,13.2655611038208,101.4287109375,101.21174621582,4.86427021026611
CHL,452.218231201172,9.40742969512939,13.0017833709717,105.608551025391,99.4942321777344,4.91201019287109
CHN,441.0,9.27002716064453,13.1377935409546,92.2603063015232,99.644962886981,3.89714002609253
CIV,373.230529785156,4.81159114837646,8.05733776092529,65.3065056618336,93.2964368826882,3.61279988288879
CMR,378.868835449219,5.28687429428101,8.72147846221924,44.840795775403,114.407278765947,2.83907623667935
COD,310.197143554688,4.53227567672729,9.13184547424316,55.4860992431641,117.602096557617,2.84466514463005
COG,370.614074707031,5.28511667251587,8.91276931762695,50.520320892334,87.880241394043,3.34005209256916
COL,419.027526855469,8.62216186523438,12.8603744506836,101.573776245117,104.830467224121,5.26166009902954
COM,392.225524902344,5.12938976287842,8.17353343963623,54.8057289123535,97.0049189979678,2.34146896682989
CPV,,,,96.4315940376876,102.973013922324,4.3482854136693
CRI,428.555694580078,8.99331092834473,13.1157264709473,121.810760498047,104.774353027344,5.31208992004395
CSS,,,,85.9280090332031,94.0412826538086,3.23358011245727
CUB,,,,91.7456844321038,98.1092191903079,8.44086351669284
CUW,,,,89.9053421020508,79.3049163818359,5.44313725490196
CYM,,,,84.7603098178773,95.7366909653192,1.57024002075195
CYP,502.162170410156,10.9170904159546,13.5876054763794,106.741279602051,105.259872436523,4.74210977554321
CZE,512.221618652344,11.1165237426758,13.5641040802002,97.6154174804688,99.699089050293,4.30291986465454
DEU,517.281433105469,11.0330896377563,13.3306179046631,100.243698120117,102.638023376465,5.23916006088257
DJI,,,,,,3.75143003463745
DMA,403.783233642578,8.00887203216553,12.396614074707,102.585807800293,96.7877094972067,5.38572189060925
DNK,517.877807617188,11.0988283157349,13.3946027755737,125.628089904785,99.7760925292969,6.35586023330688
DOM,345.216522216797,6.55853319168091,11.8739490509033,76.3648403372637,101.939084340722,3.7606477375256
DZA,374.089080810547,7.091552734375,11.8480348587036,105.164131811213,106.368889468205,8.97772026062012
EAP,,,,91.0118637084961,99.9748001098633,3.01801614079218
EAR,,,,76.7462997436523,105.642349243164,3.393709897995
EAS,,,,92.0157470703125,100.047248840332,3.51481008529663
ECA,,,,101.207878112793,96.6787490844727,3.70918011665344
ECS,,,,103.311096191406,99.9414596557617,4.56857490539551
ECU,420.148559570313,8.69649028778076,12.9366292953491,92.8118025876465,97.2490097236115,3.69074988365173
EGY,355.986511230469,6.52936267852783,11.4635009765625,84.8286031306453,96.7073863024522,
EMU,,,,107.966987609863,102.890296936035,4.74210977554321
ERI,,,,44.0441284179688,89.7312469482422,
ESP,506.621185302734,10.5146961212158,12.9715948104858,118.537803649902,102.936981201172,4.58553981781006
EST,543.2060546875,11.7193126678467,13.4839639663696,108.538726806641,97.8220596313477,5.20733976364136
ETH,348.199035644531,4.34911251068115,7.80644083023071,33.9114221981431,84.4160102082984,2.2978069565991
EUU,,,,106.954109191895,102.439392089844,4.65688991546631
FIN,533.707641601563,11.7387523651123,13.7467031478882,142.395156860352,98.865608215332,6.37578010559082
FJI,383.335968017578,6.95113611221313,11.3332958221435,98.0927630329298,110.377230542693,4.24679790890603
FRA,510.260589599609,11.268723487854,13.8026580810547,103.78540802002,103.439743041992,5.32434988021851
FSM,379.902587890625,7.18635177612305,11.8226890563965,,82.1598198983817,11.5591397849462
GAB,456.127685546875,6.02492713928223,8.25553798675537,70.2639966402203,100.171603677222,2.31594287726056
GBR,520.3564453125,11.5380058288574,13.8582963943481,112.120048522949,102.171287536621,5.90681982040405
GEO,399.766296386719,8.27399158477783,12.9356689453125,100.959315536762,99.3560206839885,3.98011682083814
GHA,307.275787353516,5.95872831344604,12.1200742721558,75.7174682617188,100.967018127441,2.90963831638452
GIB,,,,78.5279769897461,101.773180642778,
GIN,408.249084472656,4.5682201385498,6.99361658096313,38.5548782348633,100.474517822266,1.72470879088585
GMB,352.899627685547,5.37541961669922,9.52009296417236,107.027125590442,98.6058833319274,2.80838156544977
GNB,,,,,113.436782836914,2.01027011871338
GNQ,,,,,47.5486488342285,
GRC,468.63623046875,9.9642505645752,13.2888927459717,105.191741943359,102.020217895508,3.37547993659973
GRD,394.749145507813,8.27358818054199,13.0994386672974,100.731679432948,110.590518436374,5.12544845968893
GTM,405.257568359375,6.29768991470337,9.71248054504395,49.5765804970836,101.488831252809,3.07588005065918
GUY,346.365905761719,6.76324939727783,12.2039461135864,91.4304496450171,97.5535955044616,4.45058012008667
HKG,548.631408691406,11.8867826461792,13.5414037704468,107.160326941213,103.152955896153,3.80552005767822
HND,399.750793457031,6.1338038444519,9.59004306793213,51.7639813154374,78.9690848390083,4.54962037172702
HPC,,,,42.031810760498,100.075187683105,3.24413772101569
HRV,487.581237792969,10.4461622238159,13.390284538269,105.025161743164,101.157791137695,4.0916600227356
HTI,337.815307617188,6.14986038208008,11.3780002593994,,183.989440244666,0.964648012977964
HUN,495.481231689453,10.2715682983398,12.9565553665161,107.350929260254,102.887977600098,3.8011999130249
IBD,,,,87.8844375610352,105.780838012695,3.6590050458908
IBT,,,,74.2192764282227,102.438049316406,3.51481008529663
IDA,,,,49.8824882507324,97.2686233520508,3.22974322056608
IDB,,,,51.6991004943848,91.0903167724609,3.34005209256916
IDN,394.915100097656,7.82776832580566,12.3883724212647,98.836444459078,100.036318150714,1.27517088245674
IDX,,,,49.2888603210449,100.371231079102,3.21562023947166
IND,399.0,7.10217046737671,11.1249532699585,78.1058073224606,120.520368565055,4.09865814174589
IRL,521.328552246094,11.5947971343994,13.9005393981934,130.604965209961,96.4761428833008,2.90461993217468
IRN,432.108215332031,8.19246196746826,11.849552154541,85.1469802856445,101.962623596191,2.82443290958712
