geo_id,automation,expected,aui,personal_share,prompt_education,coding_share,auto_resid,country,wave
AE-AZ,50.16,54.169427330173775,,33.34,11.68,23.3,0.906614061199825,AE,2026-04
AE-DU,51.71,47.04683012946253,,32.6,11.67,23.26,2.6823024679113416,AE,2026-04
AE-SH,50.17,52.62933975240715,,32.13,11.21,24.43,0.9654136636240125,AE,2026-04
AR-B,48.13,50.26967459324153,,35.62,11.11,25.5,-0.999817392528989,AR,2026-04
AR-C,47.71,47.464131590606996,,33.89,11.44,25.25,-1.3309202511657219,AR,2026-04
AR-M,52.09,54.987045177045175,,33.17,11.19,26.7,2.810706816418268,AR,2026-04
AR-S,52.47,60.811924829157164,,34.42,11.25,28.03,3.006138214414463,AR,2026-04
AR-T,49.24,56.83158602150537,,32.85,11.2,28.96,-0.09773976880474322,AR,2026-04
AR-X,50.23,50.06598274799753,,31.6,11.42,27.26,1.1066368385215384,AR,2026-04
AT-3,48.39,57.216409495548966,,41.97,11.75,25.55,-0.9599333822121423,AT,2026-04
AT-4,51.24,58.00999999999999,,43.29,11.68,29.91,1.8649207094227123,AT,2026-04
AT-5,48.46,66.6411188811189,,33.43,12.25,31.64,-1.1885670947483362,AT,2026-04
AT-6,45.25,61.70501547987615,,37.75,12.2,26.68,-4.242160480616278,AT,2026-04
AT-7,43.4,56.4497,,40.65,11.72,27.79,-5.9256392322574385,AT,2026-04
AT-9,43.49,50.548815096547685,,42.45,11.72,23.56,-5.648662308739262,AT,2026-04
AU-ACT,43.33,56.32299516908213,,35.77,12.81,22.98,-5.991624431110232,AU,2026-04
AU-NSW,46.07,48.10240573958174,,37.99,12.07,21.9,-2.991144766418792,AU,2026-04
AU-QLD,47.69,50.96886353050768,,37.21,11.96,23.18,-1.4619720690880058,AU,2026-04
AU-SA,48.73,50.71375295787979,,41.28,11.92,21.98,-0.4138885713063445,AU,2026-04
AU-VIC,46.23,47.6027383237364,,38.01,12.01,22.38,-2.815312178980534,AU,2026-04
AU-WA,48.46,48.319373468673426,,39.3,11.88,23.56,-0.6080196604646915,AU,2026-04
BD-B,51.12,44.78210152284263,,39.11,10.01,23.89,2.1640632282714733,BD,2026-04
BD-C,51.44,49.165349172066236,,32.46,10.92,27.17,2.345174540578107,BD,2026-04
BD-E,55.89,22.53,,35.73,10.47,26.3,7.639148915016712,BD,2026-04
BE-BRU,45.6,49.782348545503055,,41.9,11.56,22.58,-3.514375856785236,BE,2026-04
BE-VLG,48.32,52.89972010178116,,39.25,11.91,24.58,-0.8931536761449976,BE,2026-04
BE-WAL,47.3,53.24492764661081,,41.32,11.68,25.84,-1.9240920092532718,BE,2026-04
BG-03,49.72,50.58,,38.07,10.96,27.25,0.5803495585648548,BG,2026-04
BG-22,50.22,55.4317292912041,,45.82,11.24,25.97,0.9266164437092144,BG,2026-04
BO-C,50.74,65.44,,24.93,11.51,28.65,1.1294918602805595,BO,2026-04
BO-L,52.63,53.451067761806975,,23.7,11.6,26.02,3.399376183198598,BO,2026-04
BO-S,51.37,65.44,,27.81,11.1,27.98,1.759491860280555,BO,2026-04
BR-AM,50.9,56.70975,,39.54,11.02,22.11,1.5661207580225849,BR,2026-04
BR-BA,51.02,52.65980303652031,,32.1,11.62,23.95,1.8144483963400546,BR,2026-04
