state,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,bachelors_plus,broadband,median_hh_income,log_gdp,ms_ai_user_share,openai_rank_2025
AL,10.293910940272182,5.190690274467447,2.7432819206411305,2.92570609950386,0.7217330645129705,1.6966493047471627,0.8452784470967706,6.291414792633927,1.6290235476019619,7.315113834515334,2.766476597963133,2.052184977769229,4.5112559460839075,3.446259064092594,2.1076694310254265,9.117640531240793,10.212098569980691,0.44783569290943503,4.900125808277933,3.93073625476024,8.486336246230865,8.368578653673007,28.889669436722325,89.44956118437568,62212,11.4974612400688,27.3,33
AK,12.23412261911654,4.328721125455914,1.9724425403809414,2.2902796271637818,1.8549180802408385,2.2517802350489204,1.2699010015631331,5.712094019568112,1.7822613327157992,7.516355004920975,4.0291205928327445,2.2225438545707172,4.871765182655011,3.5726278006136742,1.9738898859491691,7.661668499971053,10.912117177097205,1.110403519944422,5.993747467145256,3.788571759393273,4.798240027789035,7.852428645863487,32.23518502020685,93.06380304278098,86631,11.922764916705637,23.6,47
AZ,11.529899589041841,6.51444679513033,3.702459079507537,2.704732702588747,0.8071748365484552,1.6626101353268017,1.0015620245693269,5.5381599711238705,2.0537316987367835,6.571380400928227,3.0534617721894364,2.4775421398849247,5.381270532522428,3.4092896523672387,2.5102023933868853,9.342721701149808,11.576957833351415,0.39819174975089755,5.046567338658777,3.4341927378595307,4.08001275495965,7.203432160417089,33.51516255314787,92.31919763716309,77315,11.655546914204145,31.4,14
AR,10.298782088050535,5.065461040702962,2.2178021752737633,1.3564019073084168,0.5466173191688276,1.6129536454846094,0.7001557921153051,6.48932682248786,1.685942578646666,7.008609640791217,3.2187101750498526,1.994109996648616,4.773359911773537,3.6128794933811976,1.8753939330493745,9.465806793059654,11.24698393589187,0.7551882845492461,5.381843348592673,4.090360880839751,7.929840478470082,8.673469758663984,26.176781086431205,88.3805361631509,58700,11.480746913675384,26.0,44
CA,11.521495786470348,5.963072895024777,4.3867768886934195,2.689644573802756,1.5316741865032293,1.7453123175248755,1.3188822407574756,5.694989836841813,2.976080917597006,5.5800190113129196,3.9887702279013464,2.014893281320444,5.463271722285566,3.575453395005699,2.7329997436216287,8.651792446414134,9.807219022076815,1.3250367932920737,4.6491784171668185,2.5273872331980454,4.40721673054402,7.448832332644788,37.487788587830714,94.19941114537596,95521,11.971942803168192,34.0,4
CO,14.30443437719525,7.1567544311091105,5.316728083373577,3.275825635356732,1.475174937668441,1.8362823294393427,1.1675625869770352,5.950545960362903,2.626270189935952,6.193907149615413,2.650891869578709,1.8396773290808053,5.696714211468499,2.5343513678675658,2.498243801587337,9.158884079482336,9.148254874997383,0.4472832705205518,5.11448763744196,2.8473893721915897,2.9440992685203575,5.816237236229152,46.43288724422466,94.49313726984045,92911,11.84787078980483,32.3,11
CT,12.223658196775691,6.955536389570756,3.652464671929941,2.7643070390764946,1.3389769787036423,1.9563457838519205,1.3215152922444104,7.8055330723810785,2.376116234326279,7.0165726796258205,3.7115902607311084,2.027731705698932,4.417328998872155,3.492018841637365,3.0149804285809063,9.04823193790221,9.477502819611225,0.2137862402972202,4.447953293969349,2.3599283487029785,4.790924169043985,5.5869966164665295,42.90423692596884,92.56484373538171,91665,11.94802956214914,34.0,17
DE,12.393100535563095,6.804883320213591,4.023762266298388,1.5608858503080332,1.5394712578495386,2.2873957277888044,1.2446240450182322,6.393247265178088,1.3889742608495645,6.665490185969873,3.823099603631756,2.5108609657584635,5.231307341041265,3.409877282488217,1.6739073105056421,7.9337099393451505,10.70095116481503,0.25697510950193225,4.192104757013775,3.4604395146818847,4.756617208211306,7.74831508796837,36.46324240149735,92.77923931192484,81361,11.983740050796722,30.6,22
DC,18.30152047633632,13.804201685034547,7.891786105472988,1.5734256658897303,5.1545134112346025,1.899946531559358,8.429066067266413,6.12421289783375,5.894765803038876,3.712163291579499,1.5461723344944118,2.8135820221452787,3.934342831335621,1.8623109786801082,2.1717011789012495,3.9397934976146844,7.009037723801762,0.0,0.8728852712614918,0.4202204145621039,0.886382159190602,1.7579696527666024,65.94418525674078,92.13351540160096,108210,12.833789349305954,40.3,1
FL,12.206310667171737,6.289830722487104,3.2043495621876223,1.7989981544459868,0.7324161009095446,1.4445828260505935,1.3194709442890564,4.874368604801236,2.169339015831881,6.517056115372053,2.8827823928276395,2.2802213546580785,5.905223043659164,4.258323513830472,2.8361706221907252,10.69841709147956,11.074498226898308,0.48547249397667264,5.205133258691133,3.0575905106560826,3.12329614735358,7.636148630231768,34.91620625422075,92.91431501732802,73311,11.672464741347582,33.6,5
