geo_id,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,wave
AK,2.65,12.29,0.29,11.49,6.75,3.3,0.0,0.29,3.16,2.87,0.86,1.72,2.73,15.66,2.44,4.17,19.83,1.44,0.57,0.43,2.16,2.16,0.29,6.9,0.0,4.02,0.72,0.86,1.15,2.73,0.14,0.14,0.57,0.14,52.08,47.92,27.83,18.84,21.74,2.61,26.23,2.75,11.66,91.26,4.16,45.25,27.79,0.11,0.53,9.89,49.0,41.12,2026-04
AL,2.71,12.27,0.94,12.99,5.67,3.64,0.02,0.58,1.79,2.66,1.47,2.86,2.43,14.4,2.52,4.24,17.06,0.67,1.07,0.49,2.21,2.05,0.42,7.84,0.07,4.06,1.67,0.74,1.34,2.86,0.31,0.16,0.63,0.13,48.03,51.97,32.48,17.9,16.17,3.05,26.9,3.5,11.67,91.3,4.45,42.16,25.04,0.72,0.48,15.13,47.08,37.8,2026-04
AR,2.72,12.34,0.65,11.74,6.93,3.59,0.0,0.3,1.95,2.9,1.56,2.6,2.77,15.85,1.95,4.37,16.33,0.65,0.78,0.56,2.56,2.12,0.09,7.67,0.04,4.46,1.3,1.17,1.3,2.6,0.52,0.17,0.39,0.13,46.75,53.25,34.14,17.77,14.34,2.52,27.58,3.65,11.74,91.21,4.25,38.73,26.2,0.37,0.42,12.95,47.49,39.56,2026-04
AZ,2.7,12.3,0.63,13.11,5.74,3.91,0.05,0.4,1.66,2.58,1.7,1.7,2.71,13.88,1.64,5.6,17.21,0.46,0.83,0.78,2.41,1.83,0.37,7.29,0.17,4.5,1.64,0.93,1.88,2.83,0.33,0.23,0.76,0.26,48.94,51.06,31.84,17.77,15.25,2.84,29.1,3.2,11.62,90.97,4.34,40.96,26.58,2.07,0.94,11.61,45.92,42.48,2026-04
CA,2.67,12.53,0.74,13.95,6.42,2.79,0.02,0.41,1.88,2.26,1.34,1.43,2.68,13.59,1.67,6.2,18.5,0.28,0.91,0.61,2.05,1.71,0.33,7.57,0.15,4.12,1.63,0.73,1.9,2.61,0.3,0.38,0.69,0.14,51.78,48.22,31.55,15.39,18.28,2.65,28.74,3.39,11.94,92.02,4.02,38.83,25.26,18.48,1.56,11.29,45.71,43.0,2026-04
CO,2.68,12.42,0.61,13.95,5.96,2.98,0.01,0.37,1.72,2.23,1.35,1.36,2.91,15.35,1.27,5.91,17.26,0.34,0.82,0.68,2.35,1.69,0.3,7.9,0.15,4.39,1.72,1.1,1.68,2.42,0.23,0.25,0.63,0.1,50.43,49.57,31.73,16.47,16.49,2.78,29.38,3.15,11.9,92.62,4.03,39.58,26.11,2.65,1.46,9.35,46.3,44.36,2026-04
CT,2.68,12.48,1.16,13.3,6.2,3.0,0.04,0.45,1.86,2.05,1.27,1.3,2.86,13.61,2.0,6.04,18.6,0.42,0.98,0.67,1.9,1.95,0.33,7.45,0.15,3.89,2.02,0.75,2.02,2.68,0.18,0.2,0.6,0.07,51.03,48.97,32.17,15.43,17.49,2.8,28.78,3.33,11.91,92.38,4.02,38.35,24.06,1.16,1.07,15.72,46.15,38.14,2026-04
DC,2.66,13.26,1.85,10.59,7.77,2.29,0.02,0.8,1.98,1.81,1.16,1.2,2.39,16.58,2.06,6.22,15.13,0.23,1.11,0.57,1.81,1.53,0.36,8.17,0.1,3.89,3.11,0.73,2.71,2.73,0.21,0.46,0.27,0.15,55.24,44.76,32.42,11.46,15.8,1.96,34.22,4.14,12.96,92.96,4.21,38.31,23.63,0.85,3.72,19.74,36.86,43.41,2026-04
DE,2.69,12.12,0.67,15.92,5.33,3.92,0.0,0.5,1.51,2.86,0.95,1.46,2.58,12.72,1.68,4.88,19.06,0.45,0.95,0.78,2.19,1.85,0.34,7.12,0.17,4.54,2.13,0.5,0.95,2.69,0.62,0.17,0.45,0.06,50.15,49.85,31.72,16.62,18.48,3.04,27.44,2.7,11.41,91.14,4.16,38.8,25.0,0.29,0.97,11.89,50.87,37.24,2026-04
FL,2.73,12.3,0.6,12.88,5.93,4.03,0.04,0.43,1.59,2.52,1.57,1.6,2.88,14.89,1.88,5.91,15.65,0.37,0.79,0.82,3.06,1.53,0.41,8.14,0.17,4.47,1.53,0.65,1.4,2.56,0.4,0.29,0.82,0.2,46.6,53.4,34.72,17.34,14.3,2.5,28.26,2.88,11.57,89.71,4.49,39.34,26.07,6.96,1.04,9.65,43.06,47.29,2026-04
