state_code,oa_Multimedia,oa_Other/Unknown,oa_Practical Guidance,oa_Seeking information,oa_Self-expression,oa_Technical help,oa_Writing
AK,0.053,0.042,0.289,0.219,0.069,0.059,0.27
AL,0.066,0.039,0.312,0.184,0.092,0.068,0.239
AR,0.067,0.039,0.313,0.179,0.077,0.074,0.251
AZ,0.05,0.04,0.299,0.198,0.081,0.066,0.265
CA,0.047,0.039,0.288,0.191,0.075,0.073,0.287
CO,0.057,0.037,0.295,0.193,0.083,0.072,0.262
CT,0.054,0.048,0.283,0.191,0.087,0.061,0.276
DC,0.05,0.047,0.263,0.187,0.082,0.062,0.309
DE,0.055,0.032,0.316,0.215,0.083,0.065,0.233
FL,0.057,0.042,0.287,0.22,0.072,0.061,0.261
GA,0.059,0.043,0.291,0.187,0.078,0.068,0.275
HI,0.052,0.03,0.282,0.206,0.072,0.053,0.305
IA,0.057,0.035,0.327,0.173,0.064,0.084,0.26
ID,0.049,0.042,0.307,0.199,0.086,0.071,0.246
IL,0.054,0.041,0.287,0.19,0.082,0.071,0.274
IN,0.058,0.036,0.316,0.187,0.085,0.07,0.247
KS,0.065,0.047,0.295,0.198,0.086,0.069,0.238
KY,0.061,0.04,0.308,0.191,0.078,0.064,0.258
LA,0.06,0.04,0.303,0.19,0.091,0.061,0.255
MA,0.052,0.039,0.283,0.192,0.076,0.078,0.28
MD,0.052,0.037,0.299,0.173,0.085,0.068,0.286
ME,0.054,0.037,0.26,0.202,0.089,0.07,0.288
MI,0.054,0.043,0.314,0.187,0.084,0.071,0.248
MN,0.052,0.038,0.299,0.2,0.087,0.064,0.261
MO,0.06,0.038,0.307,0.18,0.096,0.068,0.252
MS,0.061,0.031,0.334,0.191,0.071,0.061,0.252
MT,0.056,0.051,0.302,0.184,0.077,0.082,0.249
NC,0.059,0.038,0.303,0.186,0.077,0.067,0.269
ND,0.042,0.04,0.34,0.203,0.07,0.054,0.25
NE,0.06,0.044,0.293,0.2,0.068,0.066,0.268
NH,0.052,0.048,0.288,0.181,0.066,0.076,0.29
NJ,0.051,0.042,0.286,0.185,0.076,0.08,0.28
NM,0.053,0.042,0.299,0.198,0.075,0.062,0.271
NV,0.053,0.037,0.231,0.328,0.072,0.048,0.231
NY,0.055,0.042,0.286,0.197,0.086,0.061,0.274
OH,0.06,0.042,0.301,0.188,0.091,0.067,0.252
OK,0.064,0.037,0.31,0.184,0.084,0.071,0.249
OR,0.065,0.049,0.275,0.186,0.097,0.068,0.261
PA,0.051,0.041,0.31,0.19,0.08,0.067,0.261
RI,0.045,0.034,0.301,0.186,0.097,0.076,0.261
SC,0.064,0.034,0.308,0.19,0.081,0.068,0.255
SD,0.046,0.043,0.307,0.218,0.079,0.056,0.252
TN,0.068,0.037,0.298,0.194,0.085,0.063,0.255
TX,0.057,0.043,0.297,0.196,0.078,0.066,0.263
UT,0.05,0.039,0.298,0.195,0.078,0.081,0.259
VA,0.059,0.046,0.283,0.182,0.091,0.07,0.27
VT,0.068,0.022,0.298,0.213,0.057,0.069,0.273
WA,0.048,0.042,0.276,0.191,0.081,0.084,0.278
WI,0.057,0.038,0.304,0.183,0.085,0.072,0.261
WV,0.067,0.042,0.299,0.168,0.077,0.074,0.273
WY,0.084,0.033,0.308,0.159,0.097,0.058,0.26
