geo_id,"Analyze and process data from documents, visual media, and business sources",Assist with creative writing across multiple genres including humor and romantic roleplay,Assist with game development programming and mobile gaming projects,Create comprehensive K-12 educational materials and teaching resources,Create comprehensive digital marketing strategies and promotional content,"Help create visual content, graphics, and multimedia for digital platforms",Help develop and debug complete web applications and user interfaces,Help develop and debug cross-platform mobile applications with Flutter,"Help edit, improve, and create professional written documents and communications",Help implement cybersecurity measures and secure authentication systems,"Help plan and organize events, schedules, and travel arrangements",Help with Docker containerization and cloud infrastructure deployment,"Help with automation scripts, robotics programming, and workflow optimization tasks","Help with job applications, resumes, and career advancement",Provide business operations support and strategic consulting services,Provide comprehensive domestic life and household management guidance,Provide comprehensive financial guidance and investment assistance across multiple domains,Provide comprehensive legal assistance including immigration and document services,Provide comprehensive software development assistance across multiple programming domains and technologies,Provide educational tutoring and academic assistance across multiple subjects and disciplines,Provide medical and sports training guidance,Provide multilingual translation services and language learning assistance,"Provide personalized lifestyle advice and recommendations across relationships, spirituality, entertainment, beauty, and parenting",Provide technical IT support and troubleshooting assistance,Provide technical and academic assistance across scientific research and educational domains,not_classified
AK,,,,,,,,,10.79136690647482,,,,,,,,,,12.23021582733813,,,,,,,76.97841726618705
AL,3.2414910858995136,2.512155591572123,2.2690437601296596,1.7017828200972445,3.079416531604538,1.6207455429497568,4.213938411669368,1.4586709886547813,8.103727714748784,1.2965964343598055,1.7017828200972445,1.7017828200972445,3.2414910858995136,2.3500810372771475,3.403565640194489,2.9173419773095626,3.727714748784441,2.8363047001620743,12.479740680713128,9.643435980551054,4.294975688816856,,3.889789303079417,5.429497568881685,6.158833063209076,6.726094003241491
AR,3.927492447129909,,,3.0211480362537766,4.078549848942599,2.56797583081571,4.531722054380665,,9.214501510574015,,,,2.719033232628399,2.416918429003021,3.1722054380664653,2.2658610271903323,4.531722054380665,,15.40785498489426,8.761329305135952,3.3232628398791544,,4.078549848942599,3.776435045317221,5.740181268882175,16.46525679758308
AZ,3.3239259956099088,1.8187519598620256,1.9441831295076828,1.8187519598620256,3.762935089369708,2.038256506741926,4.860457823769207,1.3797428661022264,7.964879272499216,0.940733772342427,1.724678582627783,1.1288805268109126,2.634054562558796,3.417999372844152,2.8535591094386956,3.041705863907181,5.424898087174663,2.634054562558796,14.455942301661963,8.717466290373158,4.5782376920664785,0.5957980558168705,4.421448730009407,4.546879899655065,5.581687049231735,4.390090937597993
CA,3.0902560009122526,2.3528517399319613,1.0034779633958606,0.8571374270672977,2.942014938137864,1.7636885417260582,3.014234943079233,1.02058270140829,6.277438850561605,0.8419332155006938,1.4767090484064085,0.9730695402626528,1.8967253929338423,2.333846475473706,1.951840659862782,2.240720679628257,3.831461314784195,1.7674895946177092,13.970769903263204,15.006556816238096,3.1985860083243054,1.2942585096071613,2.9230096736796094,10.94513180150902,4.781724537696943,8.244483721990992
CO,3.592449766592247,1.8672620255733712,1.217779581895677,1.217779581895677,3.024152628374264,1.9687436573980108,4.5463771057438604,1.0757052973411811,8.240308504160748,1.2380759082606048,2.9632636492794804,1.278668560990461,2.699411406535417,2.5979297747107775,2.6791150801704893,4.241932210269941,5.480008118530546,2.252892226507002,15.019281510046682,7.529937081388269,4.972599959407347,0.6900750964075503,3.978079967525878,4.85082200121778,5.622082403085042,5.155266896691699
CT,3.1027466937945065,1.3224821973550356,1.119023397761953,1.373346897253306,2.797558494404883,1.780264496439471,3.5096642929806716,0.9155645981688708,7.171922685656154,1.017293997965412,2.5940996948118005,0.9155645981688708,2.2889114954221768,3.6622583926754833,3.6622583926754833,4.22177009155646,5.595116988809766,2.695829094608342,12.767039674465922,7.934893184130214,6.1037639877924725,,5.391658189216684,4.730417090539166,5.849440488301119,7.477110885045778
DC,3.2578685808945336,1.7669795692987302,,1.6565433462175594,3.0922142462727775,1.9878520154610713,2.5400331308669246,,11.816675869685255,0.8834897846493651,2.4295969077857538,1.2147984538928769,1.435670900055218,5.41137493097736,3.5891772501380452,3.810049696300387,4.251794588625069,3.2578685808945336,12.589729431253453,7.399226946438432,3.699613473219216,0.9387078961899504,4.417448923246825,4.030922142462727,7.123136388735506,7.399226946438432
DE,5.63063063063063,,,,,,3.3783783783783785,,6.981981981981981,,,,3.603603603603604,,,,3.3783783783783785,,14.18918918918919,11.036036036036036,3.3783783783783785,3.603603603603604,,5.855855855855856,6.981981981981981,31.98198198198198
FL,3.321914253088342,1.7440049828713795,1.6401951624623692,1.2872417730717325,3.8098204090106926,2.4706737257344544,5.33582476902315,1.3287657012353369,8.315166614761758,0.9758123118447004,2.1903872106301256,1.1522890065400186,2.564102564102564,2.8962939894113986,3.1869614865566285,3.135056576352123,5.958683691477214,2.678293366552476,15.125090833592855,6.612685560053981,4.920585487387107,1.048479186131008,3.674867642478979,5.034776289837019,4.339250493096647,5.252776912695941
GA,4.3580046821537906,1.8008283810552854,1.476679272465334,1.9629029353502612,3.4215739240050427,2.233027192508554,3.727714748784441,0.864397622906537,8.914100486223662,0.9724473257698544,2.088960922024131,1.278588150549253,2.7912839906356925,3.079416531604538,2.863317125877904,3.3855573563839365,4.8802449126598235,2.4311183144246353,14.31658562938952,8.319827120475418,3.943814154511075,1.4586709886547813,3.601656762110571,4.772195209796506,5.186385737439222,5.870700522240231
HI,2.7737226277372264,,,,3.3576642335766427,2.335766423357664,3.795620437956204,,9.343065693430656,,3.2116788321167884,,2.4817518248175183,,3.065693430656934,3.64963503649635,4.37956204379562,2.627737226277372,13.284671532846716,8.75912408759124,5.401459854014599,,4.37956204379562,4.963503649635037,6.715328467153285,15.474452554744524
IA,2.4193548387096775,2.28494623655914,,,3.3602150537634405,2.28494623655914,4.435483870967742,,7.795698924731183,,2.28494623655914,,2.0161290322580645,2.553763440860215,2.6881720430107525,2.82258064516129,4.435483870967742,,17.607526881720432,6.989247311827956,5.241935483870968,,3.629032258064517,4.973118279569892,5.913978494623656,16.263440860215052
ID,2.9654036243822075,,,,4.448105436573312,2.800658978583196,3.130148270181219,,8.072487644151565,,,,2.471169686985173,3.130148270181219,2.6359143327841847,3.9538714991762767,4.612850082372323,,14.662273476112023,8.237232289950576,3.9538714991762767,3.459637561779242,3.130148270181219,6.095551894563426,4.118616144975288,18.12191103789127
IL,3.971692663200462,1.9497400346620448,1.4442518775274409,1.126516464471404,3.0906990179087233,1.733102253032929,3.928365106874639,1.1409589832466782,9.06990179087233,0.8809936452917388,2.4263431542461005,1.0543038705950318,2.700751010976314,3.6395147313691503,2.8307336799537843,3.610629693818602,5.545927209705372,2.455228191796649,15.020219526285384,7.582322357019064,4.058347775852108,1.0831889081455806,4.2316580011554015,4.2316580011554015,5.979202772963605,5.2137492778740615
IN,3.2768978700163847,2.1299836155106497,1.9661387220098308,1.4746040415073731,4.041507373020208,2.1299836155106497,5.133806663025669,0.9830693610049154,7.97378481703987,0.9830693610049154,1.5838339705079192,0.9830693610049154,1.9115237575095576,3.440742763517204,2.7307482250136537,4.369197160021846,3.659202621518296,2.2938285090114694,15.510649918077554,9.666848716548335,4.09612233752048,,3.54997269251775,5.188421627525942,6.38995084653195,4.533042053522665
KS,2.6115342763873777,2.6115342763873777,2.2850924918389555,,2.3939064200217626,2.6115342763873777,4.243743199129488,,8.161044613710555,,2.3939064200217626,,2.720348204570185,3.5908596300326447,2.6115342763873777,3.373231773667029,4.787812840043525,2.50272034820457,15.342763873775844,8.269858541893363,4.461371055495103,,3.808487486398259,5.223068552774755,4.461371055495103,11.534276387377584
KY,3.225806451612903,4.162330905306972,1.9771071800208115,,3.017689906347554,1.768990634755463,4.0582726326742975,,9.157127991675338,,2.2892819979188346,,1.664932362122789,1.8730489073881371,2.393340270551509,2.2892819979188346,5.411030176899064,2.705515088449532,14.04786680541103,8.636836628511967,6.867845993756504,,4.0582726326742975,4.994797086368366,5.098855359001041,10.301768990634756
LA,2.796528447444552,2.6036644165863065,2.217936354869817,2.1215043394406945,2.9893924783027965,3.278688524590164,3.664416586306654,,8.678881388621022,,1.9286403085824495,,3.085824493731919,2.796528447444552,1.7357762777242045,2.4108003857280615,7.618129218900675,3.085824493731919,13.500482160077146,8.5824493731919,4.435872709739633,,3.857280617164899,4.725168756027001,4.628736740597879,9.257473481195758
MA,4.142476070924212,1.5063549348815315,1.2239133845912444,1.0042366232543545,2.337988388514044,2.1810764161305505,3.3422250117683983,1.129766201161149,8.896908834144044,0.7217950729640672,1.75741409069512,1.3494429624980386,2.4164443747057898,4.111093676447513,2.5419739526125844,3.29515142005335,4.597520790836341,2.1496940216538523,16.915110622940528,8.473246508708614,4.220932057115958,0.9571630315393064,3.5462105758669384,4.550447199121293,7.108112348972227,5.523301427898949
MD,3.583753650119458,1.2211308733740376,1.5927794000530928,1.6193257233873108,2.787363950092912,1.5396867533846563,3.902309530130077,0.8229360233607645,9.078842580302627,1.0883992567029468,1.8582426333952744,1.2211308733740376,2.5219007167507304,3.3713830634457125,2.5219007167507304,3.052827183435094,6.23838598354128,2.336076453411202,15.55614547385187,8.282452880276082,4.300504380143351,1.008760286700292,4.353597026811787,4.035041146801168,6.264932306875498,5.840191133528006
ME,4.426229508196721,,,,4.590163934426229,,3.4426229508196724,,8.688524590163935,,3.7704918032786887,,2.622950819672131,2.9508196721311477,2.622950819672131,3.606557377049181,4.918032786885246,3.114754098360656,15.081967213114757,6.065573770491803,4.2622950819672125,,3.7704918032786887,,5.409836065573771,20.655737704918035
MI,2.9860228716645487,1.9377382465057176,2.064803049555273,1.2706480304955527,3.49428208386277,2.445997458703939,4.320203303684879,1.3024142312579416,7.941550190597205,1.1118170266836087,2.636594663278272,1.3659466327827192,2.2236340533672174,3.3672172808132146,2.4777636594663277,3.49428208386277,4.637865311308768,2.795425667090216,14.930114358322744,7.941550190597205,4.256670902160101,0.7623888182973316,3.240152477763659,4.9872935196950445,6.067344345616264,5.940279542566709
