geo_id,"Assist with academic research, writing, and coursework across scientific and scholarly disciplines","Assist with business planning, strategy, financial analysis, and research",Assist with career advancement and academic application preparation,"Assist with database management, data analysis, and document extraction","Assist with game development, graphics programming, and performance optimization",Assist with personal life management and everyday tasks,Create and edit diverse multimedia content across multiple genres and formats,"Create and fix data visualizations, dashboards, and analytical reports",Create and format professional business documents and presentations,"Create and manage digital marketing, branding, and social media content",Debug and build web applications and fix CSS/HTML styling issues,Develop and implement AI/ML systems across multiple application domains,Develop automated trading systems and e-commerce platforms,Generate guidance for speculative and aleatory activities,"Help debug, develop, and optimize software across multiple programming domains","Help with academic research, writing, and educational content across multiple disciplines","Help with immigration, visa applications, and international travel documentation","Provide assistance, document drafting, and fraud investigation services",Provide financial guidance and investment assistance across multiple domains,Provide health information and well-being support,"Provide technical assistance with hardware, embedded systems, and engineering tasks","Translate, edit, format, and summarize documents and assist with language learning","Troubleshoot IT infrastructure, systems, and assist with cybersecurity tasks",not_classified
AK,10.050251256281408,,,,,,9.547738693467336,,,,,,,,9.547738693467336,12.060301507537687,,,8.040201005025125,,,,,50.753768844221106
AL,8.38150289017341,3.540462427745665,2.5289017341040463,3.684971098265896,2.239884393063584,3.106936416184971,8.38150289017341,,3.3236994219653178,4.985549132947977,3.106936416184971,3.0346820809248554,1.1560693641618496,,9.826589595375722,10.69364161849711,,2.384393063583815,6.141618497109826,5.491329479768786,2.5289017341040463,3.901734104046243,9.031791907514451,2.5289017341040463
AR,9.196891191709843,4.015544041450777,2.33160621761658,3.3678756476683938,2.33160621761658,3.6269430051813463,9.585492227979271,,4.922279792746114,4.274611398963731,2.9792746113989637,2.2020725388601035,,,9.067357512953368,11.139896373056994,,,5.310880829015544,7.124352331606218,,4.404145077720207,6.60621761658031,7.512953367875648
AZ,8.22143052891203,4.549191559331324,3.3159769799945193,3.0419292956974515,1.6990956426418198,3.864072348588654,6.522334886270211,0.7947382844614962,4.932858317347218,5.700191833379008,3.0419292956974515,2.6856673061112635,0.8495478213209099,0.8769525897506167,10.68785968758564,10.276788161140038,,2.5212386955330226,6.467525349410798,5.892025212386955,2.027952863798301,3.5352151274321733,7.262263633872294,1.2332145793368046
CA,9.138698984876736,4.417857882742904,4.161487466335198,3.330225813134452,1.312927284027346,4.2624818727988405,6.303086803397555,0.8804640563496996,4.788170706442925,4.83219390926041,2.61290656722602,3.64615703335405,1.015123264967889,0.7069608452454942,10.821939092604104,9.195670188522891,0.2486016159105034,2.263310544851875,5.8395483737310965,5.388957944893309,2.5196809612595814,4.41526828257717,6.846902838201782,1.0513776672881707
CO,8.495448866678565,5.175798679278958,3.2839550240942352,3.2661074424415495,1.4099589505621988,4.71176155630912,6.960556844547564,1.0708548991611635,4.71176155630912,5.693378547206854,3.480278422273782,2.7485275745136533,0.9280742459396752,0.6603605211493843,10.083883633767623,8.888095663037658,,1.9989291451008389,5.782616455470284,5.996787435302516,2.1952525432803855,3.640906657147956,7.710155273960378,1.106550062466536
CT,10.160183066361556,5.217391304347826,4.9885583524027455,3.3867276887871856,1.3272311212814645,3.8443935926773456,6.54462242562929,0.7780320366132724,4.25629290617849,4.851258581235697,2.1052631578947367,2.5629290617848968,0.9153318077803204,,9.702517162471397,11.25858123569794,,2.1052631578947367,5.995423340961099,6.636155606407322,1.8764302059496567,3.2494279176201375,6.590389016018307,1.647597254004577
DC,11.832251622566153,4.343484772840739,6.490264603095357,3.644533200199701,0.7488766849725411,4.143784323514728,5.391912131802297,1.0983524712930606,6.19071392910634,5.042436345481778,2.1467798302546184,1.8472291562656016,,,7.488766849725412,12.880678981527709,,3.2451323015476783,5.09236145781328,4.343484772840739,1.3479780329505742,5.64153769345981,5.142286570144783,1.8971542685971048
DE,11.062906724511931,3.2537960954446854,4.989154013015185,,,3.470715835140998,7.592190889370933,,4.3383947939262475,3.2537960954446854,,3.68763557483731,,,10.412147505422992,11.279826464208242,,,6.724511930585683,6.507592190889371,,3.2537960954446854,5.206073752711497,14.967462039045554
FL,8.57603804024794,4.500297189437038,3.235119300331154,3.141716905833404,1.6302963403243609,3.5917466247771075,7.387280292094761,0.8236392969347032,4.1861254988536984,6.470238600662308,3.5577821176870175,2.9124564829752906,1.2991423961959752,0.8066570433896578,10.23180776088987,9.467606351362823,0.1528402819054088,2.530355778211769,5.731510571452832,5.34940986668931,2.165237326993292,4.1691432453086525,7.217457756644306,0.8660949307973167
GA,9.10786447000311,5.066832452595587,3.854522847373329,3.372707491451663,1.5387006527820952,3.605843953994405,6.900839291265154,1.1656823127137084,4.507304942493006,4.833695990052844,3.0774013055641904,2.735467827168169,1.1656823127137084,0.917003419334784,10.41342866024246,11.51694124961144,,2.1448554553932233,5.502020516008703,5.237799191793596,1.911718992850482,3.46596207646876,6.776499844575691,1.1812247435498913
HI,12.48266296809986,4.715672676837725,2.7739251040221915,2.496532593619972,,4.160887656033287,5.825242718446602,,4.854368932038835,2.7739251040221915,2.6352288488210815,2.0804438280166435,,,10.957004160887656,10.957004160887656,,,5.270457697642163,7.766990291262135,,4.993065187239944,7.350901525658807,7.905686546463246
IA,9.641255605381168,3.587443946188341,3.587443946188341,2.690582959641256,2.0179372197309418,3.1390134529147984,5.7174887892376685,,3.811659192825112,5.2690582959641254,2.914798206278027,4.0358744394618835,,,11.995515695067263,10.089686098654708,,2.130044843049327,6.838565022421525,5.15695067264574,2.8026905829596416,3.3632286995515694,8.520179372197308,2.690582959641256
ID,6.751054852320674,4.922644163150492,3.5161744022503516,4.219409282700422,2.250351617440225,3.2348804500703237,6.610407876230662,,5.625879043600563,5.485232067510549,2.8129395218002813,,,,12.236286919831224,9.423347398030945,,3.0942334739803097,5.9071729957805905,5.063291139240507,,2.9535864978902953,9.563994374120956,6.329113924050633
IL,9.54489544895449,4.341943419434195,4.341943419434195,3.616236162361624,1.2915129151291511,3.886838868388684,7.011070110701106,0.8118081180811807,4.4895448954489545,4.551045510455105,2.5707257072570724,3.247232472324723,1.107011070110701,0.8610086100861009,11.143911439114392,10.14760147601476,0.2091020910209102,1.894218942189422,5.301353013530135,5.129151291512915,2.6445264452644524,3.800738007380074,6.998769987699877,1.0578105781057812
IN,10.985703536493604,4.514672686230249,3.4612490594431904,3.4988713318284423,1.7682468021068474,3.5741158765989467,5.191873589164786,0.7900677200902935,4.138449962377728,4.514672686230249,2.407825432656132,2.6335590669676447,0.7900677200902935,,13.054928517682468,12.001504890895411,,1.2791572610985704,5.07900677200903,4.740406320541761,3.310759969902182,3.235515425131678,7.674943566591422,1.3544018058690743
