geo_id,"Analyze political media, misinformation, and criminal investigations","Assist with SQL databases, data analysis, and visualization tasks","Assist with academic research, scientific writing, and educational content creation","Assist with business development, analysis, research, and strategic planning","Assist with civic information, government services, and institutional research","Assist with creative content, marketing, and media production projects","Assist with game development, gaming software, and tabletop RPG content","Assist with job applications, career transitions, and interview preparation","Assist with mathematics, physics, and STEM homework and assignments","Assist with software development, debugging, and programming across multiple platforms","Assist with translation, writing, editing, and document formatting tasks",Build and manage subscription-based e-commerce operations,"Create prediction tools for sports analysis, gaming, and divination readings",Create professional presentations and draft workplace correspondence,Develop and debug automated trading bots and blockchain financial software,"Develop, deploy, and debug machine learning and AI systems","Extract and structure data from documents, images, and online sources","Get help with daily life tasks, personal information, and household management","Implement and troubleshoot authentication, authorization, and security systems for web applications",Provide entertainment recommendations and sports information including schedules and results,"Provide financial information, tax guidance, and consumer purchase assistance","Provide health, fitness, medical, and mental health information and clinical documentation assistance",Provide legal services and fraud investigation assistance,"Provide technical support across IT infrastructure, security, and engineering systems","Resolve payment, billing, subscription, and account access issues",not_classified
AK,,,9.54356846473029,,,,,,12.033195020746888,12.863070539419086,6.639004149377594,,,,,,,7.883817427385892,,,,,,7.468879668049793,,43.56846473029046
AL,,2.204531537048377,9.491733006736068,3.245560318432333,1.2859767299448868,6.6748315982853645,1.5309246785058177,4.102878138395591,9.859154929577464,10.716472749540722,9.246785058175137,,,3.0006123698714022,1.3472137170851195,1.5309246785058177,1.4696876913655847,8.14451928965095,,1.5309246785058177,4.286589099816289,5.5113288426209435,1.7146356399265157,8.14451928965095,,4.960195958358849
AR,,2.472187886279358,7.045735475896168,4.573547589616811,,6.798516687268233,,3.955500618046971,9.147095179233622,11.742892459826946,8.65265760197775,,,2.595797280593325,2.1013597033374536,1.8541409147095176,1.9777503090234856,7.911001236093942,,,4.202719406674907,4.697156983930779,,8.034610630407911,,12.23733003708282
AZ,0.6183115338882282,2.2592152199762188,7.419738406658739,4.185493460166469,1.2604042806183116,6.539833531510107,1.070154577883472,4.304399524375743,7.300832342449465,14.316290130796672,7.633769322235434,0.6183115338882282,0.9036860879904876,3.804994054696789,1.117717003567182,1.9976218787158144,1.7598097502972654,7.871581450653983,0.8799048751486327,0.9750297265160524,5.089179548156956,5.6361474435196195,2.2592152199762188,7.253269916765754,,2.925089179548157
CA,0.5165943759442468,2.0200789512159463,7.26643598615917,4.739509722696038,1.262244748769433,6.620693016228861,0.9332813489936156,4.776061211560018,7.84394951021005,12.57127540328476,6.37701642380233,0.7090988839612067,0.7188459476582679,4.471465471026853,1.1891417710414738,2.561040986402846,1.6643111262732102,7.629514108874702,0.6920415224913495,1.120912325162045,5.592377796188898,5.806813197524246,2.597592475266826,6.910668161216433,0.3801354841853891,3.028900043861787
CO,0.4659677150940256,1.9137959727076053,7.272424696288899,4.959227824929273,1.2647695123980696,6.806456981194875,1.0650690630720585,4.310201364619736,6.373772674321851,12.897320685638208,5.5416874687968045,0.7488766849725411,0.8653686137460476,4.759527375603262,1.2980529206190714,1.9304376768181064,1.4977533699450822,8.071226493592944,0.8487269096355468,0.8154435014145448,6.1740722249958395,6.257280745548344,2.6127475453486437,7.854884340156431,0.4160426027625228,2.978865035779664
CT,0.7596961215513794,2.039184326269492,8.796481407437025,5.557776889244302,1.1195521791283487,5.597760895641744,0.9596161535385844,3.9984006397441023,9.43622550979608,11.075569772091164,7.0371851259496205,0.5997600959616154,0.9196321471411436,4.238304678128749,1.2794882047181129,1.5193922431027589,1.4794082367053178,7.756897241103558,0.6797281087564974,1.0395841663334666,5.517792882846861,6.037584966013595,2.3590563774490203,6.557377049180328,,3.638544582167133
DC,1.1446886446886446,2.5183150183150182,7.417582417582418,4.304029304029304,2.7930402930402933,4.945054945054945,,6.730769230769231,8.882783882783883,9.294871794871796,9.89010989010989,0.8241758241758242,,6.318681318681318,1.0531135531135531,2.2893772893772892,1.1904761904761905,5.952380952380952,,0.9615384615384616,4.807692307692308,5.54029304029304,2.60989010989011,6.272893772893773,,4.258241758241758
DE,,,8.97196261682243,5.981308411214954,,5.420560747663552,,5.794392523364486,8.037383177570094,8.411214953271028,10.841121495327103,,,,,,,7.663551401869159,,,7.102803738317758,5.607476635514018,,6.728971962616822,,19.439252336448597
FL,0.6738245094409478,2.117734172528693,7.1899296556830805,4.879674194742687,1.0292484265087003,8.108108108108109,0.9922251018141428,3.657904479822288,6.99000370233247,12.965568308034062,7.967419474268789,0.8293224731580897,0.9403924472417624,3.687523139577934,1.740096260644206,2.05109218807849,1.888189559422436,6.5457238059977785,0.807108478341355,0.8737504627915588,6.108848574602,5.442428730099963,2.8211773417252872,6.3976305072195485,0.5257312106627176,2.7693446871529064
GA,0.6682444661005151,2.0325769177224,7.8936377558123345,4.872615898649589,1.4757065293053042,6.710288180426007,1.0441319782820548,4.343589029653348,8.715021578727551,12.334679103438674,8.005011833495754,0.7378532646526521,0.7935403034943617,4.0651538354448,1.573158847278296,2.2274815536683836,1.5592370875678685,6.6128358624530135,0.877070861756926,0.7656967840735069,5.345955728804121,5.332033969093693,2.269246832799666,6.79381873868857,0.4176527913128219,2.5337602672977866
