geo_id,Business Process & Operations,Companionship & General Conversation,Compliance & Regulatory,Content Creation & Copywriting,Conversation & Meeting Intelligence,Customer Support & Service Operations,Cybersecurity & Threat Detection,Data Analysis & Business Intelligence,DevOps & Infrastructure Operations,Document Processing & Extraction,Education & Learning,"Existential, Relational, and Emotional Support",Hobbies & Lifestyle,Knowledge Retrieval & Enterprise Search,Other / Unclear,Personal AI Assistant,Research & Intelligence,Sales & Revenue Operations,Software Development,Trust & Safety / Platform Integrity
AK,5.25,,2.12,20.09,,,,3.13,3.91,2.9,5.36,2.79,16.52,4.02,,4.02,15.96,,8.82,
AL,6.77,2.04,1.1,20.2,,0.84,0.29,3.26,3.19,3.03,6.49,4.08,16.26,3.99,0.34,3.29,12.58,1.7,8.91,
AR,7.0,1.59,0.69,19.79,,0.65,,4.14,3.86,2.93,8.03,4.24,15.37,3.41,,3.76,13.03,1.41,8.07,
AZ,6.79,1.5,1.05,20.76,0.34,0.73,0.33,3.57,3.02,2.79,8.24,4.28,13.27,4.22,,3.87,13.11,1.78,8.76,
CA,6.02,1.46,1.07,20.03,0.38,0.47,0.22,3.8,2.47,3.13,10.54,4.44,12.2,3.94,0.25,4.62,13.97,1.66,7.76,0.08
CO,7.09,1.53,1.01,19.88,0.54,0.64,0.33,3.7,3.13,2.93,6.19,4.29,15.12,4.41,0.17,4.43,13.58,1.89,7.98,0.11
CT,5.06,1.38,0.58,19.79,0.38,0.5,,3.9,2.29,3.12,10.12,4.83,14.23,4.15,0.19,4.55,14.3,1.48,7.55,
DC,5.19,1.04,1.3,24.23,0.31,,0.35,4.14,2.06,3.9,11.4,4.27,10.76,3.34,0.29,3.98,14.55,1.08,5.91,
DE,5.34,1.79,0.74,18.71,,0.58,,3.27,1.83,3.27,9.0,5.3,15.59,5.07,,4.4,13.95,1.25,7.72,
FL,8.13,1.33,1.08,21.27,0.34,0.61,0.33,4.08,3.11,3.21,6.68,3.89,12.14,3.72,0.27,4.12,13.02,2.29,9.11,0.1
GA,6.69,1.55,0.93,21.34,0.37,0.57,0.34,3.92,2.76,2.77,8.07,4.56,12.98,3.95,0.3,4.59,12.7,1.83,8.43,0.09
HI,7.65,1.88,0.98,21.29,,0.71,,3.78,2.91,3.1,6.83,4.49,11.71,4.41,,6.07,14.24,1.36,6.4,
IA,5.65,1.48,0.71,18.47,,0.48,,3.28,3.73,3.02,14.2,3.82,14.17,3.95,,3.02,11.63,1.25,9.19,
ID,7.77,1.36,0.9,20.42,,0.77,,3.13,3.5,2.23,6.84,3.74,14.73,3.96,,3.96,12.87,2.35,8.91,
IL,5.4,1.61,0.78,19.02,0.29,0.47,0.29,3.89,2.44,2.84,10.94,4.64,13.48,3.99,,4.72,13.17,1.54,7.97,
IN,5.63,2.02,0.87,18.85,0.3,0.41,0.28,3.13,2.92,2.6,11.19,4.3,13.95,3.56,,3.32,11.79,1.13,8.53,
KS,5.49,2.21,0.72,18.92,,0.9,,3.76,2.72,2.92,9.4,4.98,15.22,4.12,,3.61,12.83,1.43,8.39,
KY,6.9,2.1,0.87,19.42,,0.54,,3.83,3.76,3.28,7.66,3.78,16.07,4.09,,3.54,11.84,1.09,8.96,
LA,6.94,2.0,1.21,20.61,0.4,0.36,,3.21,2.57,3.3,9.15,5.02,13.67,4.19,0.41,3.72,12.24,1.15,8.43,
MA,5.24,1.59,0.85,19.6,0.37,0.4,0.22,3.94,2.45,3.29,11.47,4.83,12.9,3.94,,3.93,14.35,1.53,7.42,
MD,5.42,1.66,0.98,21.28,0.3,0.39,0.38,3.58,2.65,2.81,10.52,4.68,13.28,4.2,,4.02,13.22,1.22,7.64,
ME,6.52,2.56,,20.46,,,,3.31,3.26,2.28,8.2,4.89,16.45,3.68,,3.12,12.58,1.4,7.83,
MI,5.68,1.87,0.85,19.2,0.37,0.56,,3.24,2.97,2.87,7.92,4.77,15.75,4.18,0.25,3.5,13.24,1.37,9.65,
MN,6.02,2.04,0.98,18.79,0.37,0.57,0.3,3.13,2.93,2.39,8.47,4.99,16.42,4.29,,3.53,13.48,1.41,8.03,
MO,6.47,1.99,0.83,19.54,0.35,0.43,0.32,3.68,3.49,2.88,7.61,4.47,15.55,4.04,,3.83,12.99,1.4,8.66,
MS,6.64,1.52,,18.86,,,,3.85,2.64,3.35,10.5,3.85,16.33,3.8,,3.5,11.21,1.12,9.23,
MT,7.35,1.35,1.03,22.06,,,,3.29,3.35,2.65,6.77,3.94,14.13,3.42,,3.81,12.97,1.87,8.71,
NC,6.33,1.65,0.8,20.77,0.42,0.52,0.29,3.65,3.09,2.97,8.14,4.39,14.68,3.77,0.26,3.88,13.25,1.57,8.06,0.1
ND,5.11,,,19.86,,,,4.26,2.41,3.26,9.36,4.82,15.74,3.12,,2.98,12.2,,10.5,
NE,5.62,2.01,0.8,18.56,,0.57,,3.71,2.64,2.68,7.79,5.48,16.62,4.48,,3.81,12.47,1.2,9.06,
NH,6.45,1.91,0.6,19.46,,0.7,,3.61,2.94,2.71,10.17,4.15,14.35,4.05,,3.34,12.44,1.71,9.3,
NJ,6.12,1.38,1.1,19.64,0.38,0.56,0.24,4.1,2.76,3.08,10.5,4.28,12.69,3.57,0.18,4.34,13.42,1.88,7.99,0.09
NM,5.13,1.98,0.97,20.39,,,,3.15,3.92,3.84,8.72,5.41,14.7,3.07,,3.19,13.12,0.69,9.25,
NV,6.9,2.27,0.89,20.99,0.35,0.49,0.26,3.24,3.19,3.19,7.28,4.8,12.34,3.58,,3.91,13.54,1.57,9.42,
NY,5.4,1.56,0.93,20.38,0.36,0.45,0.2,3.94,2.08,3.24,10.35,5.19,12.82,3.92,0.31,4.56,14.22,1.71,6.87,0.07
OH,6.08,1.9,0.8,20.05,0.34,0.5,,3.63,2.97,2.6,8.09,4.49,15.76,4.02,0.34,3.47,13.18,1.34,9.0,
OK,7.06,2.38,0.92,18.25,0.42,0.56,0.4,3.54,3.35,2.65,7.88,4.38,16.33,4.02,,3.54,11.92,1.52,9.29,
OR,6.15,1.82,1.0,19.15,0.28,0.34,0.26,3.08,2.51,2.89,9.14,4.9,16.15,4.0,,3.53,13.61,1.23,8.3,
PA,5.28,1.82,0.8,19.23,0.32,0.53,0.26,3.68,2.6,2.72,10.32,4.82,14.54,3.91,0.26,4.05,13.36,1.4,8.56,0.08
RI,5.86,1.99,0.77,21.02,,,,4.13,2.45,2.83,11.91,3.98,12.56,3.56,,3.75,12.63,1.68,8.31,
SC,8.04,1.42,0.82,21.44,0.47,0.58,0.34,3.64,3.2,3.1,6.31,3.49,13.78,4.0,,3.93,13.04,2.06,8.87,
SD,9.48,2.49,,20.45,,,,3.24,3.37,2.49,8.35,3.74,13.72,2.87,,3.49,11.35,,8.35,
TN,7.35,1.66,0.89,20.37,0.42,0.57,0.3,3.66,2.74,2.87,6.68,4.26,15.32,3.96,,3.77,12.89,1.93,8.63,
TX,7.01,1.5,1.02,19.51,0.43,0.59,0.28,3.94,3.11,3.1,8.55,4.28,13.48,4.05,0.23,4.19,13.16,1.65,8.49,0.11
UT,8.18,1.44,1.13,18.56,0.59,0.65,0.3,3.6,3.05,2.82,6.5,4.42,15.18,4.15,,3.92,13.01,2.23,8.68,
VA,5.59,1.38,0.95,20.77,0.29,0.49,0.4,3.73,2.87,2.95,10.26,4.13,13.73,4.19,0.28,3.88,13.23,1.21,8.08,0.08
VT,7.43,1.56,,20.45,,,,3.27,3.2,3.12,10.11,2.97,13.9,3.64,,3.64,13.98,,8.55,
WA,5.62,1.75,0.83,17.59,0.3,0.46,0.27,3.44,2.86,2.63,10.21,4.75,15.94,4.17,0.31,4.21,13.99,1.13,8.01,0.07
WI,5.48,1.9,0.81,18.51,0.32,0.35,0.25,3.85,3.11,2.58,9.85,4.76,16.91,4.33,,3.2,13.39,1.16,7.89,
WV,6.2,2.96,,20.52,,,,2.29,3.24,4.2,7.06,4.77,15.17,3.63,,2.96,11.55,,9.54,
WY,6.2,,,18.93,,,,3.69,3.52,,8.71,3.52,13.9,3.85,,5.36,14.41,,7.54,
