geo_id,Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,Business and Financial Operations,Community and Social Service,Computer and Mathematical,Construction and Extraction,Educational Instruction and Library,"Farming, Fishing, and Forestry",Food Preparation and Serving Related,Healthcare Practitioners and Technical,Healthcare Support,"Installation, Maintenance, and Repair",Legal,"Life, Physical, and Social Science",Management,Office and Administrative Support,Personal Care and Service,Production,Protective Service,Sales and Related,not_classified
AL,,2.755267423014587,,,,10.777957860615883,,,,,,,,,,,2.188006482982172,,,,,84.27876823338735
AR,,,,,,5.135951661631419,,,,,,,,,,,,,,,,94.86404833836858
AZ,,4.703668861712135,,,1.9441831295076828,17.215428033866417,,5.707118218877391,,,,,,,1.0975227343994982,,2.8849169018501097,,,,0.533082470994042,65.91407964879272
CA,1.4318768016992869,8.323850705507512,0.1593081474738279,2.4578971324533447,1.7884236079502354,21.982627825823094,0.0701714459110907,8.37316037020179,0.493096646942801,0.2901684114701865,1.5077378243058703,0.1612046730389923,0.3280989227734787,0.337581550599302,6.163708086785009,1.3010165377029277,6.505082688514641,0.4305113032923684,1.2649825519648004,0.1346533151266878,2.4351388256713697,34.059702624791385
CO,0.8090614886731391,5.663430420711974,,,1.233818770226537,18.932038834951456,,4.429611650485437,0.7281553398058253,,,,,,3.175566343042071,0.3033980582524271,3.8228155339805823,,,,1.1933656957928802,59.70873786407768
CT,,4.221770091556459,,,2.0854526958290944,10.020345879959306,,,,,,,,,0.762970498474059,,2.695829094608341,,,,,80.21363173957273
DC,,5.024848150193264,,,2.2087244616234125,7.012700165654334,,1.1043622308117065,0.8282716731087797,,,,,,,,1.7669795692987302,,,,,82.05411374930978
DE,,,,,,3.3783783783783785,,,,,,,,,,,,,,,,96.62162162162164
FL,0.6420213316765039,7.383245314279796,,0.8905457181319248,1.656829243036139,24.56249352801077,,7.114010562286423,0.5695350522936728,0.1863932898415656,0.6627316972144557,,0.1656829243036139,0.2278140209174691,3.0444237340789058,0.8905457181319248,5.146525836181008,0.1863932898415656,0.6523765144454798,,1.8846432639536084,44.133788961375174
GA,0.2693965517241379,6.7349137931034475,,0.2693965517241379,1.8857758620689655,18.498563218390803,,7.471264367816091,0.5208333333333333,,,,,,2.4784482758620685,0.6645114942528735,4.058908045977011,,,,1.0775862068965516,56.07040229885057
HI,,,,,,,,,,,,,,,,,2.627737226277372,,,,,97.37226277372262
IA,,2.28494623655914,,,,8.198924731182796,,,,,,,,,,,2.0161290322580645,,,,,87.5
ID,,2.800658978583196,,,,2.9654036243822075,,,,,,,,,,,,,,,,94.2339373970346
IL,0.4477180820335066,6.426920854997112,,0.5921432697862505,1.9641825534373192,20.566146735990756,,6.5857885615251295,0.6065857885615251,0.317735413056037,,,,0.2166377816291161,2.729636048526863,0.4766031195840554,4.6504910456383595,,0.317735413056037,,2.0652801848642404,52.0363951473137
IN,,5.024576734025123,,,1.2015292190060076,14.582195521572912,,1.0922992900054616,,,,,,,,,1.7476788640087382,,,,,76.35172037138176
KS,,,,,,7.943416757344941,,,,,,,,,,,,,,,,92.05658324265508
KY,,2.497398543184183,,,,8.116545265348595,,,,,,,,,,,,,,,,89.38605619146722
LA,,,,,,10.12536162005786,,,,,,,,,,,,,,,,89.87463837994214
MA,0.3922799309587321,5.303624666562059,,0.2510591558135886,2.039855640985407,19.11187823630943,,8.253569747371724,0.549191903342225,,,,,0.2353679585752393,3.812960928918877,0.2510591558135886,4.095402479209164,,0.2510591558135886,,1.631884512788326,53.82080652753805
MD,0.4247411733474914,4.380143350146005,,,1.7255110167241838,16.272896203875764,,5.017255110167242,0.6902044066896735,,,,,,2.734271303424476,,3.159012476771967,,,,,65.5959649588532
ME,,,,,,,,,,,,,,,,,,,,,,100.0
MI,,4.193138500635325,,,1.048284625158831,18.32909783989835,,3.875476493011435,,,,,,,0.9529860228716646,,3.0813214739517156,,,,0.5400254129606099,67.97966963151207
MN,,4.637467795362532,,,1.3986013986013983,16.451969083548033,,3.643724696356275,0.8097165991902834,,,,,,0.7729112992270887,,2.539565697460434,,,,0.6624953993375046,69.08354803091645
MO,0.8897276894041519,11.215961175519007,,,1.1054192504718252,20.08627662442707,,4.367754111620383,,,,,,,2.022108385009437,,3.720679428417363,,0.4853060124022647,,0.5122674575357239,55.59449986519277
MS,,,,,,,,,,,,,,,,,,,,,,100.0
MT,,,,,,,,,,,,,,,,,,,,,,100.0
NC,0.771604938271605,7.137345679012346,,,1.6589506172839508,18.287037037037035,,7.079475308641976,0.5979938271604939,0.327932098765432,,,,,3.665123456790123,,3.4143518518518516,,0.3086419753086419,,0.9452160493827164,55.80632716049383
NE,,,,,,2.5974025974025974,,,,,,,,,,,,,,,,97.4025974025974
NH,,,,,,10.461956521739133,,,,,,,,,,,,,,,,89.53804347826087
NJ,,15.353453514279929,,,1.7419485517520763,15.65728175005064,,8.162851934373101,,,,,,,1.822969414624266,,2.6129228276281147,,0.3240834514887584,,0.668422118695564,53.656066437107555
NM,,2.2624434389140275,,,,7.239819004524888,,,,,,,,,,,,,,,,90.49773755656108
NV,,1.6483516483516485,,,,20.421245421245423,,1.373626373626374,,,,,,,0.8699633699633702,,3.7087912087912094,,,,,71.97802197802197
NY,1.019404915912031,7.948253557567917,0.1241914618369987,2.1681759379042687,2.080206985769729,23.90168175937905,,10.100905562742565,0.7244501940491592,0.2535575679172057,1.0556274256144889,0.0776196636481241,0.2276843467011642,0.2483829236739974,5.319534282018111,1.2677878395860285,5.562742561448901,0.4967658473479948,0.6623544631306598,0.0827943078913324,2.1992238033635187,34.478654592496774
OH,,4.765886287625418,,,1.5328874024526198,17.279821627647713,,4.041248606465998,0.5574136008918618,,,,,,0.4459308807134894,,4.15273132664437,,,,0.5016722408026756,66.72240802675586
OK,,,,,,11.61217587373168,,,,,,,,,,,,,,,,88.38782412626833
OR,,3.624813153961136,,,1.046337817638266,15.508221225710017,,1.8684603886397608,0.5979073243647235,,,,,,1.2705530642750371,,3.1390134529147984,,,,0.6352765321375187,72.30941704035874
PA,0.7201061209020276,5.552397195376161,,,2.065567557324237,19.55656623081296,,5.931400416903544,0.5116543490619672,,,,,,2.9562251279135867,,3.619480765586508,,,,1.0801591813530416,58.00644305476597
RI,,,,,,3.795066413662239,,,,,,,,,,,,,,,,96.20493358633776
SC,,4.568527918781726,,,1.0877447425670776,14.213197969543147,,2.2480058013052937,,,,,,,,,1.305293691080493,,,,,76.57722987672226
TN,,5.513468013468013,,,1.0521885521885523,12.247474747474747,,3.787878787878787,,,,,,,0.6313131313131313,,3.2407407407407405,,,,0.6313131313131313,72.89562289562289
TX,1.1554471077938853,6.358547437921631,,1.8659394287354667,2.2104205540404767,24.120855461461176,,8.604851442514711,0.4521314769628246,0.1650638725419836,0.5167216879575138,,0.1220037318788574,0.3803645758576144,4.097890053107506,0.9903832352519016,5.648055116980048,0.1363571120998995,0.8396727429309602,,1.5573417539830627,40.77795320798048
UT,0.3836930455635493,3.7410071942446046,0.1918465227817745,,0.5875299760191847,12.661870503597122,,2.7098321342925664,0.2158273381294964,,0.8752997601918466,,,,1.7026378896882497,,3.41726618705036,0.39568345323741,0.4556354916067147,0.3237410071942446,1.8585131894484417,70.47961630695444
VA,0.5687203791469195,8.54265402843602,,0.6279620853080566,1.2796208530805688,20.91232227488152,,7.9857819905213265,0.5687203791469195,0.1895734597156398,0.1777251184834122,,,0.2132701421800947,5.000000000000001,0.7701421800947867,4.1350710900473935,,0.7345971563981042,,1.161137440758294,47.13270142180095
VT,,,,,,3.488372093023255,,,,,,,,,,,,,,,,96.51162790697674
WA,0.6159614354579539,4.057311194429566,,1.0980182110337438,2.075522228173541,22.268344938403857,,7.645956079271558,0.6963042313872524,,0.4418853776111408,,,,4.0037493304767,0.2008569898232457,5.369576861274773,,0.5757900374933048,,1.620246384574183,49.33047670058919
WI,,5.142857142857142,,,,11.142857142857144,,1.085714285714286,,,,,,,,,2.7428571428571433,,,,,79.88571428571429
WV,,,,,,6.097560975609757,,,,,,,,,,,,,,,,93.90243902439023
