geo_id,Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,Business and Financial Operations,Community and Social Service,Computer and Mathematical,Construction and Extraction,Educational Instruction and Library,"Farming, Fishing, and Forestry",Food Preparation and Serving Related,Healthcare Practitioners and Technical,Healthcare Support,"Installation, Maintenance, and Repair",Legal,"Life, Physical, and Social Science",Management,Office and Administrative Support,Personal Care and Service,Production,Protective Service,Sales and Related,Transportation and Material Moving
AK,2.34,13.17,,6.25,3.01,21.99,,10.27,,,3.24,,,2.23,4.8,6.03,7.25,,1.79,,11.27,
AL,3.0,13.73,,5.89,3.03,22.09,,10.8,,0.74,3.77,0.62,1.39,1.08,4.32,5.47,6.91,1.44,0.98,0.39,12.46,0.38
AR,2.86,13.82,,6.89,3.1,23.23,,11.31,,0.86,3.86,0.52,0.9,0.83,3.86,5.14,7.58,1.21,0.93,,11.38,
AZ,3.03,12.64,0.15,6.0,3.1,22.15,,11.44,,0.55,4.58,0.79,0.85,0.99,4.11,5.86,7.34,1.4,1.11,0.39,11.77,0.47
CA,2.99,12.9,0.18,6.23,3.18,21.09,0.14,12.36,0.05,0.63,4.2,0.69,0.78,1.14,4.31,5.72,7.75,1.21,0.99,0.43,11.29,0.39
CO,3.06,12.16,,6.38,3.12,21.23,0.14,10.87,,0.64,4.85,0.68,0.97,0.97,4.12,6.14,7.71,1.36,1.28,0.44,12.33,0.39
CT,2.67,12.86,0.22,6.21,3.39,19.88,,13.02,,0.66,4.61,0.59,0.7,0.89,4.71,5.82,6.94,1.47,1.13,0.35,11.98,0.46
DC,2.2,16.38,,6.02,3.0,18.47,,13.68,,0.67,3.9,0.61,0.64,1.17,4.37,5.82,8.94,1.44,0.77,0.45,9.73,0.35
DE,3.08,13.17,,6.14,3.43,20.46,,11.96,,0.74,5.3,0.97,0.9,1.01,4.6,5.28,7.13,1.13,0.9,,12.0,
FL,2.72,12.33,0.16,7.32,2.92,22.19,0.15,10.03,0.04,0.57,4.22,0.69,0.88,1.34,3.67,6.67,8.28,1.32,1.13,0.53,11.38,0.45
GA,2.85,13.11,0.17,6.71,3.3,21.17,,11.68,,0.72,3.84,0.61,0.76,1.09,4.25,6.09,7.56,1.29,1.08,0.38,11.58,0.42
HI,2.7,13.34,,6.4,3.38,20.09,,12.61,,0.71,4.68,0.76,0.9,1.14,4.11,5.99,7.35,1.44,0.93,0.46,10.84,0.44
IA,2.99,12.85,,4.66,2.89,23.1,,14.55,,,3.63,,0.61,0.55,4.21,6.17,6.81,1.14,1.0,,11.63,0.47
ID,3.06,12.65,,5.58,3.16,23.65,,10.86,,0.59,4.18,0.5,1.02,0.93,3.96,6.1,8.14,0.91,1.42,,11.01,
IL,2.85,12.8,0.18,5.94,3.38,20.5,,12.37,,0.78,4.33,0.75,0.68,0.92,4.25,5.58,7.59,1.29,1.06,0.44,11.75,0.4
