geo_id,user_Management,user_Business and Financial Operations,user_Computer and Mathematical,user_Architecture and Engineering,"user_Life, Physical, and Social Science",user_Community and Social Service,user_Legal,user_Educational Instruction and Library,"user_Arts, Design, Entertainment, Sports, and Media",user_Healthcare Practitioners and Technical,user_Healthcare Support,user_Protective Service,user_Food Preparation and Serving Related,user_Building and Grounds Cleaning and Maintenance,user_Personal Care and Service,user_Sales and Related,user_Office and Administrative Support,"user_Farming, Fishing, and Forestry",user_Construction and Extraction,"user_Installation, Maintenance, and Repair",user_Production,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,dissimilarity
AL,,,68.55670103092783,,,,,,17.525773195876287,,,,,,,,13.917525773195877,,,,,10.293910940272182,5.190690274467447,2.7432819206411305,2.92570609950386,0.7217330645129705,1.6966493047471627,0.8452784470967706,6.291414792633927,1.629023547601962,7.315113834515334,2.766476597963133,2.052184977769229,4.5112559460839075,3.446259064092594,2.1076694310254265,9.117640531240792,10.212098569980691,0.447835692909435,4.900125808277933,3.93073625476024,8.486336246230865,42.7077979808881
AR,,,100.0,,,,,,,,,,,,,,,,,,,10.298782088050537,5.065461040702962,2.2178021752737633,1.3564019073084168,0.5466173191688276,1.6129536454846094,0.7001557921153051,6.48932682248786,1.685942578646666,7.008609640791217,3.218710175049853,1.994109996648616,4.773359911773537,3.6128794933811976,1.8753939330493743,9.465806793059654,11.24698393589187,0.7551882845492461,5.381843348592673,4.090360880839751,7.929840478470082,48.89109891236312
AZ,,,50.50597976080957,,3.219871205151794,5.703771849126036,,16.74333026678933,13.799448022079117,,,,,,,1.5639374425023,8.46366145354186,,,,,11.52989958904184,6.51444679513033,3.702459079507537,2.704732702588747,0.8071748365484552,1.6626101353268017,1.0015620245693269,5.5381599711238705,2.0537316987367835,6.571380400928227,3.0534617721894364,2.4775421398849247,5.381270532522428,3.4092896523672387,2.5102023933868853,9.342721701149808,11.576957833351416,0.3981917497508975,5.046567338658777,3.4341927378595307,4.08001275495965,43.550173010584736
CA,1.9730219448359163,3.7274583680865128,33.33716816704536,2.171474589433116,9.347407173056457,2.712186142828382,0.511950300555092,12.698093128936696,12.623313871552247,2.2865196007938087,0.24447064914147623,0.20420489516523324,0.4400471684546578,0.24159452385745916,0.6528804394719435,3.6929448646783047,9.865109724179586,0.7477925738445169,0.1064166355086425,0.4975696741350049,1.918375564439587,11.521495786470348,5.963072895024777,4.3867768886934195,2.689644573802756,1.5316741865032293,1.7453123175248757,1.3188822407574756,5.694989836841813,2.976080917597006,5.58001901131292,3.9887702279013464,2.014893281320444,5.463271722285566,3.575453395005699,2.7329997436216287,8.651792446414134,9.807219022076817,1.3250367932920737,4.6491784171668185,2.527387233198046,4.40721673054402,50.71680887203917
CO,0.753012048192771,,46.987951807228924,2.0080321285140563,7.881526104417672,3.062248995983936,,10.993975903614459,14.056224899598394,,,,,,,2.9618473895582333,9.487951807228917,1.8072289156626509,,,,14.30443437719525,7.1567544311091105,5.316728083373577,3.275825635356732,1.475174937668441,1.8362823294393429,1.1675625869770352,5.950545960362903,2.626270189935952,6.193907149615413,2.650891869578709,1.8396773290808053,5.696714211468499,2.5343513678675658,2.498243801587337,9.158884079482336,9.148254874997384,0.4472832705205518,5.11448763744196,2.8473893721915897,2.9440992685203575,44.24641065660304
CT,,,50.6426735218509,,3.8560411311053993,10.539845758354756,,,21.33676092544987,,,,,,,,13.624678663239074,,,,,12.223658196775691,6.955536389570756,3.652464671929941,2.7643070390764946,1.3389769787036423,1.9563457838519205,1.3215152922444104,7.8055330723810785,2.376116234326279,7.0165726796258205,3.711590260731109,2.027731705698932,4.417328998872155,3.492018841637365,3.0149804285809063,9.04823193790221,9.477502819611225,0.2137862402972202,4.447953293969349,2.3599283487029785,4.790924169043985,40.599296755788494
DC,,,39.07692307692307,,,12.307692307692308,,6.153846153846156,28.000000000000004,,,,,,,,9.846153846153847,4.615384615384616,,,,18.30152047633632,13.804201685034547,7.891786105472988,1.5734256658897303,5.1545134112346025,1.899946531559358,8.429066067266413,6.12421289783375,5.894765803038876,3.712163291579499,1.5461723344944118,2.8135820221452787,3.934342831335621,1.862310978680108,2.1717011789012495,3.939793497614685,7.009037723801762,0.0,0.8728852712614918,0.4202204145621039,0.886382159190602,35.590125469146635
DE,,,100.0,,,,,,,,,,,,,,,,,,,12.393100535563097,6.804883320213591,4.023762266298388,1.5608858503080332,1.5394712578495386,2.2873957277888044,1.2446240450182322,6.393247265178088,1.3889742608495643,6.665490185969873,3.823099603631756,2.5108609657584635,5.231307341041265,3.409877282488217,1.673907310505642,7.9337099393451505,10.70095116481503,0.2569751095019322,4.192104757013775,3.4604395146818847,4.756617208211306,47.988118866850805
FL,1.594068582020389,1.594068582020389,43.966635773864695,1.1492122335495827,5.449490268767376,2.965708989805375,0.407784986098239,12.73401297497683,13.215940685820202,1.18628359592215,,,0.3336422613531046,,0.3336422613531046,3.3734939759036138,9.212233549582946,1.0194624652455975,,0.29657089898053746,1.1677479147358665,12.206310667171737,6.289830722487104,3.2043495621876223,1.7989981544459868,0.7324161009095446,1.4445828260505935,1.3194709442890564,4.874368604801236,2.169339015831881,6.517056115372053,2.8827823928276395,2.2802213546580785,5.905223043659164,4.258323513830472,2.8361706221907252,10.69841709147956,11.074498226898308,0.4854724939766726,5.205133258691133,3.0575905106560826,3.12329614735358,55.30941797960298
GA,1.5126737530662306,0.6132461161079313,42.10956663941129,0.6132461161079313,5.641864268192967,4.29272281275552,,17.007358953393297,15.331152902698284,,,,,,,2.4529844644317254,9.239574816026167,1.1856091578086672,,,,11.781981440756043,6.739799130430554,4.13101597776811,1.9929098256559272,0.9032359908830996,1.46799228063534,1.0676596551722848,6.399972767505949,2.0435031611015244,5.7478330902484105,2.260839411703314,1.9537818190931953,5.105755969171919,3.369965027941362,2.3924381947699396,9.712536336488888,10.650299239472751,0.3365719302563857,4.597278920216648,3.265542628017972,5.3060719109916406,48.3658916665869
HI,,,,,,,,,,,,,,,,,100.0,,,,,9.763788959847869,5.2495002508104545,2.5738393465451797,2.137653761782476,1.125876900731468,2.1858692641146393,1.1913122253251176,6.621845216258507,2.234234504031684,6.221297176697837,3.154970913474137,3.02005734949501,7.9371401618663295,4.932655521199099,3.1834210546018102,9.508186902453447,10.764335502032688,0.5646604325918827,5.3763279852059265,2.7586155262901766,2.8041357520944543,44.61783224898365
IA,,,65.59139784946237,,,,,,18.27956989247312,,,,,,,,16.129032258064516,,,,,11.119399376163647,5.641668883139492,3.000640762144256,2.0939623280218584,0.993362671373649,1.8653432308919895,0.6328432913412482,6.621551369780207,1.5372851028846386,6.241023285054526,2.868740479241725,1.4466112145465095,5.144111033198733,3.120209396232802,2.5510191745049204,8.689460067219576,10.030224629446042,0.9079478685591316,5.343654036801508,3.854607442512755,7.990666634427061,42.71592475276253
ID,,,51.42857142857142,,,,,,48.57142857142857,,,,,,,,,,,,,11.503515511936078,5.2820793801847525,2.770862104137762,2.48067082568337,0.8922554067751172,2.0167065586219493,0.7662245975825581,6.0992503302968455,1.9433309942869592,5.94876099965929,3.5243768150305623,1.6109514364842104,5.388137510293406,3.31001763363271,2.484302221880444,9.009921188021949,10.366781696481498,1.6064655941231194,6.64075558674284,3.1482068913219243,5.630372997792325,47.642903450787635
IL,0.9936766034327008,1.2345679012345674,42.87865100873231,0.9334537789822341,5.691056910569105,4.095152062631737,0.45167118337850043,13.730803974706413,13.399578440228849,,,,0.662451068955134,,,4.3059319482083716,9.695874736525143,1.2646793134598011,,,0.662451068955134,11.815794587881747,7.086139801204904,4.0614270839752065,1.9041321635043045,1.0639534975581162,1.7845580672225092,1.3384936002262555,6.5430161807389,1.924356112135475,6.272220668559501,3.398681967347803,2.144496952977739,4.939383453966027,2.734325254813853,2.437538808651426,8.8584212996099,10.20934946825235,0.2813024854916868,3.711931971692792,2.8150630497398534,5.905819599218217,49.259381983699114
IN,,,61.662817551963066,,,5.080831408775982,,4.618937644341802,21.24711316397229,,,,,,,,7.390300230946882,,,,,10.662576795788889,5.25311242519699,2.7700215220106106,2.3938144147282587,0.9793548120440596,1.7717131697581798,0.7241315174936452,5.924841241958768,1.7761415670031266,6.866879426552079,2.97520392769313,1.73947443781497,4.916288530746362,2.9786285548958884,2.1688518346849786,8.09336832751245,10.438913212270794,0.3062089081638979,4.733218588640275,3.6910986263111742,9.71457503623905,43.013701222440154
KS,,,100.0,,,,,,,,,,,,,,,,,,,11.532133679572116,6.192842007237447,3.1584475562621104,2.377650679178908,1.0552296877421592,1.791156292700358,0.8766284084994987,7.065545112896447,1.6612152331528371,6.885184215139081,3.14897268733677,1.9909406717546712,4.505503206904743,3.283312793171056,2.3347430584741535,8.789768224402795,10.208359135431747,1.02213532413865,4.919351946036561,3.129887594215728,6.73703787172787,48.42077622186895
KY,,,76.47058823529413,,,,,,23.52941176470588,,,,,,,,,,,,,10.471603382447295,4.867087314671754,2.2718444925897474,1.9002049532117808,0.8387544752593564,2.1148927232498655,1.0272116868406995,5.9425402113981605,1.5949809960323282,7.8602002345884685,3.050465292703301,1.8686036039924157,5.241747923853696,3.1493933404112684,2.0399893735068484,8.35066851958948,11.19349520513064,0.4153731213021865,4.654173823724893,3.627537578751617,8.401067636478027,48.066587255688965
LA,,,100.0,,,,,,,,,,,,,,,,,,,10.363184895337106,4.591104946505304,1.998819271188001,1.8169338570293987,1.0188340524552808,1.857259832718596,1.339472335346678,6.884072421316341,1.5345535510739068,7.456661885650501,3.474878000383072,2.4787919342140055,5.729489022127094,3.689506728135468,2.5892821533184733,9.77582401133657,10.35525756678282,0.3379700819666077,6.467370672527966,3.483149995396241,5.051382383309477,49.000590364406
MA,0.54366292898403,0.54366292898403,41.386340468909275,0.8494733265375466,8.256880733944955,4.4172612979952435,0.509683995922528,17.872918790349985,11.484879374787633,,,,,,,3.533809038396195,8.86850152905199,1.1892626571525655,,,0.54366292898403,13.345693786594936,7.299450491643643,4.861887782674786,2.751244058046365,2.65240127241109,2.2545530673358822,1.4830146756632867,7.330080834807363,2.3626115910012846,7.050865280559295,3.2689767627562727,2.0519666411591375,4.764669736981238,3.1100718694390945,2.8259554602848302,7.926147312773359,8.897901608412637,0.2153179949004474,4.664841453348522,2.046000383012465,3.5800212388135986,47.41085363754814
MD,,,47.29938271604938,1.2345679012345678,7.94753086419753,5.015432098765432,,14.583333333333332,12.73148148148148,,,,,,,,9.182098765432098,2.006172839506173,,,,12.957807508262295,7.60735347341977,6.492648154618556,2.331663967880056,2.478813585854601,2.016982944420024,1.643817774922449,6.756985223673681,2.30120086611639,6.067103982807915,2.655737520146974,2.732161396205669,4.651618583180861,3.171543893791789,2.751353463401072,7.645988075245428,9.532508794537806,0.1762664572758911,4.564581149570386,2.791710028841325,2.5351687586959164,35.403971098562685
ME,,,,,,,,,,,,,,,,,,,,,,12.41371038297632,5.389749668388226,2.948663675105128,1.99079953715463,1.0528321056642114,1.9764061750345725,1.0910732932576976,6.993762876414642,2.03242739818813,7.066435243981599,3.449326898653797,1.718595659413541,5.207857082380831,3.5104281319673754,2.36333361555612,9.031129173369456,10.112465780487115,1.3013292693252054,5.105974656393757,3.134366268732537,5.559930008748906,0.0
MI,,,57.24206349206349,,2.976190476190476,3.2738095238095233,,12.1031746031746,13.095238095238097,,,,,,,1.6865079365079365,9.623015873015872,,,,,10.791650917468951,5.926646854642455,3.261374618313053,3.326811109357936,0.9430443352960826,1.732926642915183,0.911611597519136,5.493472212402371,1.828738437946364,6.555177206206017,3.405703963738729,1.6426508247879896,5.352294434352748,3.2133339498241447,2.263343725903209,9.089472790466177,10.353500116214049,0.4404315408033635,4.436349431691539,3.020341916032707,8.47719789168436,41.782184520379765
MN,,,53.21428571428572,,2.5000000000000004,4.523809523809524,,11.785714285714286,15.000000000000002,,,,,,,2.1428571428571432,8.214285714285714,2.6190476190476195,,,,12.3935151165232,6.719537318916649,3.987278238505144,2.671241864371195,1.379284327104766,2.192059888725593,0.9788998530338022,6.2520995171110645,2.112901532647491,7.048210161662817,3.840705700188957,1.413368675204703,4.833318024354399,2.6418814297711526,2.348998792777661,8.247198456854923,9.540697826999793,0.5847155154314508,4.299647018685702,2.8375957904681925,6.718946829729163,40.28263577502175
MO,,,45.233758348512445,2.003642987249544,4.5537340619307844,2.4893746205221614,,9.836065573770492,25.258044930176077,,,,,,,1.153612629022465,8.37887067395264,,,,1.0928961748633879,11.437283279339704,6.012209614664561,3.6474840054047895,1.9035277646637472,1.0665342601787486,1.7938365865173296,0.9500056978201769,6.414801308870692,1.7611148192163055,7.116675077734547,3.201947026551842,1.7556449118465822,5.202370293193547,3.2015888778550146,2.1358360330147983,9.02170055513048,10.642942028749571,0.5360509222328944,4.695101502596579,3.20477965715402,6.146026991388152,43.986305937369806
MS,,,,,,,,,,,,,,,,,,,,,,9.521269189672893,3.61257863209488,1.5331400742477836,1.3962525676185171,0.7764259376011989,1.843757382147679,0.8733422922947196,6.485573621229923,1.2442683245438515,8.337935360937156,2.9557532645714795,2.400459316250815,5.317649414669021,3.8136859346913616,2.2834400534408825,9.669733468291378,10.768275264349333,0.6071547579750661,4.992091813188447,4.179371130972402,7.487355505459075,0.0
MT,,,,,,,,,,,,,,,,,,,,,,12.818561379300531,5.364242885492166,2.6991030847908504,1.7778267765820488,1.9022995454965752,1.8137460613259553,1.161153115731224,5.216298108725185,1.5002525019026551,6.510992723677565,3.3243120212243857,2.1866309133456148,5.410653446473153,4.324006173849338,3.1148421329653684,9.114963049369456,9.831214925351905,1.2086305861600506,6.397722503965348,3.475457526334882,4.077550091398576,0.0
NC,,,41.37931034482758,1.7459624618070717,8.293321693583588,3.7538192928852037,,16.01920558707988,16.15015277171541,,,,0.7420340462680051,,,2.138804015713663,7.72588389349629,1.3531209079004802,,,0.6983849847228284,12.255202818429924,6.415002563981961,3.980825774270928,2.074951636149354,1.3275155225112265,1.9476511745561216,0.8796312760676279,5.944289126919211,1.9410548003822456,6.822161369873804,2.7900559563729197,1.8369276880607155,5.208554407467783,3.430363129442276,2.117837628242118,9.31453921171608,9.50011720514112,0.3587853952834203,4.988082550659198,3.223906177762533,6.30376283950773,45.3998323510216
NE,,,100.0,,,,,,,,,,,,,,,,,,,11.959797836598032,6.008041201070367,2.9114296087550353,1.769121864728787,1.2068525017817042,2.0188486060445396,1.0874639096834426,6.945476968471039,1.835683646164101,6.76240805733726,3.024382934827083,1.3913621441153814,5.098267472707748,2.9512898386188957,2.4649950342797977,9.11444976554501,10.645658884797212,1.4939422055481597,4.5571288340258445,3.4857050650346064,6.057890500586858,48.544285195622486
NH,,,100.0,,,,,,,,,,,,,,,,,,,13.407201203334235,5.900202644828378,4.725593832912027,3.079757452942528,1.0095681784945787,2.0867716798629536,1.0170106754131238,6.112770802431737,1.7700085653999622,7.002083899137193,2.7931560365178516,1.7022426724047883,4.7578446528923894,3.091508763866547,1.9934140430776943,9.167589362191071,9.64586771679863,0.3313869680573255,5.382492113564669,3.0236123007499947,5.82107715127332,47.63720308354399
NJ,,,33.78496503496503,,3.9335664335664338,3.7587412587412583,,17.613636363636363,33.129370629370634,,,,,,,1.4423076923076918,5.638111888111888,,,,0.6993006993006993,12.959196573820316,7.347145181125085,4.871502589590858,1.8846704788731805,1.3331090449179346,1.7841377242318208,1.4529710030602832,7.0936714098094145,2.4376528704912017,6.216439017407776,2.7827993074921036,2.3733754326868324,4.415646833510778,3.1968621911376123,2.7467529550172864,8.53815845976548,10.455824411425754,0.17958397285135,4.328968416081479,2.419911796142727,3.662079550643035,44.788274111676245
NM,,,76.19047619047619,,,,,,23.809523809523807,,,,,,,,,,,,,10.611499783679973,4.5285806240568975,2.7399833275296253,2.849620648537993,2.16383340192261,2.1472664535122985,1.2063270969852375,7.539966444015322,2.3049162683212514,5.502864921333376,4.292844555594247,2.816381229752973,5.967372608608482,4.002764675467199,2.297107642955881,8.261103548703662,10.728734686124918,0.7709434718836725,6.085029598911014,3.358658604788587,3.3828231346354745,47.47755020207456
NV,,,72.87581699346404,,3.1045751633986933,,,4.901960784313727,5.88235294117647,,,,,,,,13.23529411764706,,,,,10.739393300856296,5.010513386016972,2.5347764050451405,1.789492010404815,0.9213747769960818,1.2693154960178905,0.9438598677748176,4.7856624782296135,2.4501039774840727,4.604239917203472,2.3561805411454677,2.7050849069149363,7.732108773875152,4.369302840123938,4.441319373732403,9.585651171441109,11.066390763895626,0.1342038703907973,5.398092107925867,3.278261992423167,4.120425006761589,39.12084579917473
