geo_id,obs_artifact_academic_paper_or_thesis_pct,obs_artifact_advice_or_recommendation_pct,obs_artifact_analysis_or_summary_pct,obs_artifact_app_or_website_pct,obs_artifact_audio_or_music_pct,obs_artifact_blog_or_article_pct,obs_artifact_chart_or_visualization_pct,obs_artifact_code_fix_or_debug_pct,obs_artifact_config_or_infra_pct,obs_artifact_creative_writing_pct,obs_artifact_data_or_spreadsheet_pct,obs_artifact_document_or_report_pct,obs_artifact_educational_material_pct,obs_artifact_email_or_message_pct,obs_artifact_explanation_or_answer_pct,obs_artifact_game_or_interactive_pct,obs_artifact_idea_or_brainstorm_pct,obs_artifact_image_or_graphic_pct,obs_artifact_marketing_or_social_content_pct,obs_artifact_math_or_calculation_pct,obs_artifact_ml_or_ai_system_pct,obs_artifact_none_pct,obs_artifact_other_pct,obs_artifact_plan_or_strategy_pct,obs_artifact_presentation_or_slides_pct,obs_artifact_recipe_or_meal_plan_pct,obs_artifact_resume_or_job_application_pct,obs_artifact_script_or_snippet_pct,obs_artifact_sql_or_database_query_pct,obs_artifact_translation_pct,obs_artifact_ui_or_design_mockup_pct,obs_artifact_video_or_animation_pct,exp_artifact_academic_paper_or_thesis_pct,exp_artifact_advice_or_recommendation_pct,exp_artifact_analysis_or_summary_pct,exp_artifact_app_or_website_pct,exp_artifact_audio_or_music_pct,exp_artifact_blog_or_article_pct,exp_artifact_chart_or_visualization_pct,exp_artifact_code_fix_or_debug_pct,exp_artifact_config_or_infra_pct,exp_artifact_creative_writing_pct,exp_artifact_data_or_spreadsheet_pct,exp_artifact_document_or_report_pct,exp_artifact_educational_material_pct,exp_artifact_email_or_message_pct,exp_artifact_explanation_or_answer_pct,exp_artifact_game_or_interactive_pct,exp_artifact_idea_or_brainstorm_pct,exp_artifact_image_or_graphic_pct,exp_artifact_marketing_or_social_content_pct,exp_artifact_math_or_calculation_pct,exp_artifact_ml_or_ai_system_pct,exp_artifact_none_pct,exp_artifact_other_pct,exp_artifact_plan_or_strategy_pct,exp_artifact_presentation_or_slides_pct,exp_artifact_recipe_or_meal_plan_pct,exp_artifact_resume_or_job_application_pct,exp_artifact_script_or_snippet_pct,exp_artifact_sql_or_database_query_pct,exp_artifact_translation_pct,exp_artifact_ui_or_design_mockup_pct,exp_artifact_video_or_animation_pct,dissimilarity
AK,0.34,13.82,5.73,4.27,0.11,0.45,1.8,1.91,2.36,2.13,2.47,16.74,1.24,5.17,19.33,0.22,1.12,1.01,2.02,0.79,0.22,6.74,0.0,4.16,0.79,0.9,1.01,1.69,0.34,0.45,0.34,0.34,0.7579752242631355,14.65381781290047,6.165084365655703,3.523267834258864,0.025065143101238797,0.4743998291328493,1.6425501922255445,2.3586576249466047,1.3672191371208882,1.8160038445108924,2.7966894489534395,14.455542503203763,1.5887943186672366,6.146924391285776,16.855737932507477,0.3740121742844938,0.8519906023067068,0.7814790687740283,2.50644916702264,1.5006941478000857,0.3092108073472875,6.3305873558308425,0.13767620674925252,4.375546774882529,1.4964427595044858,0.7919564288765486,2.0900469884664674,2.337602520290474,0.30020824434002574,0.32939021785561723,0.6919617684750108,0.16404634771465187,8.398470739000421
AL,0.5,15.48,5.5,4.13,0.05,0.26,1.24,2.04,1.81,3.27,2.66,14.41,1.43,4.82,18.01,0.59,0.92,1.18,2.45,1.07,0.26,6.74,0.1,3.85,0.93,0.83,1.75,2.18,0.31,0.19,0.85,0.19,0.7364493857244392,15.166578332825665,5.9091075236064565,3.374847192608385,0.02625342674383186,0.4679063864351711,1.6122327139811146,2.226656513351609,1.326052391105696,1.8074992385013708,2.6694446136663617,14.029833485633057,1.6086597624124273,5.963290689410091,17.70672961722002,0.3750634582191086,0.8642745456391512,0.7447212915016752,2.433979084170981,1.432217484008529,0.30166514366940805,6.632509899482182,0.1417311402172809,4.351461062036754,1.4349578637425118,0.9130795004568991,2.034196365113209,2.255885876738754,0.2874220733069347,0.3284719260838665,0.6730632551528072,0.16101837750025386,4.778784140521881
AR,0.73,14.55,5.96,3.67,0.07,0.62,1.21,2.22,1.94,3.05,3.01,14.66,1.98,4.82,16.32,0.52,0.83,0.76,2.39,1.04,0.31,6.93,0.17,4.99,0.9,1.14,1.77,1.94,0.35,0.14,0.8,0.21,0.745540293040293,14.728535816035818,5.947725885225886,3.507255799755799,0.025249287749287745,0.47617419617419615,1.6445248270248272,2.3000284900284904,1.3401475376475378,1.8197049247049248,2.757975172975173,13.95660866910867,1.6592439967439967,6.0465262515262514,17.519913512413513,0.37892857142857145,0.8529293854293853,0.7631237281237282,2.44777676027676,1.492962962962963,0.3024827024827024,6.63967032967033,0.14004985754985758,4.3374765974765985,1.459669312169312,0.9104700854700855,2.0243620268620273,2.2997059422059425,0.29678978428978425,0.3301475376475376,0.6843009768009769,0.1608394383394383,5.037326516076515
AZ,0.56,15.03,5.69,3.49,0.04,0.45,1.56,2.36,1.37,1.45,2.56,14.26,1.55,5.84,17.17,0.32,0.91,0.83,3.04,1.33,0.41,6.99,0.09,4.76,1.19,0.88,2.13,2.15,0.35,0.26,0.79,0.19,0.7084997974068072,15.223083468395465,5.960487236628851,3.3990984602917345,0.024720421393841174,0.4461456645056727,1.6292088735818477,2.225176256077796,1.3257607374392222,1.6755692868719618,2.730976499189627,13.86233691247974,1.668595016207456,5.864273703403567,17.969091369529984,0.3674220016207456,0.8362378444084281,0.743743922204214,2.3329912884927073,1.4665984602917348,0.29764586709886554,6.68677674230146,0.1403525121555916,4.422712722852513,1.436231766612642,0.9240366693679093,1.9646221636953005,2.2504619124797407,0.28818881685575376,0.30653869529983807,0.6674787277147488,0.15221130470016211,2.6927897082658037
CA,0.85,14.85,6.34,2.94,0.02,0.47,1.72,2.07,1.13,1.42,2.71,13.75,1.8,6.35,18.39,0.29,0.83,0.67,2.21,1.67,0.3,6.76,0.14,4.3,1.57,0.88,1.85,2.24,0.26,0.39,0.65,0.16,0.7295539787126204,14.989496198682211,6.028409528636596,3.3290238215914862,0.0247521540800811,0.457747592498733,1.6290613279270143,2.132307146477446,1.2821601621895593,1.7091353269133298,2.7625190065889513,14.035137354282817,1.7604946781550936,5.965643182970097,17.881606690319312,0.3685463760770401,0.8395428281804362,0.7492164216928535,2.3521013684744045,1.4753998986315255,0.2953745565129245,6.731159655347187,0.14124075012671064,4.396864673086671,1.440933603649265,0.9027673593512419,1.9832843385707042,2.1963983781044107,0.281385707045109,0.3127704004054739,0.659384693360365,0.1538570704510897,1.960227572225038
CO,0.47,16.15,5.73,2.91,0.04,0.54,1.58,2.15,1.44,1.33,2.85,14.79,1.04,6.2,17.86,0.27,0.88,0.68,2.39,1.23,0.33,7.22,0.14,4.38,1.24,1.08,1.76,2.03,0.3,0.21,0.62,0.15,0.685343990287333,15.557220760825574,5.969621610683934,3.3526163496560093,0.024370700121408337,0.4317614326183732,1.631454876568191,2.170127478753541,1.3095679886685552,1.615318696883853,2.7807122622420075,13.882841966815054,1.6079542695265077,5.870490692027517,17.925017199514368,0.3581464993929583,0.8321883852691219,0.7462211655200323,2.3219101578308368,1.4762322946175641,0.29414103601780656,6.602710441116956,0.14050283286118978,4.464159247268313,1.4280685957102388,0.9772339133953865,1.9417695265074868,2.208116147308781,0.2832365439093485,0.29682112505058683,0.6625343990287332,0.14892857142857144,3.046355726426551
CT,1.3,16.28,5.56,3.26,0.01,0.4,1.81,2.19,1.05,1.49,2.67,13.32,1.91,6.05,18.25,0.33,0.67,0.78,2.01,1.37,0.26,6.95,0.17,4.34,1.64,0.77,1.89,2.04,0.23,0.27,0.55,0.19,0.7358299512987015,15.594483563311693,5.933218344155846,3.225510349025974,0.024461241883116887,0.45902597402597417,1.6121641639610396,2.0426633522727276,1.22106838474026,1.7102922077922087,2.6793262987012993,13.723693181818184,1.834179180194806,5.855985186688312,18.135414975649354,0.3677181412337662,0.8601329139610393,0.7317623782467534,2.3644287743506505,1.420115665584416,0.291893262987013,6.696916599025976,0.13730620941558447,4.459650974025975,1.4324117288961047,0.9550284090909094,1.997072849025974,2.11286627435065,0.2679758522727273,0.31309557629870133,0.6487479707792209,0.15286627435064937,2.586159192370129
DC,1.49,13.25,6.94,2.32,0.0,0.83,2.01,1.73,0.89,1.46,2.84,16.36,2.08,6.63,16.63,0.37,0.7,0.62,1.98,1.41,0.24,6.44,0.15,3.71,1.65,0.91,3.11,1.93,0.31,0.32,0.52,0.18,0.8471240239326641,14.005097860257584,6.036440523273501,3.1327623973227863,0.02734205455836122,0.54297637156475,1.5687851130716963,1.8815596795456853,1.1420910658148262,2.1257641212858744,2.7643565561302097,14.492056586553089,1.925110029408782,6.552888145218537,17.2537896765034,0.3936020687557044,0.9039417908934185,0.7776969881350775,2.668159415880742,1.4478673562519013,0.2901744245005577,6.758510293073726,0.148890579048778,4.242018050907616,1.472110333637562,0.858299361119562,2.254204441740189,2.0117188926072407,0.25915931447114904,0.3836598722239124,0.6492292870905587,0.17906703174120273,5.581758442348648
DE,1.02,16.83,5.65,3.22,0.04,0.67,1.22,1.84,1.1,2.43,2.24,12.99,1.33,5.26,20.67,0.39,0.9,0.43,2.12,1.49,0.24,6.51,0.12,4.16,1.1,0.78,1.41,2.08,0.47,0.51,0.67,0.12,0.735642566191446,15.613181262729121,5.870467413441955,3.273814663951121,0.024412423625254583,0.46174134419551927,1.6068828920570264,2.0892270875763748,1.2295305498981672,1.7529317718940933,2.658965376782078,13.757002036659877,1.7235325865580449,5.892438900203666,18.294199592668022,0.3661995926680245,0.8523594704684316,0.7321069246435844,2.36621283095723,1.4277515274949082,0.2941873727087576,6.510883910386966,0.13604684317718943,4.387080448065173,1.4166741344195521,0.9876853360488799,1.9802790224032583,2.154694501018329,0.2740835030549898,0.3203655804480651,0.6519531568228105,0.15456517311608958,5.308728105906315
FL,0.34,14.14,5.93,4.13,0.02,0.42,1.45,2.2,1.42,1.52,3.08,15.34,1.37,6.31,15.81,0.36,0.77,0.99,3.2,1.15,0.35,7.18,0.13,4.83,1.3,0.84,1.71,2.16,0.29,0.29,0.77,0.2,0.6784079199919184,14.964989392867967,6.091182947772501,3.4460864733811496,0.02447418931205172,0.4329013031619355,1.655647035054046,2.2126093544802505,1.3377997777553288,1.627816951207192,2.8817436104657035,14.272704313567028,1.5274573189211031,6.025523790281847,17.410610162642694,0.3578977674512577,0.8248277603798363,0.7702283058894837,2.387578543287201,1.512169916153147,0.2942125467218911,6.627800787958383,0.1434336801697141,4.499113041721387,1.454975250025255,0.916885543994343,1.961184968178604,2.239247398727144,0.29047883624608545,0.29820587938175563,0.6781088998888778,0.15093342761895143,4.4288872613395265
