geo_id,obs_collaboration_directive_pct,obs_collaboration_feedback_loop_pct,obs_collaboration_task_iteration_pct,obs_collaboration_learning_pct,obs_collaboration_validation_pct,exp_collaboration_directive_pct,exp_collaboration_feedback_loop_pct,exp_collaboration_task_iteration_pct,exp_collaboration_learning_pct,exp_collaboration_validation_pct,dissimilarity
AK,31.31,17.45,28.94,17.68,2.48,31.166233447244768,16.954849423323367,29.90658479282358,16.404445749679624,3.333430158052115,1.8672431653139663
AL,32.39,18.61,27.95,14.89,3.47,31.696922530206106,16.766240227434253,29.08886993603412,16.557955122347444,3.2806701187937857,2.7664960909737095
AR,32.97,19.25,27.9,14.42,2.88,31.734673382173387,16.765495522995522,29.23708485958486,16.467437932437935,3.2499572649572652,3.7371555759055766
AZ,31.43,17.97,28.82,15.63,3.18,31.657683346839555,16.848517017828208,28.67395563209076,16.905896474878443,3.291927674230146,1.4415174230145875
CA,31.43,15.29,29.21,17.97,3.45,31.774659908768374,16.51810440952864,28.9111414090218,16.901582361885453,3.314984287886468,1.5375281297516479
CO,32.74,17.0,28.53,15.87,3.21,31.646483205180086,16.88984216916228,28.58516491299069,16.97953864832052,3.2917927964386893,1.2250854917037692
CT,31.59,15.71,29.42,16.96,3.67,31.42931615259741,16.430850243506498,28.870420048701305,17.258484172077925,3.3516112012987023,1.023993506493503
DC,31.66,12.69,33.2,16.15,3.71,31.905929418923026,15.431453199472669,30.394989351992695,16.339452388195923,3.3690406652469322,3.1614024946759978
DE,31.48,17.99,26.13,17.08,3.9,31.20016395112016,16.589170061099797,28.82164562118126,17.43727189409369,3.3274480651731158,2.6510677189409404
FL,33.4,17.89,28.65,14.55,2.77,31.911786038993835,16.84996363269017,28.92311546620871,16.501069805030813,3.2556834023638754,2.619059500959697
GA,32.53,17.24,28.96,15.51,2.97,31.65378674234746,16.564566186904514,29.140642610987225,16.726202108250558,3.319579363470504,1.6490355767281555
HI,32.3,16.11,29.21,16.33,2.76,31.61030222855399,16.328774804111124,29.035411621044066,17.04239544113158,3.3372891014551738,1.1863727485499098
IA,32.27,18.25,26.06,16.85,3.71,31.87125334155871,16.712197203372405,28.920389677154024,16.73960929467407,3.2915761875385563,2.6628768250051436
ID,32.73,17.74,28.99,15.17,3.02,31.788242939009415,17.173548915268114,28.8094013507982,16.481779574293903,3.258205075726566,1.6193957224723667
IL,30.9,16.11,28.7,17.55,3.51,31.64387060506949,16.50533421913327,28.854938675388386,17.031148814390836,3.330579517579721,0.9962075838102973
IN,30.33,16.35,27.06,16.25,3.32,31.809797630282056,16.647370242214524,28.745799517668033,16.82478662053056,3.297924923980287,2.0299145433574433
KS,30.97,18.03,28.56,16.74,2.65,31.63808116949499,16.72036495604171,28.90401962788796,16.808506440400738,3.2703516663259053,1.5052969740339426
KY,32.21,19.2,26.67,15.52,3.32,31.896538148524918,16.648386571719225,29.02275381485249,16.537772126144457,3.2965778229908445,3.129511698880979
LA,32.78,17.49,27.59,15.75,3.26,31.761645826979766,16.418473111721056,28.964479007827595,16.894514587780826,3.330707532784386,2.3397910948459923
MA,30.12,15.39,29.71,18.67,3.56,31.760409404134574,16.370451965950544,28.95295399270368,16.991265707336847,3.3382205107417913,2.6392105796514
MD,30.96,15.85,30.25,16.88,3.41,31.584715331435543,16.36947336315575,29.2186905246035,16.860774705164705,3.341950996339976,1.1313862342415553
ME,30.62,17.57,28.03,16.91,3.63,31.628375882108767,16.39510689082607,28.907337069323376,17.189186384391867,3.2661280614362815,1.8518321917808274
MI,30.41,18.44,28.32,16.67,3.41,31.528294738980293,16.92435506804794,28.612932155189927,17.02850497664026,3.2995632744261627,1.697906764168188
MN,31.6,16.39,28.02,17.3,3.56,31.479698874581782,16.81890195680828,28.644335394910286,17.13395924161006,3.312062252864241,0.7937584913312414
MO,32.03,18.12,27.42,15.93,3.68,31.653787678879546,16.855668324368214,28.825113163503513,16.76812341418858,3.282346493453771,2.1407170404952813
MS,33.11,17.58,28.24,14.81,3.38,31.873611624563566,16.616260012322858,29.553747176011505,16.21032347504621,3.2973834462928737,2.498407783939208
MT,31.06,18.39,30.08,13.84,3.64,31.9201542630811,17.034052532833023,29.29762351469669,16.316603085261622,3.272293099854076,2.921394100479467
NC,32.6,17.37,28.2,15.78,3.14,31.66338940115513,16.685213294153407,29.086439355557808,16.69318978619921,3.300905866855811,1.7909661566521478
ND,28.32,18.21,30.2,15.32,3.9,31.452373925045123,16.25806561206073,30.081506529355558,16.666210850408746,3.3212060728315107,3.563903280603035
NE,31.85,18.26,27.62,15.35,3.48,31.279558959597,16.821552379973273,28.815662588670715,17.09770638429115,3.3310527397964425,2.5506024467975763
NH,32.54,16.66,28.94,16.12,3.16,31.75604334365326,16.685695562435505,29.22797110423117,16.489789473684215,3.285097007223943,0.7962549019607847
NJ,31.97,15.85,29.44,17.13,3.27,31.767400020352103,16.5261035921441,28.81883687798922,17.029835148061473,3.2989681489773086,0.8144998473593064
NM,30.5,18.25,27.97,16.21,3.84,31.229421597784846,16.92688749871808,28.884728745769667,16.915156394215977,3.413352476669059,2.049533381191675
NV,31.87,18.25,28.01,16.06,2.89,31.581117086038965,16.734282670454547,28.949299918831173,16.769370941558442,3.3438250811688315,1.9535480925324673
NY,30.71,14.9,30.07,18.03,3.54,31.53711201216421,16.20123770907248,29.179457678661944,17.106464267612772,3.3655783071464778,2.0584247339077493
OH,31.65,17.62,28.06,16.61,3.08,31.614080681127106,16.79352726535577,28.918337725521994,16.76383032637341,3.3066197040340572,1.0505899047232923
OK,32.41,18.4,26.38,16.25,3.27,31.69696880398333,16.87709683975206,28.74080378010364,16.796246316431258,3.3023859363885784,2.587685194594041
OR,30.75,17.0,28.41,17.9,3.14,31.505830794231155,16.556867763558806,28.917025187893557,17.100192971765182,3.3415315864310373,1.35366341661588
PA,30.45,16.99,28.81,17.55,3.42,31.511100954702417,16.59257871216738,28.843168799512494,17.07640970952671,3.3366443225675404,1.0243185049766401
RI,30.96,16.62,29.79,16.74,3.29,31.789787949841987,16.130574982159246,29.666104597818332,16.674338872464062,3.3007013966765215,0.7597354470384328
SC,34.09,17.92,28.74,13.47,2.99,32.08664336372847,16.69617426545086,29.129037487335363,16.320780141843972,3.2424650455927044,3.3597325227963575
SD,33.38,18.08,25.66,14.79,3.54,31.91245680756275,16.826350103227206,29.65947191133326,16.117466043681407,3.226634793002282,4.180748125611214
TN,33.39,17.82,27.9,14.68,3.28,31.822004862729212,16.78668321345355,29.06594164724952,16.48079424577044,3.2746418802552935,2.786702968290953
TX,32.38,17.25,28.25,16.22,3.09,31.78605327121734,16.779482479238403,28.75272128823172,16.808596313550733,3.2843315778813045,1.175056714604008
