geo_id,obs_use_case_coursework_pct,obs_use_case_personal_pct,obs_use_case_work_pct,exp_use_case_coursework_pct,exp_use_case_personal_pct,exp_use_case_work_pct,dissimilarity
AK,9.89,49.0,41.12,13.394215074937096,44.23687780330379,42.37055792582869,4.758947598730999
AL,15.13,47.08,37.8,12.924632750728257,45.53738243861839,41.539203079483976,3.7435939450686666
AR,12.95,47.49,39.56,12.935265062806046,44.84165318288269,42.22439110070257,2.663736427506917
AZ,11.61,45.92,42.48,12.599495232172469,45.458641169154234,41.943116708126034,0.9938686774461001
CA,11.29,45.71,43.0,12.720907679569452,45.7412481887808,41.53892982819293,1.461613020078663
CO,9.35,46.3,44.36,12.57302212067712,45.806110707238545,41.621978398587586,3.2274665074254925
CT,15.72,46.15,38.14,13.020590695243074,45.80372399372713,41.176738107684265,3.041211709357029
DC,19.74,36.86,43.41,13.529384342008985,44.15722483537158,42.314506114769515,7.301667189296538
DE,11.89,50.87,37.24,12.707419895287957,46.75030890052356,40.543234554973814,4.120172774869105
FL,9.65,43.06,47.29,12.485053058676657,44.935314190595086,42.580889513108616,4.709738868081562
GA,13.33,44.15,42.52,12.632317963697062,45.517402461923645,41.85137700813688,1.3668537450448541
HI,8.09,48.72,43.19,12.641796801505174,46.1731127835267,41.18613462945542,4.5512746942615285
IA,18.05,43.79,38.16,13.214582000426526,44.607021753039014,42.17997227553849,4.836206014075491
ID,9.13,45.05,45.82,12.757752607733641,44.58108734590665,42.66244863554947,3.627108313138759
IL,14.35,46.93,38.72,12.843991311718582,45.907573638482724,41.249522144522125,2.5289785971604095
IN,21.58,43.11,35.31,13.250927923117992,44.36645381740522,42.3840683395622,8.329797116924713
KS,13.17,49.53,37.3,13.01914839529711,45.63550259506409,41.34639656816016,4.045872788899482
KY,12.19,48.89,38.91,12.870963399242743,45.373857803954564,41.756451409339505,3.521778502313844
LA,14.41,45.59,40.0,13.291022142932103,45.5218249553993,41.18817714345681,1.1876650225627046
MA,19.03,42.66,38.32,13.347074829931975,45.18682888540033,41.467264259549985,5.678509157509173
MD,13.65,47.35,38.99,13.135876331731769,45.68621892625862,41.178987883852095,2.1834463129308537
ME,12.72,48.34,38.94,13.126839344964141,45.06550786685219,41.80908487637804,3.2752081772449984
MI,15.82,45.7,38.48,13.119022398995183,45.0353140046054,41.846915428092956,3.3662895122461913
MN,10.83,50.68,38.48,12.77557204053913,46.348480827499735,40.87702643401944,4.33705882352942
MO,11.86,46.64,41.5,12.70039849388139,45.63672523794583,41.66411777010772,1.0038955130216412
MS,17.83,43.27,38.9,13.802057692307693,43.836491452991446,42.362748931623926,4.028591346153838
MT,10.66,42.98,46.36,13.122192142621328,44.48467260922196,42.39460548035656,3.966129635743365
NC,13.72,45.99,40.3,12.77451845655129,45.627510195545334,41.599050507163035,1.3035109275332086
ND,17.71,43.29,39.0,14.182450556944763,43.06223687201637,42.75690611502615,3.7561093430325068
NE,11.51,48.75,39.73,12.985847493182291,45.90177260331444,41.113359555275856,2.853717222571855
NH,13.03,47.22,39.75,13.347681918123758,44.997499738247306,41.65595225630825,2.223067218092349
NJ,12.36,45.31,42.33,12.788503699072631,45.54703865791394,41.66559028863188,0.6649760341773412
NM,11.54,48.29,40.17,12.840435477001698,46.09254471890971,41.06790992333901,2.197900340715499
NV,9.18,46.02,44.8,12.566806774759893,45.72564391201074,41.70882061344626,3.386171124651449
NY,12.43,46.57,41.0,12.646420022895203,46.38608700176918,40.96839525444896,0.21596888333853492
OH,14.32,48.04,37.64,12.862780849066443,45.93740377594659,41.20096484823198,3.5603901116094736
OK,12.79,48.82,38.39,12.700210207069645,45.816748588161474,41.48408910269818,3.093565153733529
OR,9.39,51.5,39.1,12.645838438376078,46.16239435157304,41.192844979752884,5.343144533277959
PA,17.44,45.38,37.17,13.152124882531066,45.491036859141694,41.358031742716925,4.293471859663775
RI,19.43,41.58,38.99,13.753844054990031,43.45870185748768,42.78901458705007,5.67693619477386
SC,12.53,42.33,45.14,12.941174118884794,44.15745607574959,42.902737506575484,2.237946344029453
SD,12.8,42.56,44.64,13.782633933692784,42.715686589422965,43.50338075025812,1.137469886428815
TN,11.3,45.47,43.22,12.570013584117032,45.45276280041796,41.978490073145245,1.2643803552769128
TX,12.4,44.48,43.13,12.631129585368393,45.46876857528838,41.90123765977347,1.2243302504416533
VA,16.11,44.71,39.18,13.037782885800858,45.501297670044934,41.46209904921116,3.072806916727618
VT,16.03,45.29,38.68,13.572344765747587,44.41518045281327,42.013859000224166,3.333166890831656
WA,9.43,52.5,38.07,12.525508764650969,46.60740275904988,40.868154755730735,5.8931303806659106
WI,14.98,47.38,37.64,12.999450491940548,45.58064998953317,41.421103202846986,3.7805013606866344
WV,12.7,49.6,37.7,12.992065858271223,44.74888752920236,42.260285904995,4.851732117031934
WY,11.74,38.39,49.88,13.425483007448788,42.96145135009309,43.6149243482309,6.261005004655491
