state,aui,log_aui,tech,resid,bachelors_plus,median_age,broadband,log_gdp
AK,0.53,-0.6348782724359695,1.9724425403809416,0.1137322654622015,32.23518502020685,36.5,93.06380304278098,11.922764916705637
AL,0.48,-0.7339691750802004,2.7432819206411305,-0.21317115553993948,28.889669436722325,39.6,89.44956118437568,11.4974612400688
AR,0.42,-0.8675005677047231,2.2178021752737633,-0.19140318593181893,26.176781086431205,38.9,88.3805361631509,11.480746913675384
AZ,0.94,-0.06187540371808753,3.702459079507537,0.17544908072724286,33.51516255314787,39.3,92.31919763716309,11.655546914204145
CA,1.56,0.44468582126144574,4.3867768886934195,0.47976822070174885,37.487788587830714,38.2,94.19941114537596,11.971942803168192
CO,1.46,0.37843643572024505,5.316728083373577,0.1386826902576706,46.43288724422466,37.9,94.49313726984045,11.84787078980483
CT,1.07,0.06765864847381486,3.652464671929941,0.31975839244236726,42.90423692596884,41.5,92.56484373538171,11.94802956214914
DC,3.72,1.3137236682850553,7.891786105472988,0.31294179172960046,65.94418525674078,34.9,92.13351540160096,12.833789349305954
DE,0.97,-0.030459207484708574,4.023762266298388,0.11190789671554555,36.46324240149735,42.0,92.77923931192484,11.983740050796722
FL,1.04,0.03922071315328133,3.2043495621876223,0.4237556106426239,34.91620625422075,42.8,92.91431501732802,11.672464741347582
GA,0.93,-0.07257069283483537,4.13101597776811,0.03809883760510739,35.41558613658026,37.9,92.37080791048396,11.702372010109087
HI,1.16,0.14842000511827322,2.5738393465451797,0.7192947857975616,36.99971802044498,41.4,92.61649166427075,11.8195542619943
IA,0.42,-0.8675005677047231,3.000640762144256,-0.4227619287642329,31.549672848125365,39.1,89.93212153662424,11.747294502190202
ID,0.69,-0.37106368139083207,2.770862104137762,0.1415833390956181,32.14258361772653,37.8,92.81248806672812,11.526051686209732
IL,1.01,0.009950330853168092,4.0614270839752065,0.1411860409028649,38.27775836425594,39.5,91.64663888148336,11.835734834592673
IN,0.65,-0.4307829160924542,2.7700215220106106,0.08211252856143847,30.214670951273792,38.3,90.8075158237325,11.69112421239755
KS,0.49,-0.7133498878774648,3.1584475562621104,-0.3152491920709152,35.81915826795321,37.9,91.62748035074138,11.746536279190936
KY,0.39,-0.941608539858445,2.2718444925897474,-0.2814827297526449,27.84642492215848,39.2,90.05207695498983,11.521436055464946
LA,0.45,-0.7985076962177716,1.998819271188001,-0.057692491076441144,26.99152049393904,38.7,88.010458499985,11.637332720599437
MA,1.49,0.3987761199573678,4.861887782674786,0.2934450791545959,47.78163561635906,40.3,93.87993647946578,12.02205146543397
MD,1.06,0.058268908123975824,6.492648154618556,-0.529014192581851,43.746985123,39.8,92.91324120492386,11.81579957541326
ME,0.62,-0.4780358009429998,2.948663675105128,-0.017935944868928355,36.99449714274719,44.9,91.81995990812956,11.633331199415847
MI,0.67,-0.40047756659712525,3.261374618313053,-0.03279575417078323,32.675642878506636,40.5,91.56976383273906,11.606649986480592
MN,0.84,-0.1743533871447778,3.987278238505144,-0.021203857365003548,39.98924287879845,39.1,92.16756979942264,11.822675419561335
MO,0.71,-0.342490308946776,3.6474840054047895,-0.08891858752967552,33.22479152029813,39.3,90.74182666861222,11.6485870945269
MS,0.28,-1.2729656758128873,1.5331400742477836,-0.3945244576284359,25.537093963225963,39.3,86.53422674279561,11.347347425203626
MT,0.59,-0.527632742082372,2.6991030847908504,0.0062218131135736154,34.621691409759435,40.6,90.9228176210224,11.587622888274131
NC,0.89,-0.11653381625595151,3.980825774270928,0.03852266348571341,36.79334714470097,39.4,91.53061612427432,11.68736901275125
ND,0.39,-0.941608539858445,2.398394404803129,-0.3188830688344023,33.552305165709626,36.3,89.02203461525947,11.928256132314363
NE,0.65,-0.4307829160924542,2.9114296087550353,0.04032103064062964,35.2863959805576,37.4,92.07127972241062,11.904937242166904
NH,0.83,-0.18632957819149348,4.725593832912027,-0.2513805441466103,40.74832802277478,43.4,93.85909923387996,11.806319034582089
NJ,0.98,-0.020202707317519466,4.871502589590858,-0.1283752912914979,43.77591063603724,40.4,94.04675540779498,11.838641003608895
NM,0.47,-0.7550225842780328,2.7399833275296253,-0.23324970431546643,31.64805986443761,39.9,88.60445025566789,11.570581320878922
NV,1.12,0.11332868530700327,2.5347764050451405,0.6957480591991965,28.7207428548858,39.4,93.91059741892812,11.720234567084
NY,1.54,0.43178241642553783,3.4891752084979704,0.7321404420002958,40.63985601889212,40.2,92.0014388034114,12.09643906949629
