state,d_log,log_aug,log_nov,log_feb,log_apr,d_nov_feb,d_aug_nov,d_feb_may,d_apr_may,log_count_aug,wf_Management,wf_Business and Financial Operations,tech,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,bachelors_plus,broadband,median_hh_income,log_gdp,ms_ai_user_share,openai_rank_2025,median_age,z_bachelors_plus,z_tech,z_log_gdp,abs_d_aug_nov
AK,0.48614715148678833,-1.159491704750554,-0.8542794740983851,-0.6750308095736679,-0.6348782724359695,0.17924866452471722,0.30521223065216885,0.0016862563099022676,-0.03846628082779613,4.9344739331306915,12.23412261911654,4.328721125455914,1.9724425403809416,2.2902796271637818,1.8549180802408385,2.2517802350489204,1.2699010015631331,5.712094019568112,1.7822613327157992,7.516355004920975,4.0291205928327445,2.2225438545707172,4.871765182655011,3.5726278006136742,1.9738898859491691,7.661668499971053,10.912117177097205,1.110403519944422,5.993747467145256,3.788571759393273,4.798240027789035,7.852428645863487,32.23518502020685,93.06380304278098,86631,11.922764916705637,23.6,47,36.5,-0.5027055153589335,-1.1676687774968124,0.7554466326988223,0.30521223065216885
AL,0.17035927520106775,-0.9253818594791006,-0.8642835887084508,-0.7110860761570462,-0.7339691750802004,0.15319751255140457,0.061098270770649776,-0.043936508120986595,-0.021053409197832385,7.1180162044653335,10.293910940272182,5.190690274467447,2.7432819206411305,2.92570609950386,0.7217330645129705,1.6966493047471627,0.8452784470967706,6.291414792633927,1.629023547601962,7.315113834515334,2.766476597963133,2.052184977769229,4.5112559460839075,3.446259064092594,2.1076694310254265,9.117640531240792,10.212098569980691,0.447835692909435,4.900125808277933,3.93073625476024,8.486336246230865,8.368578653673007,28.889669436722325,89.44956118437568,62212,11.4974612400688,27.3,33,39.6,-0.9864028462731582,-0.5851700078924617,-1.1561452961238587,0.061098270770649776
AR,0.09133811971611949,-1.0329466595745644,-0.9328463264284287,-0.8982754036361587,-0.8675005677047231,0.03457092279227003,0.10010033314613576,-0.043333136222286295,-0.07410797215372189,6.495265555937008,10.298782088050537,5.065461040702962,2.2178021752737633,1.3564019073084168,0.5466173191688276,1.6129536454846094,0.7001557921153051,6.48932682248786,1.685942578646666,7.008609640791217,3.218710175049853,1.994109996648616,4.773359911773537,3.6128794933811976,1.8753939330493743,9.465806793059654,11.24698393589187,0.7551882845492461,5.381843348592673,4.090360880839751,7.929840478470082,8.673469758663984,26.176781086431205,88.3805361631509,58700,11.480746913675384,26.0,44,38.9,-1.3786344235469274,-0.9822583157383594,-1.2312703730618701,0.10010033314613576
AZ,0.3082259289229323,-0.3595192233104829,-0.27839211482572485,-0.14881442309656956,-0.06187540371808753,0.1295776917291553,0.08112710848475807,0.09752112870901898,0.010582109330536951,8.067462667010057,11.52989958904184,6.51444679513033,3.702459079507537,2.704732702588747,0.8071748365484552,1.6626101353268017,1.0015620245693269,5.5381599711238705,2.0537316987367835,6.571380400928227,3.0534617721894364,2.4775421398849247,5.381270532522428,3.4092896523672387,2.5102023933868853,9.342721701149808,11.576957833351416,0.3981917497508975,5.046567338658777,3.4341927378595307,4.08001275495965,7.203432160417089,33.51516255314787,92.31919763716309,77315,11.655546914204145,31.4,14,39.3,-0.317645335286809,0.13964962273368606,-0.4456052388892739,0.08112710848475807
CA,-0.27212911029183057,0.7545552595361233,0.39156403550857255,0.440152359640491,0.44468582126144574,0.04858832413191844,-0.3629912240275508,0.04227378960380179,0.037740327982847044,10.870794540426248,11.521495786470348,5.963072895024777,4.3867768886934195,2.689644573802756,1.5316741865032293,1.7453123175248757,1.3188822407574756,5.694989836841813,2.976080917597006,5.58001901131292,3.9887702279013464,2.014893281320444,5.463271722285566,3.575453395005699,2.7329997436216287,8.651792446414134,9.807219022076817,1.3250367932920737,4.6491784171668185,2.527387233198046,4.40721673054402,7.448832332644788,37.487788587830714,94.19941114537596,95521,11.971942803168192,34.0,4,38.2,0.25672012849472975,0.6567667966572254,0.9764841078078168,0.3629912240275508
CO,0.07785263398941678,0.2657370704006601,0.3406902944803496,0.3984030270075473,0.37843643572024505,0.05771273252719772,0.07495322407968952,-0.05481332261747046,-0.03484673133016819,8.502485562543963,14.30443437719525,7.1567544311091105,5.316728083373577,3.275825635356732,1.475174937668441,1.8362823294393429,1.1675625869770352,5.950545960362903,2.626270189935952,6.193907149615413,2.650891869578709,1.8396773290808053,5.696714211468499,2.5343513678675658,2.498243801587337,9.158884079482336,9.148254874997384,0.4472832705205518,5.11448763744196,2.8473893721915897,2.9440992685203575,5.816237236229152,46.43288724422466,94.49313726984045,92911,11.84787078980483,32.3,11,37.9,1.5500096789070674,1.3595012969501967,0.41882361163321097,0.07495322407968952
CT,0.2064275430784839,-0.13876889460466904,-0.08677274872372222,0.03605863038276071,0.06765864847381486,0.12283137910648292,0.05199614588094682,0.03160001809105415,0.0,7.583756300707112,12.223658196775691,6.955536389570756,3.652464671929941,2.7643070390764946,1.3389769787036423,1.9563457838519205,1.3215152922444104,7.8055330723810785,2.376116234326279,7.0165726796258205,3.711590260731109,2.027731705698932,4.417328998872155,3.492018841637365,3.0149804285809063,9.04823193790221,9.477502819611225,0.2137862402972202,4.447953293969349,2.3599283487029785,4.790924169043985,5.5869966164665295,42.90423692596884,92.56484373538171,91665,11.94802956214914,34.0,17,41.5,1.0398345809055054,0.10187044117290697,0.869002416406769,0.05199614588094682
DC,-0.14014737924081366,1.3401121621692107,1.3872603790099836,1.4615289359675152,1.3137236682850553,0.07426855695753165,0.04714821684077286,-0.2615641530391182,-0.11375888535665823,7.501634457883413,18.30152047633632,13.804201685034547,7.891786105472988,1.5734256658897303,5.1545134112346025,1.899946531559358,8.429066067266413,6.12421289783375,5.894765803038876,3.712163291579499,1.5461723344944118,2.8135820221452787,3.934342831335621,1.862310978680108,2.1717011789012495,3.939793497614685,7.009037723801762,0.0,0.8728852712614918,0.4202204145621039,0.886382159190602,1.7579696527666024,65.94418525674078,92.13351540160096,108210,12.833789349305954,40.3,1,34.9,4.370968821323127,3.3053906325812092,4.8501842237074415,0.04714821684077286
DE,0.37508901130052047,-0.3262988471310884,-0.3423440275082968,-0.20571876785038423,-0.030459207484708574,0.13662525965791256,-0.016045180377208368,0.2545089320198163,0.07924937165414062,6.095824562432225,12.393100535563097,6.804883320213591,4.023762266298388,1.5608858503080332,1.5394712578495386,2.2873957277888044,1.2446240450182322,6.393247265178088,1.3889742608495643,6.665490185969873,3.823099603631756,2.5108609657584635,5.231307341041265,3.409877282488217,1.673907310505642,7.9337099393451505,10.70095116481503,0.2569751095019322,4.192104757013775,3.4604395146818847,4.756617208211306,7.74831508796837,36.46324240149735,92.77923931192484,81361,11.983740050796722,30.6,22,42.0,0.10859041773378439,0.3824482079752109,1.0295086279044963,0.016045180377208368
FL,0.41370536232626737,-0.3649151981568353,-0.2175800860145425,-0.09291201987082054,0.03922071315328133,0.12466806614372197,0.1473351121422928,0.1417021840402526,0.00956945101615072,9.172949982757624,12.206310667171737,6.289830722487104,3.2043495621876223,1.7989981544459868,0.7324161009095446,1.4445828260505935,1.3194709442890564,4.874368604801236,2.169339015831881,6.517056115372053,2.8827823928276395,2.2802213546580785,5.905223043659164,4.258323513830472,2.8361706221907252,10.69841709147956,11.074498226898308,0.4854724939766726,5.205133258691133,3.0575905106560826,3.12329614735358,7.636148630231768,34.91620625422075,92.91431501732802,73311,11.672464741347582,33.6,5,42.8,-0.11508131135920269,-0.23675587547675941,-0.3695654969421865,0.1473351121422928
