state,cluster,apr,may,recurs,log_usage,min
WV,Fiction writing,2.329545454545454,2.597826086956522,1,-2.0402208285265546,2.329545454545454
ME,Outdoor and garden,2.189655172413793,2.4225352112676055,1,-1.3470736479666092,2.189655172413793
NE,Outdoor and garden,2.086206896551724,2.126760563380282,1,-1.0216512475319814,2.086206896551724
HI,Destination research,2.4675324675324672,2.056603773584906,1,-0.7985076962177716,2.056603773584906
MS,Media discovery,1.8461538461538465,2.4715447154471546,1,-1.4271163556401458,1.8461538461538465
MS,Formatted writing,1.8646616541353382,1.816793893129771,1,-1.4271163556401458,1.816793893129771
OK,Media discovery,1.8034188034188035,1.8617886178861789,1,-0.4620354595965587,1.8034188034188035
WV,Companionship and conversation,1.7848101265822782,1.8499999999999999,1,-2.0402208285265546,1.7848101265822782
AR,Fiction writing,1.7613636363636365,1.793478260869565,1,-1.0498221244986778,1.7613636363636365
DC,Editing and rewriting,1.748148148148148,1.7573529411764706,1,-0.2744368457017603,1.748148148148148
WV,Gaming,1.9827586206896552,1.7109375,1,-2.0402208285265546,1.7109375
WV,Media discovery,2.41025641025641,1.707317073170732,1,-2.0402208285265546,1.707317073170732
IA,Science,2.130434782608696,1.690909090909091,1,-0.9675840262617056,1.690909090909091
AK,Gaming,1.9137931034482762,1.65625,1,-2.2072749131897207,1.65625
MS,Instructional design,2.4358974358974357,1.647887323943662,1,-1.4271163556401458,1.647887323943662
AL,Fiction writing,1.6477272727272727,1.934782608695652,1,-0.342490308946776,1.6477272727272727
KS,Gaming,1.646551724137931,1.703125,1,-0.8915981192837836,1.646551724137931
NM,Fiction writing,1.625,1.75,1,-1.2039728043259361,1.625
DC,Self-presentation writing,1.815934065934066,1.6177285318559558,1,-0.2744368457017603,1.6177285318559558
KY,Media discovery,2.247863247863248,1.6097560975609757,1,-0.6733445532637656,1.6097560975609757
WI,Outdoor and garden,1.6034482758620692,2.098591549295775,1,0.01980262729617973,1.6034482758620692
DC,Research and evidence,1.6917293233082706,1.6030534351145038,1,-0.2744368457017603,1.6030534351145038
